"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1908-1909","M","M","M","M","M","M","43.4","44.7","17.6","6.0","9.2","0.0","M"
"1909-1910","M","M","M","M","21.1","22.2","M","M","M","M","M","M","M"
"1910-1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911-1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912-1913","M","M","M","0.0","M","M","94.0","32.0","M","M","M","M","M"
"1913-1914","M","M","0.0","1.0","M","M","M","31.8","32.0","11.3","T","0.5","M"
"1914-1915","M","0.0","0.0","0.0","22.0","5.0","24.7","14.0","T","T","T","0.0","M"
"1915-1916","0.0","0.0","0.0","T","45.5","48.8","72.4","61.9","65.5","14.0","19.0","0.0","327.1"
"1916-1917","0.0","0.0","0.0","3.0","18.0","63.0","68.2","35.0","95.0","16.0","1.0","0.0","299.2"
"1917-1918","0.0","0.0","0.0","1.0","1.0","28.0","39.5","34.7","19.5","12.0","3.0","0.0","138.7"
"1918-1919","0.0","0.0","0.0","T","24.0","22.0","15.0","51.0","66.5","10.0","4.0","0.0","192.5"
"1919-1920","0.0","0.0","0.0","7.0","18.0","10.0","9.0","8.5","M","49.5","2.0","0.0","M"
"1920-1921","0.0","0.0","0.0","5.0","7.5","76.0","84.0","22.0","30.5","20.5","3.0","0.0","M"
"1921-1922","T","0.0","0.0","0.0","M","17.5","48.5","36.5","62.5","48.0","6.0","0.0","M"
"1922-1923","0.0","0.0","0.0","T","7.5","86.0","78.5","41.5","M","12.0","3.0","M","M"
"1923-1924","0.0","0.0","M","M","2.0","55.0","27.0","4.0","34.0","8.0","T","T","M"
"1924-1925","M","M","M","3.0","41.0","21.0","M","20.0","9.0","T","0.0","M","M"
"1925-1926","M","M","M","M","0.4","12.0","23.0","25.0","T","T","M","M","M"
"1926-1927","M","M","M","T","5.0","M","44.0","28.0","32.0","16.0","1.0","M","M"
"1927-1928","M","M","M","T","10.0","48.0","18.0","9.0","28.0","13.0","2.0","M","M"
"1928-1929","M","M","M","M","M","38.0","65.0","27.0","17.0","22.0","2.0","M","M"
"1929-1930","M","M","M","M","2.0","41.0","31.0","17.0","16.0","M","2.0","M","M"
"1930-1931","0.0","M","M","M","33.0","16.0","M","13.2","7.0","9.0","2.0","0.0","M"
"1931-1932","0.0","0.0","0.0","2.0","33.0","41.0","45.0","63.0","33.0","13.0","0.0","0.0","230.0"
"1932-1933","0.0","0.0","0.0","T","7.0","52.0","99.0","71.0","24.0","8.0","0.0","T","261.0"
"1933-1934","0.0","0.0","T","0.0","T","30.0","11.0","T","0.0","7.0","0.0","0.0","48.0"
"1934-1935","0.0","0.0","0.0","T","15.0","55.0","59.0","15.0","53.0","16.0","0.0","0.0","213.0"
"1935-1936","0.0","0.0","0.0","5.5","6.0","5.0","28.5","46.7","63.0","4.0","T","0.0","158.7"
"1936-1937","0.0","0.0","0.0","0.0","T","28.5","61.5","69.0","9.0","28.0","T","0.0","196.0"
"1937-1938","0.0","0.0","0.0","0.0","2.0","61.5","16.0","36.0","50.0","T","8.0","0.0","173.5"
"1938-1939","0.0","0.0","0.0","0.0","26.0","27.0","41.0","69.0","34.0","T","T","0.0","197.0"
"1939-1940","0.0","0.0","0.0","T","0.0","2.0","19.0","23.0","5.5","1.0","0.0","0.0","50.5"
"1940-1941","0.0","0.0","0.0","0.0","13.0","8.0","9.5","0.5","1.0","3.0","T","0.0","35.0"
"1941-1942","0.0","0.0","0.0","T","0.2","24.0","M","24.8","26.1","8.1","1.0","0.0","M"
"1942-1943","0.0","0.0","0.0","M","50.0","M","M","M","M","M","1.0","0.0","M"
"1943-1944","0.0","0.0","0.0","1.0","1.1","2.5","M","M","M","3.8","0.7","0.0","M"
"1944-1945","0.0","0.0","0.0","0.0","M","M","M","M","40.0","M","0.0","0.0","M"
"1945-1946","0.0","0.0","0.0","M","M","33.0","76.5","48.2","M","M","0.0","0.0","M"
"1946-1947","0.0","0.0","0.0","12.0","19.8","31.0","60.5","8.0","T","8.5","0.0","0.0","139.8"
"1947-1948","0.0","0.0","0.0","0.0","7.0","30.0","44.0","56.0","42.5","16.5","1.0","0.0","197.0"
"1948-1949","0.0","0.0","T","T","48.5","115.1","31.5","123.0","18.0","1.0","0.0","0.0","337.1"
"1949-1950","0.0","0.0","0.0","T","0.0","95.0","151.5","26.0","29.5","19.0","0.7","0.0","321.7"
"1950-1951","0.0","0.0","0.0","T","M","20.0","94.5","45.7","73.7","T","T","0.0","M"
"1951-1952","0.0","0.0","0.0","1.0","12.0","75.4","70.6","20.2","27.5","1.0","T","0.0","207.7"
"1952-1953","0.0","0.0","0.0","0.0","0.0","36.0","31.9","M","12.5","11.0","T","0.0","M"
"1953-1954","0.0","0.0","0.0","0.0","3.5","67.5","137.8","28.0","16.5","12.5","0.5","0.5","266.8"
"1954-1955","0.0","0.0","0.0","0.0","4.0","52.5","45.0","71.1","131.5","48.2","5.0","0.0","357.3"
"1955-1956","0.0","0.0","0.0","11.0","28.5","42.0","70.5","121.8","101.0","0.8","T","0.0","375.6"
"1956-1957","0.0","0.0","0.0","6.0","14.8","17.2","65.5","64.0","33.5","3.0","0.0","0.0","204.0"
"1957-1958","0.0","0.0","0.0","T","10.5","58.0","10.0","8.0","15.0","T","T","0.0","101.5"
"1958-1959","0.0","0.0","0.0","0.0","17.5","2.5","26.0","27.5","24.0","2.0","0.5","0.0","100.0"
"1959-1960","0.0","0.0","0.0","0.0","M","10.0","39.0","18.0","52.0","26.5","2.0","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","27.0","16.5","1.0","39.5","43.5","18.0","T","M","M"
"1961-1962","0.0","0.0","0.0","2.5","19.5","48.0","18.5","8.0","60.0","2.0","0.0","0.0","158.5"
"1962-1963","0.0","0.0","0.0","0.0","5.5","11.5","13.0","3.0","33.0","0.5","0.0","0.0","66.5"
"1963-1964","0.0","0.0","0.0","0.0","5.0","10.5","122.1","35.0","66.0","16.0","T","0.0","254.6"
"1964-1965","0.0","0.0","0.0","T","25.5","74.5","85.0","43.7","11.5","0.5","3.0","0.0","243.7"
"1965-1966","0.0","0.0","0.0","0.0","13.5","44.1","71.0","58.0","47.0","8.0","0.0","0.0","241.6"
"1966-1967","0.0","0.0","0.0","7.0","0.5","31.5","65.0","55.0","25.0","14.0","0.0","0.0","198.0"
"1967-1968","0.0","0.0","0.0","0.0","5.5","28.5","55.0","3.0","3.5","21.3","4.0","0.0","120.8"
"1968-1969","0.0","0.0","0.0","0.0","16.0","82.0","117.0","31.5","4.5","3.0","T","0.0","254.0"
"1969-1970","0.0","0.0","0.0","0.0","6.0","25.0","45.0","16.0","10.0","14.0","0.0","0.0","116.0"
"1970-1971","0.0","0.0","0.0","1.0","31.8","44.5","103.0","31.5","35.0","1.0","6.6","0.0","254.4"
"1971-1972","0.0","0.0","0.0","6.0","3.0","109.0","99.5","21.0","20.0","39.0","0.0","0.0","297.5"
