"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1895-1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896-1897","M","M","M","M","6.0","M","3.0","T","M","M","M","M","M"
"1897-1898","M","M","M","M","T","1.5","T","M","M","M","M","M","M"
"1898-1899","M","M","M","M","M","3.0","9.0","M","M","M","M","M","M"
"1899-1900","M","M","M","M","0.0","M","0.0","2.3","M","T","M","M","M"
"1900-1901","0.0","M","M","0.0","M","M","7.7","M","M","M","0.0","0.0","M"
"1901-1902","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","M","0.0","0.0","0.0","M"
"1902-1903","0.0","0.0","0.0","0.0","T","T","5.0","T","10.0","T","0.0","M","M"
"1903-1904","M","M","0.0","0.0","T","0.0","7.0","12.2","7.8","M","0.0","0.0","M"
"1904-1905","M","M","0.0","0.0","M","3.0","M","0.0","0.0","0.0","M","M","M"
"1905-1906","M","M","M","M","0.0","M","M","M","M","M","M","M","M"
"1906-1907","M","M","M","M","M","0.0","5.3","1.5","M","M","0.0","M","M"
"1907-1908","M","M","M","M","0.0","M","M","M","M","M","M","M","M"
"1908-1909","M","M","M","M","M","M","M","T","M","M","0.0","M","M"
"1909-1910","M","M","M","M","M","4.0","M","10.3","0.0","0.0","0.0","0.0","M"
"1910-1911","0.0","M","M","M","0.0","1.5","16.5","M","M","M","M","M","M"
"1911-1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912-1913","0.0","M","0.0","M","M","M","12.0","M","0.0","M","M","M","M"
"1913-1914","M","M","M","M","2.6","0.0","1.0","M","0.0","M","0.0","M","M"
"1914-1915","M","0.0","M","M","M","0.5","M","M","0.0","M","M","M","M"
"1915-1916","M","M","0.0","M","0.0","0.5","10.0","M","M","0.0","M","0.0","M"
"1916-1917","M","M","M","M","0.0","2.5","13.6","5.5","M","0.0","M","M","M"
"1917-1918","M","0.0","0.0","0.0","0.0","0.0","M","1.2","0.0","0.0","M","0.0","M"
"1918-1919","M","M","M","M","0.0","M","0.0","1.0","0.0","M","M","0.0","M"
"1919-1920","M","M","0.0","0.0","T","0.0","0.0","0.0","M","0.0","M","M","M"
"1920-1921","0.0","0.0","0.0","0.0","0.0","0.0","M","M","1.5","0.0","0.0","M","M"
