"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1893-1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1894-1895","M","M","M","M","M","M","8.3","M","M","M","M","M","M"
"1895-1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896-1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897-1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898-1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899-1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900-1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901-1902","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902-1903","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1903-1904","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1904-1905","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1905-1906","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1906-1907","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1907-1908","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1908-1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909-1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1910-1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911-1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912-1913","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913-1914","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1914-1915","M","M","M","M","M","M","M","M","0.0","M","M","M","M"
"1915-1916","M","0.0","M","M","M","M","28.4","M","T","0.0","M","0.0","M"
"1916-1917","0.0","M","M","M","M","3.0","15.0","5.0","2.0","0.0","M","0.0","M"
"1917-1918","M","M","M","0.0","0.0","M","0.0","M","1.0","0.0","0.0","0.0","M"
"1918-1919","0.0","M","M","M","M","M","0.0","T","M","M","M","0.0","M"
"1919-1920","0.0","M","0.0","0.0","M","M","T","T","T","0.5","M","0.0","M"
"1920-1921","0.0","0.0","0.0","M","0.0","T","M","0.7","M","M","0.0","M","M"
"1921-1922","0.0","0.0","0.0","0.0","3.0","3.8","4.7","M","T","0.0","0.0","0.0","M"
"1922-1923","0.0","0.0","0.0","M","M","10.9","0.5","M","0.5","0.0","M","M","M"
"1923-1924","0.0","M","M","M","M","M","T","0.0","2.5","0.0","M","0.0","M"
"1924-1925","M","M","M","M","T","3.5","T","0.0","0.0","0.0","0.0","M","M"
"1925-1926","M","M","M","M","M","M","0.0","M","M","M","M","M","M"
"1926-1927","M","M","M","M","0.0","4.3","M","M","T","T","M","M","M"
"1927-1928","M","M","M","M","M","6.6","M","M","M","M","M","M","M"
"1928-1929","M","M","M","M","M","M","16.5","7.0","1.5","4.0","M","M","M"
"1929-1930","M","M","M","M","M","9.5","3.0","7.0","M","M","M","M","M"
"1930-1931","M","M","0.0","M","2.0","M","M","M","0.7","M","M","M","M"
"1931-1932","M","M","M","M","M","1.5","15.0","M","0.4","M","M","M","M"
"1932-1933","M","M","M","M","M","M","2.9","0.9","5.0","1.0","0.0","0.0","M"
"1933-1934","0.0","0.0","M","M","0.0","1.5","0.0","0.0","0.0","M","0.0","0.0","M"
"1934-1935","0.0","0.0","M","M","0.0","M","14.5","0.0","2.3","0.0","0.0","0.0","M"
"1935-1936","0.0","M","0.0","0.0","M","0.0","T","20.5","3.1","1.0","M","0.0","M"
"1936-1937","0.0","0.0","0.0","0.0","0.0","0.5","22.2","15.1","0.0","0.0","0.0","0.0","37.8"
"1937-1938","0.0","M","M","M","5.5","5.0","1.7","1.0","M","M","M","M","M"
"1938-1939","M","M","M","M","2.0","M","M","3.0","M","M","M","M","M"
"1939-1940","M","M","M","0.0","0.0","M","0.5","0.0","M","M","M","M","M"
"1940-1941","M","M","M","M","M","0.0","T","M","M","M","M","M","M"
"1941-1942","M","M","M","M","M","M","4.5","1.0","M","M","M","M","M"
"1942-1943","M","M","M","M","M","1.5","5.5","1.5","0.0","0.0","0.0","0.0","M"
"1943-1944","0.0","0.0","M","M","0.0","0.0","0.0","0.0","1.2","0.0","0.0","0.0","M"
"1944-1945","0.0","0.0","0.0","0.0","0.0","0.2","0.0","T","0.0","0.0","0.0","0.0","0.2"
"1945-1946","0.0","0.0","0.0","0.0","0.7","0.0","T","1.2","0.5","0.0","M","0.0","M"
"1946-1947","0.0","0.0","0.0","0.0","9.5","3.5","14.9","M","M","M","0.0","0.0","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","M"
"1948-1949","0.0","0.0","0.0","0.0","0.0","T","5.3","6.0","0.0","0.0","0.0","0.0","11.3"
"1949-1950","0.0","0.0","0.0","0.0","0.0","3.4","21.6","0.0","0.0","T","0.0","0.0","25.0"
"1950-1951","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.6","0.0","0.0","0.0","19.6"
"1951-1952","0.0","0.0","0.0","0.0","0.0","M","M","M","M","M","M","M","M"
"1952-1953","M","M","M","M","M","M","M","0.0","T","T","0.0","0.0","M"
"1953-1954","0.0","0.0","0.0","0.0","0.0","0.0","21.4","T","1.2","T","0.0","0.0","22.6"
"1954-1955","0.0","0.0","0.0","0.0","0.0","0.5","T","3.0","4.7","T","0.0","0.0","8.2"
"1955-1956","0.0","0.0","0.0","0.0","9.0","7.0","M","1.0","1.5","0.0","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","0.0","0.5","5.0","11.5","7.0","0.0","0.0","0.0","0.0","24.0"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1958-1959","0.0","0.0","0.0","0.0","2.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","6.0"
"1959-1960","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","2.0","0.0","0.0","0.0","2.0"
"1960-1961","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1961-1962","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","M","0.0","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","T","0.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1964-1965","0.0","0.0","0.0","0.0","1.0","6.6","17.1","0.0","0.0","0.0","0.0","0.0","24.7"
"1965-1966","0.0","0.0","0.0","0.0","0.0","9.5","0.0","0.0","1.0","0.0","0.0","0.0","10.5"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1967-1968","0.0","0.0","0.0","0.0","0.0","T","2.5","0.0","0.0","8.0","0.0","0.0","10.5"
"1968-1969","0.0","0.0","M","0.0","0.0","6.0","M","0.6","0.0","0.0","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","T","0.0","0.0","1.0"
"1970-1971","0.0","0.0","0.0","0.0","1.7","0.0","9.5","3.0","T","0.0","0.0","0.0","14.2"
"1971-1972","0.0","0.0","0.0","0.0","0.0","M","16.0","0.0","0.0","0.0","0.0","0.0","M"
"1972-1973","0.0","0.0","0.0","0.0","0.0","5.0","1.8","0.0","0.0","0.0","0.0","0.0","6.8"
"1973-1974","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1974-1975","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1975-1976","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1977-1978","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1978-1979","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","5.5","0.8","0.0","0.0","0.0","0.0","6.3"
"1980-1981","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1981-1982","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1982-1983","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1984-1985","0.0","0.0","0.0","0.0","0.0","M","0.0","6.8","0.0","0.0","0.0","0.0","M"
"1985-1986","0.0","0.0","0.0","0.0","6.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1988-1989","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","M","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","M"
"1990-1991","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1992-1993","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","0.0","M"
