"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1892-1893","M","M","M","M","M","M","6.7","39.6","2.9","T","0.0","0.0","M"
"1893-1894","0.0","0.0","0.0","T","16.0","3.6","15.6","7.7","6.1","T","T","0.0","49.0"
"1894-1895","0.0","0.0","0.0","0.0","0.5","11.0","19.5","2.3","4.2","0.2","0.0","0.0","37.7"
"1895-1896","0.0","0.0","0.0","0.0","6.1","19.0","15.5","2.0","4.0","0.9","T","0.0","47.5"
"1896-1897","0.0","0.0","0.0","0.0","16.5","3.4","13.0","15.8","16.4","0.0","0.0","0.0","65.1"
"1897-1898","0.0","0.0","0.0","0.0","24.2","6.3","13.2","3.7","4.4","0.0","0.0","0.0","51.8"
"1898-1899","0.0","0.0","0.0","0.0","7.2","8.3","23.2","8.6","9.1","T","0.0","0.0","56.4"
"1899-1900","0.0","0.0","0.0","T","T","8.4","T","8.0","2.8","T","0.0","0.0","19.2"
"1900-1901","0.0","0.0","0.0","0.0","7.6","T","12.9","11.4","T","T","0.0","T","31.9"
"1901-1902","0.0","0.0","0.0","0.0","T","T","6.1","8.0","0.4","T","0.0","0.0","14.5"
"1902-1903","0.0","0.0","0.0","0.0","3.9","14.7","6.0","2.3","0.5","1.2","T","0.0","28.6"
"1903-1904","0.0","0.0","0.0","0.0","11.8","5.0","8.1","10.9","10.0","0.0","0.0","0.0","45.8"
"1904-1905","0.0","0.0","0.0","0.0","0.0","2.9","5.4","1.5","1.3","0.0","0.0","0.0","11.1"
"1905-1906","0.0","0.0","0.0","T","7.7","9.5","8.3","2.1","0.2","0.0","0.0","0.0","27.8"
"1906-1907","0.0","0.0","0.0","0.0","2.9","18.4","17.1","5.2","0.6","T","0.0","0.0","44.2"
"1907-1908","0.0","0.0","0.0","0.0","T","1.3","13.3","4.5","0.8","T","0.0","0.0","19.9"
"1908-1909","0.0","0.0","0.0","0.0","0.7","9.4","20.2","9.1","0.1","T","0.0","0.0","39.5"
"1909-1910","0.0","0.0","0.0","0.0","0.6","6.9","4.9","13.5","T","T","0.0","0.0","25.9"
"1910-1911","0.0","0.0","0.0","0.0","4.3","2.4","1.6","9.8","1.2","T","0.0","0.0","19.3"
"1911-1912","0.0","0.0","0.0","0.0","18.0","17.5","6.6","2.0","3.7","T","0.0","0.0","47.8"
"1912-1913","0.0","0.0","0.0","T","0.3","9.1","35.1","8.1","0.7","T","0.0","0.0","53.3"
"1913-1914","0.0","0.0","0.0","T","1.4","4.8","4.3","4.1","1.2","T","0.0","0.0","15.8"
"1914-1915","0.0","0.0","0.0","0.0","0.3","11.5","8.0","2.5","T","T","T","0.0","22.3"
"1915-1916","0.0","0.0","0.0","0.0","10.4","11.7","18.1","8.0","8.6","2.3","T","0.0","59.1"
"1916-1917","0.0","0.0","0.0","0.0","5.8","13.2","8.3","11.9","9.7","1.0","0.0","0.0","49.9"
"1917-1918","0.0","0.0","0.0","T","0.0","6.7","8.7","7.4","3.2","T","0.0","0.0","26.0"
"1918-1919","0.0","0.0","0.0","0.0","2.0","4.4","3.2","21.9","4.6","0.0","0.0","0.0","36.1"
"1919-1920","0.0","0.0","0.0","2.1","8.9","2.8","6.5","0.5","3.0","3.9","0.0","0.0","27.7"
"1920-1921","0.0","0.0","0.0","T","T","5.3","11.1","3.4","5.0","T","T","0.0","24.8"
"1921-1922","0.0","0.0","0.0","0.0","10.5","3.2","13.7","10.4","5.5","1.0","T","0.0","44.3"
"1922-1923","0.0","0.0","0.0","0.0","T","31.0","5.4","13.9","3.1","T","T","0.0","53.4"
"1923-1924","0.0","0.0","0.0","0.0","1.3","6.5","5.0","1.3","0.5","T","0.0","0.0","14.6"
"1924-1925","0.0","0.0","0.0","0.0","5.7","10.7","11.0","T","0.7","T","0.0","0.0","28.1"
"1925-1926","0.0","0.0","0.0","T","5.2","3.4","11.3","2.5","0.3","3.8","0.0","0.0","26.5"
"1926-1927","0.0","0.0","1.4","0.0","0.2","12.8","8.3","8.7","2.6","1.0","0.0","0.0","35.0"
"1927-1928","0.0","0.0","0.0","0.0","4.4","15.0","9.3","1.0","T","T","0.0","0.0","29.7"
