"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1898-1899","M","M","M","M","M","M","M","M","M","M","T","M","M"
"1899-1900","M","M","M","M","0.0","20.7","17.0","15.0","4.0","T","0.0","0.0","M"
"1900-1901","0.0","0.0","0.0","T","8.0","4.0","19.0","4.0","6.0","0.3","0.0","0.0","41.3"
"1901-1902","0.0","M","M","0.0","5.0","9.3","0.6","11.2","0.4","M","M","M","M"
"1902-1903","M","M","M","M","M","M","M","M","M","0.8","0.0","M","M"
"1903-1904","M","M","0.0","0.0","6.5","9.5","M","32.5","21.0","0.0","M","0.0","M"
"1904-1905","M","M","M","M","3.0","21.8","10.9","2.8","2.0","T","M","M","M"
"1905-1906","M","M","M","T","10.5","13.3","14.3","6.0","1.9","M","M","M","M"
"1906-1907","M","M","M","M","M","30.0","29.5","M","7.9","T","0.0","M","M"
"1907-1908","M","M","M","M","M","19.2","22.8","17.8","3.3","M","M","M","M"
"1908-1909","M","M","M","0.4","2.7","19.7","20.4","M","M","0.3","0.0","M","M"
"1909-1910","0.0","M","M","M","8.6","M","8.0","10.5","M","T","0.0","0.0","M"
"1910-1911","0.0","0.0","M","M","M","M","M","M","M","M","M","M","M"
"1911-1912","M","M","M","0.0","13.5","M","16.0","5.0","1.0","M","0.0","M","M"
"1912-1913","0.0","M","0.0","M","3.0","17.0","M","1.0","4.0","M","0.0","M","M"
"1913-1914","M","0.0","M","4.0","8.0","10.7","17.7","9.0","3.5","M","0.0","M","M"
"1914-1915","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1915-1916","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1916-1917","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1917-1918","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1918-1919","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1919-1920","M","M","M","M","M","M","8.5","4.3","3.0","0.0","0.0","0.0","M"
"1920-1921","0.0","0.0","0.0","0.0","0.2","8.4","29.1","12.0","8.3","0.0","0.0","0.0","58.0"
"1921-1922","0.0","0.0","0.0","0.0","15.3","3.0","M","M","7.2","T","0.0","0.0","M"
"1922-1923","0.0","M","M","M","M","M","M","M","M","M","M","M","M"
"1923-1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
