"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1940-1941","M","M","M","M","M","M","M","M","M","M","M","0.0","M"
"1941-1942","0.0","0.0","0.0","0.0","0.0","0.0","1.0","T","T","0.0","0.0","0.0","1.0"
"1942-1943","0.0","0.0","0.0","0.0","0.0","T","16.0","T","T","0.0","0.0","0.0","16.0"
"1943-1944","0.0","0.0","0.0","0.0","0.0","0.0","T","T","T","0.0","0.0","0.0","T"
"1944-1945","0.0","0.0","0.0","0.0","0.0","T","0.0","T","T","0.0","0.0","0.0","T"
"1945-1946","0.0","0.0","0.0","0.0","0.7","0.0","T","T","T","0.0","0.0","0.0","0.7"
"1946-1947","0.0","0.0","0.0","0.0","12.4","T","7.4","T","0.0","0.0","0.0","0.0","19.8"
"1947-1948","0.0","0.0","0.0","0.0","0.0","T","2.0","0.7","T","T","0.0","0.0","2.7"
"1948-1949","0.0","0.0","0.0","0.0","T","1.0","10.8","17.7","T","0.0","T","0.0","29.5"
"1949-1950","0.0","0.0","T","T","0.0","5.8","45.0","0.8","0.3","T","T","0.0","51.9"
"1950-1951","0.0","0.0","0.0","T","2.3","T","0.9","1.7","20.6","T","T","0.0","25.5"
"1951-1952","0.0","0.0","0.0","0.0","0.0","1.3","16.5","6.8","T","T","T","0.0","24.6"
"1952-1953","0.0","0.0","0.0","0.0","T","T","T","1.5","0.1","T","T","0.0","1.6"
"1953-1954","0.0","0.0","0.0","T","T","T","22.9","0.6","T","0.1","T","0.0","23.6"
"1954-1955","0.0","0.0","0.0","T","0.0","1.4","0.4","4.0","10.5","0.1","0.0","0.0","16.4"
"1955-1956","T","0.0","0.0","T","10.0","14.5","4.9","7.7","2.9","0.0","0.0","0.0","40.0"
"1956-1957","0.0","0.0","0.0","T","0.0","1.1","12.4","5.5","T","0.0","0.0","0.0","19.0"
"1957-1958","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.9","0.0","0.0","0.0","0.9"
"1958-1959","0.0","0.0","0.0","0.0","0.5","0.0","5.5","14.1","1.0","0.0","0.0","0.0","21.1"
"1959-1960","0.0","0.0","0.0","0.0","0.0","0.7","7.1","T","8.4","T","0.0","0.0","16.2"
"1960-1961","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.2","0.5","T","0.0","0.0","8.7"
"1961-1962","0.0","0.0","0.0","0.0","0.0","1.7","2.1","7.5","4.2","0.0","0.0","0.0","15.5"
"1962-1963","0.0","0.0","0.0","0.0","T","T","2.0","T","T","T","0.0","0.0","2.0"
"1963-1964","0.0","0.0","0.0","0.0","0.1","0.0","2.4","0.0","1.0","0.0","0.0","0.0","3.5"
"1964-1965","0.0","0.0","0.0","0.0","1.3","16.5","14.8","T","0.2","0.0","0.0","0.0","32.8"
"1965-1966","0.0","0.0","0.0","0.0","0.0","14.0","10.7","2.0","15.5","0.1","0.0","0.0","42.3"
"1966-1967","0.0","0.0","0.0","0.0","0.0","1.7","3.3","T","1.1","T","0.0","0.0","6.1"
"1967-1968","0.0","0.0","0.0","0.0","0.0","7.9","16.9","0.0","0.0","T","0.0","0.0","24.8"
"1968-1969","0.0","0.0","0.0","0.0","0.0","21.4","58.7","1.4","0.0","0.0","0.0","0.0","81.5"
"1969-1970","0.0","0.0","0.0","0.0","0.0","T","3.0","0.0","T","0.1","T","0.0","3.1"
"1970-1971","0.0","0.0","0.0","T","0.4","9.0","15.4","5.1","6.1","0.1","0.0","0.0","36.1"
"1971-1972","0.0","0.0","0.0","T","T","17.2","29.2","2.4","3.6","2.2","0.0","0.0","54.6"
"1972-1973","0.0","0.0","T","0.0","0.0","5.8","2.9","0.0","T","0.0","0.0","0.0","8.7"
"1973-1974","0.0","0.0","0.0","0.0","1.9","2.6","4.1","1.1","T","T","T","0.0","9.7"
"1974-1975","0.0","0.0","0.0","0.0","T","13.5","7.2","1.5","0.3","T","T","0.0","22.5"
"1975-1976","0.0","0.0","0.0","T","4.5","3.7","0.6","7.2","T","T","T","T","16.0"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","1.8","T","0.8","T","T","0.0","2.6"
"1977-1978","0.0","0.0","0.0","0.0","3.8","1.6","0.0","0.0","T","0.0","T","0.0","5.4"
"1978-1979","0.0","0.0","0.0","0.0","14.8","2.5","0.1","1.5","0.0","0.0","0.0","0.0","18.9"
"1979-1980","0.0","0.0","0.0","0.0","T","T","19.7","11.9","4.1","T","0.0","0.0","35.7"
"1980-1981","0.0","0.0","0.0","0.0","T","3.0","0.0","0.9","0.0","0.4","0.0","0.0","4.3"
"1981-1982","0.0","0.0","0.0","0.0","0.0","2.8","11.8","5.1","1.9","T","0.0","0.0","21.6"
"1982-1983","0.0","0.0","0.0","0.0","T","T","0.0","0.0","0.0","T","0.0","0.0","T"
"1983-1984","0.0","0.0","0.0","0.0","0.0","4.9","T","0.0","T","0.0","T","0.0","4.9"
"1984-1985","0.0","0.0","0.0","0.0","T","4.7","T","13.8","T","T","T","0.0","18.5"
"1985-1986","0.0","0.0","0.0","0.0","12.3","7.3","0.0","5.3","0.0","T","T","0.0","24.9"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T"
"1987-1988","0.0","0.0","0.0","0.0","T","1.0","T","0.1","0.0","0.2","T","0.0","1.3"
"1988-1989","0.0","0.0","0.0","0.0","T","T","6.8","13.8","9.0","T","0.0","T","29.6"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","1.7","27.4","0.2","0.0","0.0","0.0","29.3"
"1990-1991","0.0","0.0","0.0","0.0","T","2.2","3.0","0.0","T","T","T","0.0","5.2"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T","0.0","0.0","T"
"1992-1993","0.0","0.0","0.0","0.0","0.0","9.4","3.8","0.2","0.0","0.0","0.0","0.0","13.4"
"1993-1994","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.8","T","T","0.0","T","1.3"
"1994-1995","0.0","0.0","0.0","0.0","0.1","6.2","0.0","2.6","T","T","0.0","0.0","8.9"
"1995-1996","0.0","0.0","0.0","0.0","0.0","0.0","3.0","M","M","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","0.0","0.0","M","M","M","M","M","M","M","M","M"
"1997-1998","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1998-1999","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1999-2000","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2000-2001","M","M","M","M","M","M","M","M","0.0","0.0","M","0.0","M"
"2001-2002","0.0","M","M","M","M","M","M","M","M","M","M","M","M"
"2002-2003","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2003-2004","M","M","M","M","M","M","M","0.0","0.0","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","M","M","0.0","M","0.0","M","0.3","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","M","M","0.0","M","M","T","M","0.0","0.0","M"
"2007-2008","0.0","M","M","M","M","M","M","M","M","M","M","M","M"
"2008-2009","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2009-2010","M","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","M"
"2010-2011","0.0","0.0","0.0","0.0","T","0.0","M","M","0.0","0.0","0.0","M","M"
"2011-2012","0.0","0.0","0.0","0.0","0.2","0.0","16.2","T","0.8","0.0","0.0","0.0","17.2"
"2012-2013","0.0","0.0","0.0","0.0","0.0","0.3","T","0.0","0.0","0.0","0.0","0.0","0.3"
"2013-2014","0.0","0.0","0.0","0.0","0.0","T","0.0","4.2","0.0","0.0","0.0","0.0","4.2"
"2014-2015","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T"
"2015-2016","0.0","0.0","0.0","0.0","0.0","T","T","0.0","0.0","0.0","0.0","0.0","T"
"2016-2017","0.0","0.0","0.0","0.0","0.0","T","M","T","T","0.0","0.0","0.0","M"
"2017-2018","0.0","0.0","0.0","0.0","T","T","0.0","M","0.0","0.0","0.0","0.0","M"
"2018-2019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","M","0.0","0.0","0.0","M"
"2019-2020","0.0","0.0","0.0","0.0","0.0","T","T","T","T","0.0","0.0","0.0","T"
"2020-2021","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","M"
"2021-2022","0.0","M","0.0","0.0","0.0","T","M","M","M","M","M","M","M"
