"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1956-1957","M","M","M","M","M","M","M","M","M","0.0","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1958-1959","0.0","0.0","0.0","0.0","T","0.5","4.6","5.4","0.0","0.0","0.0","0.0","10.5"
"1959-1960","0.0","0.0","0.0","0.0","0.2","M","M","0.0","2.0","0.0","0.0","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","0.0","1.5","0.1","0.0","0.0","0.0","0.0","0.0","1.6"
"1961-1962","0.0","0.0","0.0","0.0","3.0","2.0","T","0.5","1.0","0.0","0.0","0.0","6.5"
"1962-1963","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.4"
"1963-1964","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1964-1965","0.0","0.0","0.0","0.0","0.0","15.7","3.3","0.0","T","0.0","0.0","0.0","19.0"
"1965-1966","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1966-1967","0.0","0.0","0.0","0.0","0.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"1967-1968","0.0","0.0","0.0","0.0","0.0","2.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","0.0","5.0","24.0","1.0","0.0","0.0","0.0","0.0","30.0"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","4.0","T","0.0","0.0","0.0","0.0","4.0"
"1970-1971","0.0","0.0","0.0","0.0","2.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1971-1972","0.0","0.0","0.0","0.0","0.0","5.0","2.0","4.0","0.0","0.0","0.0","0.0","11.0"
"1972-1973","0.0","M","0.0","0.0","0.0","M","2.0","1.5","0.0","0.0","0.0","0.0","M"
"1973-1974","0.0","0.0","0.0","0.0","M","0.5","M","0.0","0.0","0.0","0.0","0.0","M"
"1974-1975","0.0","0.0","0.0","0.0","0.0","0.0","T","0.5","0.0","0.0","0.0","0.0","0.5"
"1975-1976","0.0","0.0","0.0","0.0","M","M","M","M","M","0.0","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.3"
"1977-1978","0.0","0.0","0.0","0.0","M","4.0","4.3","0.0","0.0","0.0","0.0","0.0","M"
"1978-1979","0.0","0.0","0.0","0.0","M","1.0","M","1.0","0.0","0.0","M","0.0","M"
"1979-1980","M","0.0","0.0","0.0","T","0.0","M","M","1.0","0.0","0.0","0.0","M"
"1980-1981","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1981-1982","0.0","0.0","0.0","0.0","0.0","5.0","6.0","0.0","M","0.0","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","0.0","4.0","M","M","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","M","0.0","M"
"1984-1985","0.0","0.0","0.0","0.0","0.0","2.3","1.5","3.5","0.0","0.0","0.0","0.0","M"
"1985-1986","0.0","M","0.0","0.0","M","M","M","M","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","0.0","M","M","M","0.0","0.0","0.0","0.0","M"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.1","1.4","0.0","0.0","0.0","0.0","0.0","1.5"
"1988-1989","0.0","0.0","0.0","0.0","0.0","0.0","4.3","M","M","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","7.0"
"1990-1991","0.0","0.0","0.0","0.0","0.0","M","M","0.0","T","0.0","0.0","0.0","M"
"1991-1992","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","M"
"1992-1993","0.0","0.0","0.0","0.0","0.0","M","10.9","M","1.5","0.0","0.0","M","M"
"1993-1994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","M"
"1994-1995","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1995-1996","0.0","0.0","0.0","0.0","0.0","3.6","M","2.3","0.0","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","0.0","0.0","2.0","11.0","0.1","0.0","0.0","0.0","0.0","0.0","13.1"
"1997-1998","0.0","0.0","0.0","0.0","0.0","1.5","7.8","0.0","0.0","0.0","0.0","0.0","9.3"
"1998-1999","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"1999-2000","0.0","0.0","0.0","0.0","0.0","0.0","2.3","0.3","0.0","0.0","0.0","0.0","2.6"
"2000-2001","0.0","0.0","0.0","0.0","0.0","3.0","0.0","2.5","0.0","0.0","0.0","0.0","5.5"
"2001-2002","0.0","0.0","0.0","0.0","0.0","2.0","M","0.0","0.0","0.0","0.0","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2003-2004","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","M","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
