"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1907-1908","M","M","M","M","M","M","M","M","1.5","M","0.0","M","M"
"1908-1909","M","M","M","M","T","3.6","16.0","3.0","M","T","0.0","M","M"
"1909-1910","M","M","M","0.0","2.0","12.0","M","15.0","0.0","0.0","0.0","0.0","M"
"1910-1911","0.0","0.0","M","M","M","M","M","8.5","M","M","0.0","M","M"
"1911-1912","M","M","M","M","6.0","7.5","6.0","T","1.5","M","M","M","M"
"1912-1913","M","M","M","0.0","T","M","41.5","9.5","7.0","M","M","M","M"
"1913-1914","M","0.0","M","0.0","0.5","10.5","3.5","T","T","M","M","M","M"
"1914-1915","M","M","0.0","M","1.0","6.0","3.5","T","0.0","M","M","M","M"
"1915-1916","M","M","M","0.0","2.0","5.0","14.5","24.0","5.0","M","T","M","M"
"1916-1917","M","M","0.0","0.0","M","8.0","7.0","8.5","6.0","T","M","0.0","M"
"1917-1918","M","0.0","M","M","0.0","1.0","M","2.5","0.0","T","0.0","0.0","M"
"1918-1919","M","M","M","0.0","1.0","4.5","2.0","8.5","1.5","0.0","0.0","0.0","M"
"1919-1920","M","M","0.0","6.0","5.1","13.9","6.3","2.0","0.5","3.0","M","M","M"
"1920-1921","M","0.0","0.0","0.0","0.0","1.0","5.3","1.5","2.9","T","M","M","M"
"1921-1922","0.0","M","T","0.0","9.0","4.0","M","M","0.0","0.0","0.0","0.0","M"
"1922-1923","0.0","0.0","M","0.0","M","M","M","M","0.0","0.0","0.0","M","M"
"1923-1924","M","M","M","M","T","1.2","2.0","0.0","M","0.0","M","0.0","M"
"1924-1925","M","M","M","M","M","6.6","2.5","0.0","0.0","0.0","0.0","M","M"
"1925-1926","M","M","M","M","2.0","M","3.0","T","M","M","M","M","M"
"1926-1927","M","M","T","M","2.0","7.9","8.5","0.0","2.0","T","M","M","M"
"1927-1928","M","M","M","M","0.0","6.5","M","1.0","M","M","M","M","M"
"1928-1929","M","M","M","M","M","M","17.5","M","M","M","M","M","M"
"1929-1930","M","M","M","M","M","1.0","9.5","3.0","M","M","M","M","M"
"1930-1931","M","0.0","M","M","4.7","2.5","M","0.5","1.0","0.0","0.0","0.0","M"
"1931-1932","0.0","0.0","0.0","0.0","6.0","7.5","9.1","6.6","2.0","0.0","0.0","0.0","31.2"
