Year,Bearing per Acreage,Yield per Acre Pounds,Total Production Pounds,Utilitzed Production Pounds,Average Price per Pound Cents,Average Price per Pound Dollars,Value of Utilized Production Dollars
1889,,,"13,570,000","13,570,000",,,
1890,,,"2,412,000","2,412,000",,,
1891,,,"31,878,000","31,878,000",,,
1892,,,"28,106,000","28,106,000",,,
1893,,,"37,766,000","37,766,000",,,
1894,,,"37,674,000","37,674,000",,,
1895,,,"52,716,000","52,716,000",,,
1896,,,"44,712,000","44,712,000",,,
1897,,,"78,200,000","78,200,000",,,
1898,,,"94,668,000","94,668,000",,,
1899,,,"33,534,000","33,534,000",,,
1900,,,"89,700,000","89,700,000",,,
1901,,,"8,620,000","8,620,000",,,
1902,,,"105,800,000","105,800,000",,,
1903,,,"119,600,000","119,600,000",,,
1904,,,"124,200,000","124,200,000",,,
1905,,,"1,150,000","1,150,000",,,
1906,,,"1,380,000","1,380,000",,,
1907,,,"174,800,000","174,800,000",,,
1908,,,"147,200,000","147,200,000",,,
1909,,,"122,912,000","122,912,000",3.5,0.035,"4,302,000"
1910,,,"266,800,000","266,800,000",2.35,0.0235,"6,264,000"
1911,,,"161,000,000","161,000,000",2.43,0.0243,"3,920,000"
1912,,,"354,200,000","354,200,000",1.26,0.0126,"4,466,000"
1913,,,"317,400,000","317,400,000",2.76,0.0276,"8,763,000"
1914,,,"450,340,000","450,340,000",1.26,0.0126,"5,678,000"
1915,,,"449,972,000","449,972,000",2.02,0.0202,"9,097,000"
1916,,,"761,760,000","761,760,000",2.2,0.022,"16,726,000"
1917,,,"844,560,000","844,560,000",2.65,0.0265,"22,399,000"
1918,,,"901,232,000","901,232,000",3.48,0.0348,"31,347,000"
1919,"132,000","8,810","1,163,570,000","1,163,570,000",4.24,0.0424,"49,325,000"
1920,"129,000","6,530","841,800,000","841,800,000",3.72,0.0372,"31,293,000"
1921,"125,500","11,500","1,448,999,000","1,448,999,000",3.2,0.032,"46,305,000"
1922,"121,500","10,400","1,262,654,000","1,262,654,000",2.28,0.0228,"28,821,000"
1923,"117,500","12,900","1,517,999,000","1,517,999,000",2.26,0.0226,"34,320,000"
1924,"113,000","8,960","1,012,000,000","1,012,000,000",3.61,0.0361,"36,520,000"
1925,"108,500","12,200","1,320,200,000","1,320,200,000",2.93,0.0293,"38,745,000"
1926,"102,500","15,500","1,584,469,000","1,552,775,000",2.2,0.022,"34,094,000"
1927,"97,500","11,800","1,147,240,000","1,147,240,000",3.74,0.0374,"42,897,000"
1928,"93,000","18,700","1,740,639,000","1,740,639,000",2.39,0.0239,"41,624,000"
1929,"89,000","15,500","1,380,000,000","1,380,000,000",3.04,0.0304,"42,000,000"
1930,"86,500","20,200","1,747,999,000","1,747,999,000",2.26,0.0226,"39,520,000"
1931,"83,000","17,200","1,426,000,000","1,403,000,000",1.41,0.0141,"19,825,000"
1932,"80,000","18,400","1,471,999,000","1,334,000,000",1.2,0.012,"15,950,000"
1933,"77,500","17,400","1,345,040,000","1,207,040,000",1.8,0.018,"21,779,000"
1934,"65,700","22,300","1,463,995,000","1,438,649,000",1.54,0.0154,"22,205,000"
1935,"63,500","22,600","1,435,568,000","1,257,962,000",1.52,0.0152,"19,143,000"
1936,"63,000","19,100","1,204,924,000","1,204,924,000",2.37,0.0237,"28,551,000"
1937,"62,500","21,500","1,343,752,000","1,213,848,000",1.35,0.0135,"16,361,000"
1938,"63,500","20,600","1,309,160,000","1,229,902,000",1.83,0.0183,"22,459,000"
