Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,676,534",33.5
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"951,909",92.7
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CRIPPS PINK, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"52,671,663",39.9
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"167,505,158",27
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"261,749,682",24.7
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"68,010,122",36.2
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"97,003,774",21.5
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"125,241,014",37.8
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"884,492,656",24.9
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"51,893,330",35.7
