Program,Year,Geo Level,State,Commodity,Domain,"APPLES - PRICE RECEIVED, MEASURED IN $ / LB Value"
SURVEY,2021,STATE,WASHINGTON,APPLES,TOTAL,0.337
SURVEY,2020,STATE,WASHINGTON,APPLES,TOTAL,0.319
SURVEY,2019,STATE,WASHINGTON,APPLES,TOTAL,0.271
SURVEY,2018,STATE,WASHINGTON,APPLES,TOTAL,0.336
SURVEY,2017,STATE,WASHINGTON,APPLES,TOTAL,0.338
SURVEY,2016,STATE,WASHINGTON,APPLES,TOTAL,0.341
SURVEY,2015,STATE,WASHINGTON,APPLES,TOTAL,0.394
SURVEY,2014,STATE,WASHINGTON,APPLES,TOTAL,0.267
SURVEY,2013,STATE,WASHINGTON,APPLES,TOTAL,0.362
SURVEY,2012,STATE,WASHINGTON,APPLES,TOTAL,0.385
SURVEY,2011,STATE,WASHINGTON,APPLES,TOTAL,0.357
SURVEY,2010,STATE,WASHINGTON,APPLES,TOTAL,0.278
SURVEY,2009,STATE,WASHINGTON,APPLES,TOTAL,0.272
SURVEY,2008,STATE,WASHINGTON,APPLES,TOTAL,0.228
SURVEY,2007,STATE,WASHINGTON,APPLES,TOTAL,0.342
SURVEY,2006,STATE,WASHINGTON,APPLES,TOTAL,0.253
SURVEY,2005,STATE,WASHINGTON,APPLES,TOTAL,0.179
SURVEY,2004,STATE,WASHINGTON,APPLES,TOTAL,0.122
SURVEY,2003,STATE,WASHINGTON,APPLES,TOTAL,0.219
SURVEY,2002,STATE,WASHINGTON,APPLES,TOTAL,0.201
SURVEY,2001,STATE,WASHINGTON,APPLES,TOTAL,0.178
SURVEY,2000,STATE,WASHINGTON,APPLES,TOTAL,0.125
SURVEY,1999,STATE,WASHINGTON,APPLES,TOTAL,0.171
SURVEY,1998,STATE,WASHINGTON,APPLES,TOTAL,0.115
SURVEY,1997,STATE,WASHINGTON,APPLES,TOTAL,0.164
SURVEY,1996,STATE,WASHINGTON,APPLES,TOTAL,0.166
SURVEY,1995,STATE,WASHINGTON,APPLES,TOTAL,0.215
SURVEY,1994,STATE,WASHINGTON,APPLES,TOTAL,0.138
SURVEY,1993,STATE,WASHINGTON,APPLES,TOTAL,0.142
SURVEY,1992,STATE,WASHINGTON,APPLES,TOTAL,0.154
SURVEY,1991,STATE,WASHINGTON,APPLES,TOTAL,0.22
SURVEY,1990,STATE,WASHINGTON,APPLES,TOTAL,0.164
SURVEY,1989,STATE,WASHINGTON,APPLES,TOTAL,0.093
SURVEY,1988,STATE,WASHINGTON,APPLES,TOTAL,0.13
SURVEY,1987,STATE,WASHINGTON,APPLES,TOTAL,0.073
SURVEY,1986,STATE,WASHINGTON,APPLES,TOTAL,0.155
SURVEY,1985,STATE,WASHINGTON,APPLES,TOTAL,0.17
SURVEY,1984,STATE,WASHINGTON,APPLES,TOTAL,0.111
SURVEY,1983,STATE,WASHINGTON,APPLES,TOTAL,0.114
SURVEY,1982,STATE,WASHINGTON,APPLES,TOTAL,0.097
SURVEY,1981,STATE,WASHINGTON,APPLES,TOTAL,0.109
SURVEY,1980,STATE,WASHINGTON,APPLES,TOTAL,0.082
SURVEY,1979,STATE,WASHINGTON,APPLES,TOTAL,0.127
SURVEY,1978,STATE,WASHINGTON,APPLES,TOTAL,0.126
SURVEY,1977,STATE,WASHINGTON,APPLES,TOTAL,0.13
