Program,Year,Period,Geo Level,State,Commodity,Domain,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB"
SURVEY,2021,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"6,489,600,000"
SURVEY,2020,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"6,569,300,000"
SURVEY,2019,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"7,220,000,000"
SURVEY,2018,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"6,365,000,000"
SURVEY,2017,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"7,200,000,000"
SURVEY,2016,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"6,900,000,000"
SURVEY,2015,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,890,000,000"
SURVEY,2014,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"7,100,000,000"
SURVEY,2013,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,900,000,000"
SURVEY,2012,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"6,450,000,000"
SURVEY,2011,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,420,000,000"
SURVEY,2010,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,550,000,000"
SURVEY,2009,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,200,000,000"
SURVEY,2008,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,650,000,000"
SURVEY,2007,YEAR,STATE,WASHINGTON,APPLES,TOTAL,"5,200,000,000"
