EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
553049,GREATER VANCOUVER AREA (ZONE), ,12/11/2014,1500,High Wind,52.00, ,0,0,5000,0,WA,PST-8,MG,92342,Z,39,PQR,0,0,Official NWS Observations, , , , , , , , ,12/11/2014,1730, , , , ,"Two Weather observers reported measured wind gusts around 58 mph in Vancouver and a peak gust of 60 mph was reported on the Glen Jackson Bridge on Interstate 205. These strong winds resulted in numerous downed trees and tree limbs in the Vancouver metro area, and widespread power outages.","A 974 millibar surface low moved northward paralleling the Oregon coast around 80 miles offshore, and resulted in one of the strongest wind storms that Northwest Oregon had experienced in past several of years. The strongest winds occurred as high pressure filled in behind the low. Southwest Washington was less affected than Northwest Oregon, but still saw its fair share of gusty winds along the coast and the Vancouver metro area.",1
553437,LOWER COLUMBIA (ZONE), ,12/11/2014,1530,High Wind,35.00, ,0,0,0,0,WA,PST-8,MS,92342,Z,22,PQR,0,0,Department of Highways, , , , , , , , ,12/11/2014,1630, , , , ,"A Department of Transportation sensor measure sustained winds of 40 mph.","A 974 millibar surface low moved northward paralleling the Oregon coast around 80 miles offshore, and resulted in one of the strongest wind storms that Northwest Oregon had experienced in past several of years. The strongest winds occurred as high pressure filled in behind the low. Southwest Washington was less affected than Northwest Oregon, but still saw its fair share of gusty winds along the coast and the Vancouver metro area.",2
553047,SOUTH COAST (ZONE), ,12/11/2014,1530,High Wind,55.00, ,0,0,0,0,WA,PST-8,MG,92342,Z,21,PQR,0,0,Official NWS Observations, , , , , , , , ,12/11/2014,1845, , , , ,"Two Weather Stations along the Southwest Washington Coast measured wind gusts around 63 mph for a couple of hours in the evening.","A 974 millibar surface low moved northward paralleling the Oregon coast around 80 miles offshore, and resulted in one of the strongest wind storms that Northwest Oregon had experienced in past several of years. The strongest winds occurred as high pressure filled in behind the low. Southwest Washington was less affected than Northwest Oregon, but still saw its fair share of gusty winds along the coast and the Vancouver metro area.",3
545443,NORTHWEST BLUE MOUNTAINS (ZONE), ,12/11/2014,1600,High Wind,61.00, ,0,0,0,0,WA,PST-8,EG,90985,Z,30,PDT,0,0,Public, , , , , , , , ,12/11/2014,2100, , , , ,"Manager of ski resort reported some time between 4p-6p 11 trees downed along the Touchet road between mileposts 13.5 and 15.5.  The trees were up to 3 feet in diameter.","A deep strong low pressure system off the coast provided strong southerly flow to the forecast area.  With a strong upper level jet and associated strong low level jet running perpendicular to the mountain terrain, and a strong surface low that set up over the Washington Basin would tighten the gradients along the Blue Mountain Foothills.  Wind reports in MPH are as followed: Along with a few damage reports, 9 separate wind gust reports ranging from (58-91) were recorded along the Blue Mountain Foothills, the strongest wind gust was 11 miles ENE of Milton-Freewater OR near the WA/OR state line. Several downed trees reported along a highway in the Blue Mountains.",4
546448,SEATTLE AND VICINITY (ZONE), ,12/11/2014,1930,High Wind,38.00, ,0,0,500000,0,WA,PST-8,MS,90882,Z,558,SEW,0,0,Mesonet, , , , , , , , ,12/11/2014,2340, , , , ,"Evergreen Point Floating Bridge had 40-44 mph sustained wind.|Point Robinson had 41 mph sustained wind.  Some school districts had to cancel class, others started late.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",5
546456,ADMIRALTY INLET AREA (ZONE), ,12/11/2014,1945,High Wind,40.00, ,0,0,0,0,WA,PST-8,MS,90882,Z,510,SEW,0,0,Mesonet, , , , , , , , ,12/11/2014,2340, , , , ,"KNUW and Freeland had 40-46 mph sustained gusting 59-68 mph.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",6
546449,TACOMA AREA (ZONE), ,12/11/2014,1958,High Wind,50.00, ,0,0,500000,0,WA,PST-8,MG,90882,Z,509,SEW,0,0,ASOS, , , , , , , , ,12/11/2014,2158, , , , ,"KTCM had 33g58 mph in an observation.  A home in Gig Harbor had a tree fall on it.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",7
548995,SOUTHWEST INTERIOR (ZONE), ,12/11/2014,2000,Strong Wind,43.00, ,0,0,1000000,0,WA,PST-8,EG,90882,Z,504,SEW,0,0,Newspaper, , , , , , , , ,12/11/2014,2200, , , , ,"In Kelso, a 61-year-old man was taken to a hospital after a tree broke through the rafters of his house and hit him in his garage.  Power companies estimate about 1 million in damage costs.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",8
548996,EAST PUGET SOUND LOWLANDS (ZONE), ,12/11/2014,2000,Strong Wind,43.00, ,0,0,500000,0,WA,PST-8,EG,90882,Z,555,SEW,0,0,Newspaper, , , , , , , , ,12/11/2014,2200, , , , ,"Power companies estimate about 1/2 million in damage costs.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",9
546452,CENTRAL COAST (ZONE), ,12/11/2014,2001,High Wind,38.00, ,0,0,0,0,WA,PST-8,MS,90882,Z,517,SEW,0,0,ASOS, , , , , , , , ,12/11/2014,2201, , , , ,"KHQM and WPT had 40-44 mph sustained wind.","A deep low moved north along the Washington coast but weakened with time.  The strongest winds occurred inland from about Tacoma north.  A Seattle Times article said there were 246,000 power customers affected, which would make this the highest impact storm of the season by a small margin.||Here is a Seattle Times article:||Vashon Highway Southwest between Southwest 112th Street and 116th Street is closed because of downed power lines.||The storm impacted nearly 246,000 customers. ||Redmond police said 160th Avenue Northeast, between Northeast 83rd and Northeast 85th, remained closed Friday morning after scaffolding outside an apartment building under construction fell Thursday night.||The Point Defiance/Tahlequah ferry route is out of service until further notice because of storm damage to the Tahlequah terminal, according to Washington State Ferries. The alternate route is the North Vashon terminal.||Update at 6 a.m.: Puget Sound Energy says about 53,000 customers are without power in the utility���s service area.||Meanwhile, several school districts are closing schools or starting late as a result of power outages and blocked roads. Check here for updates.||The tree that was blocking Highway 203 at 124th Street Northeast, south of Duvall, has been cleared.||Original post: Utility crews are making progress in restoring power to tens of thousands of homes and businesses in Western Washington that lost power during last night���s windstorm.||Puget Sound Energy reported about 66,000 customers were still without power as of 4:30 a.m. Friday, down from a peak of nearly 105,000 at 1 a.m. Seattle City Light said just under 2,500 were in the dark as of 4:30 a.m.||The Snohomish County Public Utility District reported about 26,000 customers were without power.||Some school districts are observing modified schedules as a result of the storm.||In the Northshore School District, Timbercrest Junior High and Bear Creek and East Ridge elementary schools are closed Friday due to road closures and power outages. All other district schools will open two hours later than normal.||In the Everett School District, Everett High and Emerson and Woodside elementaries will be closed.||South Whidbey School District is closed.||In the Bethel School District in Pierce County, Roy Elementary School will start two hours late. The Toledo School District in Lewis County is also starting school two hours late.||Several streets are blocked by trees or debris, including state Highway 9 a mile north of Finn Settlement Road north of Arlington. Also, Highway 203 at 124th Street Northeast, south of Duvall, is blocked by a tree.||Officials say a tree fell onto the casino���s 18,000-gallon propane tank and started a large fire roughly 30 feet from the casino.||Winds have gradually died down. Thursday night, the National Weather Service recorded gusts of 50 mph at Seattle���s Alki Beach, 61 mph on Camano Island and 69 mph at the Whidbey Island Naval Air Station.",10
