EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10149535,SPOKANE CO., ,06/15/1954,1530,Tornado,0,F2,0,0,25000,0,WA,CST, , ,C,63, ,0,0, , ,.5,100,0, ,0, , ,06/15/1954,1530,47.43,-117.38, , ,"","",1
10149536,GRANT CO., ,06/23/1955,2200,Thunderstorm Wind,0, ,0,0,0,0,WA,CST, , ,C,25, ,0,0, , ,0,0,0, ,0, , ,06/23/1955,2200,47.20,-119.30, , ,"","",2
10149537,LINCOLN CO., ,07/16/1955,2100,Hail,2.00, ,0,0,0,0,WA,CST, , ,C,43, ,0,0, , ,0,0,0, ,0, , ,07/16/1955,2100,47.70,-117.90, , ,"","",3
10149538,STEVENS CO., ,07/16/1955,2200,Hail,.75, ,0,0,0,0,WA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,07/16/1955,2200,48.28,-117.68, , ,"","",4
10149539,FRANKLIN CO., ,07/16/1955,2230,Hail,2.75, ,0,0,0,0,WA,CST, , ,C,21, ,0,0, , ,0,0,0, ,0, , ,07/16/1955,2230,46.50,-118.88, , ,"","",5
10149540,GRANT CO., ,07/24/1955,600,Thunderstorm Wind,0, ,0,0,0,0,WA,CST, , ,C,25, ,0,0, , ,0,0,0, ,0, , ,07/24/1955,600,47.70,-119.10, , ,"","",6
10149541,KING CO., ,03/03/1956,100,Thunderstorm Wind,80, ,0,0,0,0,WA,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , ,03/03/1956,100,47.50,-122.30, , ,"","",7
10149542,BENTON CO., ,05/09/1956,1500,Tornado,0,F0,0,0,0,0,WA,CST, , ,C,5, ,0,0, , ,10.2,80,0, ,0, , ,05/09/1956,1500,46.10,-119.20,46.20,-119.03,"","",8
10149543,LINCOLN CO., ,06/10/1956,1700,Thunderstorm Wind,0, ,0,0,0,0,WA,CST, , ,C,43, ,0,0, , ,0,0,0, ,0, , ,06/10/1956,1700,47.70,-118.18, , ,"","",9
10149544,DOUGLAS CO., ,08/15/1956,1900,Hail,1.00, ,0,0,0,0,WA,CST, , ,C,17, ,0,0, , ,0,0,0, ,0, , ,08/15/1956,1900,47.78,-119.98, , ,"","",10
