Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1900,1.46,1.03,M,0.74,2.35,1.43,0.96,0.65,1.46,2.22,1.94,2.95,M,Ferry
1901,2.4,1.71,0.7,2.14,2.48,3.85,1.51,0.09,2.81,M,M,M,M,Ferry
1902,M,M,1.46,2.39,3.67,1.01,2.56,0.43,0.35,0.66,2.53,M,M,Ferry
1903,1.55,0.45,1.68,M,0.76,1.25,2.13,1.15,1.1,0.5,2.51,1.22,M,Ferry
1904,1.78,2.56,2.2,1.64,0.26,1.77,0.98,0.69,0,0.83,1.57,1.79,16.07,Ferry
1905,1.99,0.85,1.51,0.74,1.63,2.04,0.58,0.51,2.08,2.06,1.5,0.93,16.42,Ferry
1906,0.96,1.51,0.92,0.48,3.92,1.81,0.07,0.11,0.5,0.19,2.35,M,M,Ferry
1907,M,M,M,M,M,M,M,M,M,M,M,1.96,M,Ferry
1908,1.89,1.23,0.5,1.68,2.51,1.05,1.17,1.12,0.05,1.05,1.14,0.9,14.29,Ferry
1909,1.86,2.53,0.49,0.32,2.41,1.34,2.43,T,1.24,1.16,2.13,1.06,16.97,Ferry
1910,1.1,0.6,1.22,0.35,0.73,1.22,0.19,1.13,0.58,1.01,1.24,1.34,10.71,Ferry
1911,1.67,0.99,0.22,0.67,3.75,2.9,0.69,0.84,M,0.17,0.98,2.26,M,Ferry
1912,1.74,0.7,0.33,2.16,1.59,1.54,2.29,M,0.66,1.62,1.16,1.33,M,Ferry
1913,1.31,0.04,0.16,0.71,1.99,3.01,1.25,0.52,1.87,1.12,1.64,1,14.62,Ferry
1914,2.11,2.12,0.35,0.26,1.07,0.16,0.08,M,M,M,M,1.47,M,Ferry
1915,M,0.61,0.02,0.06,M,M,M,M,M,M,M,M,M,Ferry
1916,M,M,1.4,M,M,M,M,M,M,M,M,M,M,Ferry
1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1918,M,M,M,M,M,M,M,M,0.72,1.46,2,0.97,M,Ferry
1919,2.47,2.57,0.4,0.68,1.19,T,0.11,0.37,1.95,0.18,1.49,0.84,12.25,Ferry
1920,0.34,0.13,0.56,2.19,0.26,1.06,1.08,1.33,1.45,0.93,1.87,1.84,13.04,Ferry
1921,2.32,0.91,1.54,1.85,0.27,2.08,T,T,0.69,1.12,2.13,0.79,13.7,Ferry
1922,0.85,1.16,1.06,1,0.38,0.03,T,1.48,0.58,1.9,0.34,1.92,10.7,Ferry
