Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,4.7,7.04,5.86,2.88,0.28,1.03,T,1.13,0.97,2.08,M,3.87,M,Kittitas
1900,4.75,3.65,2.25,1,1.14,0.71,0.04,0.8,1.94,3.09,2.98,4.1,26.45,Kittitas
1901,4.78,4.06,1.37,1.33,0.59,0.54,T,0.04,0.69,1.44,5.31,5.27,25.42,Kittitas
1902,2.73,4.16,M,2.35,0.78,0.04,0.88,0.09,0.87,0.79,6.06,7.77,M,Kittitas
1903,7.36,2.48,1.38,1.1,1.03,1.06,0.32,0.24,2.17,3.11,M,1.42,M,Kittitas
1904,3.96,4.8,4.76,1.45,0.29,0.77,0.49,0.36,0.78,1.63,3.62,3.89,26.8,Kittitas
1905,M,1.41,1.04,0.39,1.53,3.27,0.08,0.69,0.76,3.09,1.66,3.57,M,Kittitas
1906,4.79,1.98,0.96,0.12,2.01,0.99,0.18,0.03,0.7,1.67,7.87,4.94,26.24,Kittitas
1907,4.69,3.45,1.14,1.94,0.47,0.9,M,0.13,0.58,0.29,4.71,5.12,M,Kittitas
1908,2.05,2.35,4.04,1.48,1.54,0.51,1.18,0.34,0.11,1.55,1.07,2.93,19.15,Kittitas
1909,3.25,2.36,1.73,0.25,0.14,0.61,0.32,0.06,2.25,1.27,8.62,2.39,M,Kittitas
1910,2.04,2.83,3.84,1.18,0.8,0.69,0,0,0.74,2.17,5.13,2.54,21.96,Kittitas
1911,M,1.19,0.86,0.31,2.83,0.58,0,0.73,2.85,0.17,5.56,2.84,M,Kittitas
1912,6.33,3.28,1.64,1.54,1.29,1.45,0.42,1.69,0.58,2.66,3.01,4.8,28.69,Kittitas
1913,4.42,1.61,1.73,0.75,1.18,0.98,0.11,0.05,1.58,2.74,2.78,1.11,19.04,Kittitas
1914,3.2,2.67,1.07,0.87,1.06,1.43,0.28,0,1.45,1.69,M,1.33,M,Kittitas
1915,1.24,2.12,1.46,1.33,1.68,0.22,1.57,0,0.58,2.82,5.93,5.4,24.35,Kittitas
1916,2.72,5.09,5.31,0.48,0.84,1.56,1.77,0.42,0.3,0.54,2.09,3.07,24.19,Kittitas
1917,2.89,2.28,5.21,2.05,0.67,0.59,0.34,0,0.45,0.7,1.44,13.64,30.26,Kittitas
1918,4.94,2.79,1.14,0.44,1.62,0.37,0.98,1.23,0,3.83,1.77,4.63,23.74,Kittitas
1919,M,3.67,3.18,0.58,0.65,0.21,0.15,0,0.87,1.88,2.42,2.81,M,Kittitas
1920,3.4,0.64,1.49,2.33,0.39,0.36,0.67,0.96,1.72,1.67,M,6.79,M,Kittitas
1921,6.35,2.72,3.02,1.46,1.47,0.78,0.57,0.07,1.36,1.51,6.93,3.95,30.19,Kittitas
1922,1.7,1.51,1.59,0.66,0.36,0.17,0,0.23,0.93,1.76,1.29,8.42,18.62,Kittitas
1923,M,1.42,2.83,1.46,1.07,0.72,1.17,0.98,0.79,2.23,2.93,5.89,M,Kittitas
1924,4.08,3.04,1.01,0.58,0.2,0.77,0.38,0.23,1.03,1.11,4.45,1.85,18.73,Kittitas
1925,M,2.75,1.15,1.01,1.89,0.23,0,T,1.8,0.95,1.84,3.77,M,Kittitas
1926,1.98,3.22,0.4,0.61,0.63,M,0,0.5,1.13,2.92,4.59,3.66,M,Kittitas
1927,3.84,3.07,1.42,1.88,1.64,0.52,0,0.38,1.24,3.9,7.37,4.12,29.38,Kittitas
1928,3.61,M,M,1.74,M,M,0.05,M,M,M,1.3,2.59,M,Kittitas
1929,2.47,1.17,1.47,0.92,0.8,0.85,0,M,0.26,0.45,0.1,5.18,M,Kittitas
1930,M,1.66,0.19,M,M,M,0,M,M,M,M,0.41,M,Kittitas
1931,2.12,0.95,3.2,0.47,1.27,2.82,0,0,0.3,1.59,2.64,2.78,18.14,Kittitas
1932,4.37,2.59,5.37,0.24,1.1,0.1,0.19,0.27,0.42,1.42,4.45,3.61,24.13,Kittitas
1933,4.06,2.67,1.62,0.1,0.45,0.9,T,0.49,1.27,4.57,2.22,14.44,32.79,Kittitas
1934,5.32,M,3,0.42,0.12,T,T,0.16,0,0.63,6.35,2.1,M,Kittitas
1935,7.21,0.75,4.07,0.64,1,M,M,0.18,0.43,0.26,1.26,2.77,M,Kittitas
1936,4.11,3.75,3.8,0.89,1.57,3.12,0.32,T,0.19,0.22,0.2,4.8,22.97,Kittitas
1937,1.77,2.04,2.24,2.16,0.46,2.88,0.15,0.42,0.1,2.13,4.53,4.34,23.22,Kittitas
