Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,2.57,M,M,M,M,M,M,M,3.73,M,M,M,M,Lewis
1894,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1902,2.1,M,5.57,4.4,1.9,2.07,1.8,0.9,2.29,2.69,11.59,11.55,M,Lewis
1903,10.38,1.91,6.98,2.68,2.51,3.3,0.81,0.91,M,3.25,9.52,3.82,M,Lewis
1904,5.84,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1905,3.3,2.69,5.69,1.45,3.72,2.62,0.59,0.61,3.35,M,3.74,6.98,M,Lewis
1906,6.96,3.89,2.61,0.88,4.38,3.48,0.02,0.02,4.98,5.4,11.17,7.28,51.07,Lewis
1907,6.66,4.45,3.18,3.72,0.8,2.08,0.87,2.16,3.93,0.83,8.04,9.15,45.87,Lewis
1908,5.31,5.59,6.49,4.19,4.05,1,0.49,1.53,0.25,3.26,5.53,8.95,46.64,Lewis
1909,10.54,7.71,2.43,1.35,1.63,0.38,2.78,0.2,0.98,3.59,14.86,5.63,52.08,Lewis
1910,8.55,M,5.78,3.32,2.33,2.02,0,0.52,1.78,5.35,12.64,6.9,M,Lewis
1911,6.11,3.31,1.97,2.9,4.52,0.87,M,0.37,4.36,1.26,9.17,4.37,M,Lewis
1912,9.85,5.35,2.7,2.57,2.25,3.18,0.58,6.34,1.87,3.24,7.34,8.44,53.71,Lewis
1913,5.4,1.7,2.57,1.94,1.49,3.42,0.69,0.43,2.21,2.67,6.22,3.38,32.12,Lewis
1914,12.71,2.92,2.84,3.02,1.54,1.75,0.1,0.03,4.1,4.78,6.31,1.81,41.91,Lewis
1915,4.89,3.61,2.73,2.41,4.36,0.97,0.96,0.01,0.91,4.18,9.53,11.23,45.79,Lewis
1916,7.08,10.91,12.25,2.64,2.57,2.54,1.86,T,2.04,1.76,5.46,5.24,54.35,Lewis
1917,4.27,2.33,5.6,5.41,1.38,2.91,0.03,0.2,2.62,0.33,3.27,17.36,45.71,Lewis
1918,5.81,7.49,4.9,1.59,2.7,0.29,0.78,1.9,T,6.04,7.15,6.87,45.52,Lewis
1919,M,7.34,M,4.21,3.77,0.91,0.25,0.04,2.94,1.48,2.81,5.44,M,Lewis
1920,5.36,0.42,4.54,3.69,2.24,2.61,0.94,1.55,4.61,8.02,4.43,11.35,49.76,Lewis
1921,9.58,9.21,5.27,2.9,1.97,2.46,0.09,M,3.98,4.23,M,M,M,Lewis
1922,M,2.98,M,M,3.07,T,0,1.64,3.2,M,M,M,M,Lewis
