Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,32.8,M,53.3,57.5,66.2,67.2,57,44.5,33.4,M,M,Lincoln
1894,22.8,24.2,37.2,45.1,56,57.2,66.2,68.7,54.6,45.1,M,M,M,Lincoln
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1909,M,M,M,42.8,51.4,59.6,62.8,64.3,60.3,46.4,37.4,21.7,M,Lincoln
1910,23.4,23.6,44.4,50.3,57.5,59.3,68.2,62.4,56.6,48.5,35.8,29.8,46.8,Lincoln
1911,23.5,24.9,39.1,M,50.6,M,M,M,54,M,31.4,25,M,Lincoln
1912,20.2,32.2,36,M,M,61.2,64.8,M,M,M,36.9,M,M,Lincoln
1913,M,19.1,M,M,52.8,61,64.5,66.1,55.8,42.7,36.6,27.5,M,Lincoln
1914,30.8,27.1,M,45.3,M,55.3,67.3,66.5,53.9,47.7,M,19.7,M,Lincoln
1915,20.3,33.2,42.9,50.7,52.7,57.3,63.5,71.2,54.8,48,32.3,27.5,M,Lincoln
1916,11.9,29.2,M,44.1,44.8,M,60.2,M,M,43.5,29.3,18.6,M,Lincoln
1917,19.6,24.1,26.9,41.4,51.1,54.5,66.3,67.1,58.4,48.2,40.2,30.8,44,Lincoln
1918,29.3,27.4,38.5,48.5,51.9,65.3,69,63.9,63.3,50,35.1,29.8,47.9,Lincoln
1919,M,33.5,39.6,46.9,54.4,58.5,67.6,66.8,58,42.7,32.5,20.2,M,Lincoln
1920,24.9,31.5,37.4,42.4,50,56.3,69.1,67.4,55.8,45.3,35.4,29.4,45.5,Lincoln
1921,M,M,M,M,M,59.3,65,67.9,52.6,49.4,35,25.7,M,Lincoln
1922,17.5,19,31.6,43.1,52.3,66.3,70.7,66.9,60.6,50,33.1,17.9,M,Lincoln
1923,30.2,22.7,38.4,48.4,53.3,58.7,M,67.3,59.8,48.4,36.9,31.1,M,Lincoln
1924,21.2,38.4,38.4,46,61.1,62.1,68.9,66.4,59.9,46.8,M,21.7,M,Lincoln
1925,25.9,36.3,40,50.5,57,62.2,70.6,66.5,M,M,34.2,33.4,M,Lincoln
1926,26.9,36.4,43.6,51.5,53.1,63.2,M,66.5,51.8,48.5,37.9,M,M,Lincoln
1927,22.7,29.4,37.9,43.7,50.5,61.3,68.2,66.4,54.3,47.4,36.4,18.3,M,Lincoln
1928,24.7,26.1,39.9,43.7,58.2,60.2,69.5,64.9,58.8,46.8,34.7,25.6,M,Lincoln
1929,11.9,16,39.3,42.8,53.8,59.1,65.8,68.8,55.8,50.1,31.6,30.8,M,Lincoln
1930,12,33.1,39.9,50.5,52.5,57.9,68,68.3,58.4,44.1,32.4,23.5,45.1,Lincoln
1931,28.1,29.2,38.7,46.5,57.2,59.4,67.5,66.7,56.4,46.1,30.5,23.9,45.9,Lincoln
1932,21.7,23.6,35,46.7,52.3,61.8,63.7,65.3,58.7,46.6,38,21.6,M,Lincoln
1933,25.2,M,35.7,45.1,48.4,59.6,66.5,67,53.1,48.6,36.1,33.4,M,Lincoln
1934,34.2,37.2,44.6,53.5,56.6,59.9,65.8,66.4,53.4,48.6,39,27.5,48.9,Lincoln
1935,26.7,32.7,36,42,51.8,57.9,65.4,63.7,59.9,44.4,30.2,28.4,M,Lincoln
1936,27.7,13.3,37.7,49.3,59.5,62.5,67.6,66,57.5,50.2,32.6,30.4,46.4,Lincoln
1937,6.5,23.7,40,44.7,55.2,61,68.8,62.3,60.3,50.3,38,30.9,M,Lincoln
1938,29.2,28.9,38.3,47.7,53.7,62.8,70.2,63.6,65.4,49.7,32.8,29.1,47.7,Lincoln
1939,30.1,24.9,37.9,49.7,57,57.8,68.9,69.1,61.2,47.7,38.5,35.5,M,Lincoln
1940,27.1,33.1,44,48.1,60.2,65.5,69,68,63.3,50.2,28.8,29.8,49,Lincoln
1941,27.6,36.1,44.7,50.7,53.5,59.9,71.3,65.7,53,46.3,38.8,31.6,M,Lincoln
1942,21.9,30.4,38.8,48.6,51.5,58.5,M,68.4,60.2,48.8,31.7,27.2,M,Lincoln
1943,18.3,28.1,31.7,48.8,51,57.2,66.8,63.9,62.1,49.5,37,28.1,45.3,Lincoln
1944,27,29.5,36.8,47.6,55,60.7,68.4,65.9,60.6,54.2,34.4,25.8,47.2,Lincoln
1945,29.5,33.6,36.8,43.4,54.8,58.1,67.6,67.2,55.3,49.3,32.2,27.4,46.4,Lincoln
1946,26.7,30.8,39.9,46.8,55.4,57.2,65.8,65.8,56.7,42,31.3,29.9,45.8,Lincoln
1947,21.4,33.8,41.2,47.6,57.4,57.6,66.4,63,57.9,49.5,34.5,28.6,M,Lincoln
1948,25.3,27.9,36.5,42.9,51.8,64.1,63.1,63.5,56.9,46.7,34,19,44.5,Lincoln
1949,5.3,22,36.3,46.9,55.6,58,65.1,68.6,60.6,42.8,40.1,27.1,44.1,Lincoln
1950,7.3,28.6,34.9,43.4,51.8,59.6,66.5,66.3,60.1,44.6,35,32.8,M,Lincoln
1951,25.7,30.4,32.5,46.8,53.6,58.9,67.9,65.1,58.4,44.8,34.2,20.9,45,Lincoln
1952,21,28,35.8,48.4,54.5,58.9,67.6,63.3,58.5,49.2,30.5,28.3,45.4,Lincoln
1953,36.1,34.8,40.2,44.7,50.9,55.4,66.9,66.1,60.1,49.4,39.6,32.7,M,Lincoln
1954,25.3,33.4,36.6,43.4,55.7,56.6,65.7,62.7,58,45.5,42.1,28.5,46.2,Lincoln
1955,26.3,27.4,31.9,41.1,50.2,62,65.2,66.5,59.8,46.7,27.3,25.1,44.2,Lincoln
1956,28.2,M,35.5,49.9,58,58.5,69.7,66.9,60.2,46.3,32,29.8,M,Lincoln
1957,15.4,26.5,38.4,48.3,59,62,65.6,63.3,63.1,45.4,35,33.6,M,Lincoln
1958,32.3,40.9,38.9,45.4,61.3,65.2,70.9,71.6,58,49,35.4,31.1,50.1,Lincoln
1959,29.1,30.8,39.5,48,50.6,60.5,68.6,63.4,56.4,46,33,29.5,46.4,Lincoln
1960,22,32,39,46.2,51.4,61.3,72.2,64,59.9,49.6,35.9,27.2,46.8,Lincoln
1961,30.2,37.5,40.5,45.5,54,66.9,71.2,73.1,55.4,44.6,31.8,26.3,48.3,Lincoln
1962,22.2,32.5,35.5,49.8,51.5,59.6,66.4,64.6,60.7,47.1,37.7,33.5,46.8,Lincoln
1963,21.5,37,40.4,45.6,54.4,60.8,65,68,65.2,50,38.2,26.9,47.8,Lincoln
1964,28,28.2,35.2,44.8,53.1,60.3,67.6,62.7,55.9,48.4,33,26.9,45.5,Lincoln
1965,M,M,M,M,M,M,65.3,65.2,M,49.9,M,M,M,Lincoln
1966,27,32.1,38.1,M,M,56,62.2,62.5,58.5,45.7,37.7,32.7,M,Lincoln
1967,32.5,34.8,36.7,40.6,M,62.2,68,71,64.1,M,M,M,M,Lincoln
1968,M,M,M,M,M,59.3,69.8,62.9,58.3,44.9,34.4,23.9,M,Lincoln
1969,14.6,25.1,34.3,45.3,55.7,64,65.5,64,58.8,43.3,36.2,28.2,44.7,Lincoln
