Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1973,M,M,M,M,M,M,64,M,59.7,51.1,40.5,42.5,M,Mason
1974,38.3,40.9,43.4,48.4,51.7,60,61.5,64.1,62.4,M,45.2,41.4,M,Mason
1975,38.6,39.8,42.2,45.6,54.5,58.2,64.7,61.5,60.1,49.9,43.2,41,50,Mason
1976,40.9,39.8,40.8,47.8,54.2,57.7,62.9,62.3,61.3,52.5,45.8,42.9,M,Mason
1977,38.3,45.3,43.1,51.4,52.8,60.1,62.4,67.1,57.4,50.8,42,41,51,Mason
1978,42.7,44.8,48.7,49.7,53.7,62.8,65.1,63.8,57.7,53.4,40.7,36.2,51.7,Mason
1979,35.7,39.9,47.7,49.7,56.7,60.8,65.8,M,61.5,53.3,42.4,43.2,M,Mason
1980,34.9,43.3,44.5,51.3,55.4,58.4,64.5,62.8,60.4,53.6,47.2,44.8,51.8,Mason
1981,43.3,44.1,48.9,50,55.8,58.6,63.5,67.9,60.6,50.5,46.1,40.5,52.5,Mason
1982,38.6,41.8,44.2,46.2,54.9,62.4,62.3,M,M,52.2,41.7,38.9,M,Mason
1983,43.3,44.7,47.3,49.7,57.6,59.2,62.3,64.7,57.9,51.1,45.6,35,M,Mason
1984,42.5,43.7,47.1,47.8,52.5,58.5,64.2,64.1,58.4,49,42.8,35,M,Mason
1985,36.1,38.1,M,48,55.5,60.5,68.4,64.8,M,51.1,36.3,35.6,M,Mason
1986,M,42.2,M,47.7,54.9,62.4,60.9,68.4,M,53.1,44.7,40.8,M,Mason
1987,38.9,43.6,46.9,M,56.7,61.7,M,65.3,M,M,46.4,38.6,M,Mason
1988,39.1,43.8,44.9,50.4,54.3,59,64.5,M,59.6,54.9,44.8,40.9,M,Mason
1989,40,36.1,42.7,52.4,55.4,61.8,62.5,M,M,M,45.6,42.1,M,Mason
1990,41.3,38.4,45.9,52.6,M,59.4,67.2,M,62.9,50.1,45.6,34.7,M,Mason
1991,39.2,46.3,M,48.2,54.1,57.1,M,65.3,61.1,M,M,42.4,M,Mason
1992,42.9,45.7,50.1,52.5,59.3,M,65.6,65.7,58.5,53.4,44.4,38.2,M,Mason
1993,36.7,M,46.4,50,59.2,59.1,61.3,64.3,M,54.1,41,39.4,M,Mason
1994,43.1,38.5,46.8,51.1,56.3,58.6,M,65.1,61.9,50.1,M,M,M,Mason
1995,42.5,M,M,M,57,M,65.2,61.4,63.3,50.9,M,40.3,M,Mason
1996,M,40.8,46.1,50.1,52,59,66.2,65.1,M,M,M,37.1,M,Mason
1997,M,M,M,M,58.4,58.8,64.3,66.4,60.7,51,M,M,M,Mason
1998,M,M,M,M,55.6,59.9,67,66.4,M,M,M,M,M,Mason
1999,M,M,M,M,M,57.8,62,63.7,M,49.9,M,M,M,Mason
2000,37.7,M,M,M,M,60.1,63.2,62.3,M,M,M,M,M,Mason
2001,M,M,M,M,M,M,M,M,59.2,M,M,M,M,Mason
2002,M,40.8,41.5,48,M,60.3,63.6,M,58.9,M,M,M,M,Mason
2003,M,M,M,M,M,62.2,66.2,65.1,M,M,M,M,M,Mason
2004,M,42.1,47.7,52.2,56.2,62,66.8,65.7,57.3,51.5,43.6,41.1,M,Mason
2005,41.2,41.3,47.3,49.6,57.4,59.2,64.2,65.4,57.7,51.5,41.6,40.3,M,Mason
2006,42.2,39.9,43.5,48.7,55.2,61.1,65.6,63.6,59.9,50.6,42.3,38.7,51.1,Mason
2007,38.1,41.8,45.1,47.4,54.2,57.4,64.5,62.2,57.7,48.8,42.6,37.6,49.8,Mason
2008,36,40.6,41.3,44,53.5,56.1,62.4,62.6,57.5,48.8,46,36.2,48.8,Mason
2009,37,39.2,40.2,46.5,53.3,61.1,66.2,63,58.8,49.1,43.7,35.5,49.5,Mason
2010,43.8,43.8,44.2,46.4,51.2,57.2,62.4,62.5,58,50.6,41.3,40.2,50.2,Mason
2011,39.6,38.4,42.5,43.3,50.6,57,61.4,63.3,60.4,50.1,40.6,38.6,48.9,Mason
2012,37.7,41.1,40.5,47.9,52.6,56.1,61.9,64.3,58.5,50.2,44.7,38.7,49.5,Mason
2013,36.1,41.4,44.8,48.2,55.2,60,64.4,64.7,60,48.2,42.8,36.5,50.2,Mason
2014,40.7,38,45.7,48.7,56.6,59.4,66,66.4,60.9,55,44,42,52,Mason
2015,42.9,46.9,48,M,57.5,65.7,68.1,65.7,57.5,55,M,43.2,M,Mason
2016,43.4,46.7,47.5,M,57.6,61.2,64.3,65.8,58.3,52,47.9,36,M,Mason
2017,37,39.6,43.3,47.6,56.2,60.5,64.6,66.9,60.7,50.5,43.6,38,50.8,Mason
2018,42.4,39.7,43.3,48.9,58.5,59.9,66.8,65.5,57.7,49.9,45.6,40.9,51.7,Mason
2019,41.5,35.4,43.7,49.7,57.9,61.2,64.5,65.8,59.5,48.1,43.8,41.5,51.2,Mason
2020,41.5,41.8,42.3,49.5,56.9,60.3,64.6,64.8,63,52.6,44.2,41.7,52,Mason
2021,41.7,39.2,42.8,49.9,55.1,64.4,66.5,65.1,59.5,50,45.4,36.9,51.4,Mason
2022,38.7,40.6,45.9,45,51.2,60.6,66.8,67.8,62.6,M,M,M,M,Mason
