Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1998,40.8,45.3,45.7,47.7,53,M,60.9,61,57.8,50.9,46,39.6,M,San Juan
1999,40.9,41.5,42.4,46.2,49.5,54.9,57.8,59.5,56.1,48.5,46,42.3,48.8,San Juan
2000,39.5,42.3,43.9,M,51.3,57.1,59.3,57.7,55.6,50.1,41.5,40.2,M,San Juan
2001,41.7,38.5,43.2,46.1,50.9,54.1,57.5,59.8,56.1,49.4,45.3,39.8,48.6,San Juan
2002,40.6,40.7,40,46.2,50,57,59.2,59.7,56.5,48.3,46.4,43.1,M,San Juan
2003,44.8,41.5,45.5,48.4,52.1,59,61.6,60.4,57.8,51.8,41.2,40.8,50.5,San Juan
2004,40.4,43.2,46.2,49.9,53.4,58.6,63.2,62.2,55.6,50.3,44.7,43,50.9,San Juan
2005,41.6,40.5,47,49,55.6,57.6,60.6,60.6,55.2,51.3,43.3,41.9,50.4,San Juan
2006,44.5,40.8,44.7,48.2,52.7,58.3,61.1,60,57.2,49.1,M,41.8,M,San Juan
2007,38.1,43.2,45.7,47.3,M,55.6,61.3,59.6,55,48.7,42.3,39.2,M,San Juan
2008,38.3,41.5,41.4,44.6,51.5,54.5,57.2,60.3,56.9,48.7,47.1,35.1,48.1,San Juan
2009,38.9,38.9,40.4,46.8,51.6,58.6,62.3,60.3,58.3,50.2,45.7,38,49.2,San Juan
2010,45.7,45.8,45.8,48.6,51.3,56.3,59.6,60,57.2,51.3,42.5,43.3,50.6,San Juan
2011,41,38.9,45.5,44.8,50.7,56.7,58.6,60,59.5,50.1,42.6,41.2,49.2,San Juan
2012,40.9,43.5,44.5,48.2,51.8,54.7,58.4,61,56.9,50.8,45.7,41,49.8,San Juan
2013,38.5,42.4,43.9,47.5,53.9,M,60.3,61,57.5,49,43.8,37.1,M,San Juan
2014,41.6,38.2,44.9,49.1,55.1,57.8,61.5,62,M,54.6,44.3,43,M,San Juan
2015,43.4,46.9,48.1,48.2,54.8,59.7,64.2,62.5,55.8,53.6,41.9,41.9,M,San Juan
2016,42.5,45.4,47.7,52.3,55.9,58.2,61.9,63.8,58.6,53.3,50.3,37.4,52.3,San Juan
2017,38,40.1,45.5,50,54.7,59,60.5,62.6,59.4,49.5,44.6,38.2,50.2,San Juan
2018,43.6,38.9,43.5,48.7,56.6,59,64.4,63.6,59,52.2,47.1,42.8,51.7,San Juan
2019,43.7,35.5,45,50.9,58.1,M,60.9,62.6,58.1,47.9,44.5,43.3,M,San Juan
2020,42.3,41.2,42.3,48.2,M,57.5,60.8,61.8,60.2,50.5,44.5,43,M,San Juan
2021,42.6,39.7,43.4,49.4,52.7,60.8,61.6,62.5,57.8,50,46.6,36.2,50.3,San Juan
2022,40.5,41.5,45.3,46,50.8,57.7,62,64.2,60.5,M,M,M,M,San Juan
