Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1896,M,M,M,M,M,M,M,M,55.3,52.3,36.5,45.2,M,Skagit
1897,39.8,42.1,40.7,52.8,58.5,62.8,61.9,66.3,58.1,52.1,41.4,41,51.5,Skagit
1898,38.5,44.7,43.6,52.2,58.5,61.5,63.4,65.1,60.5,52.2,42.5,M,M,Skagit
1899,M,M,42.4,50,52.1,56.8,M,M,61.5,M,51,43.9,M,Skagit
1900,44.8,40.5,M,50.3,M,M,61.4,59.4,56.5,49.3,41.5,43.8,M,Skagit
1901,36,40.5,44.6,46.5,54.5,55.5,M,66.2,56.8,55.5,47.4,38.5,M,Skagit
1902,M,45,45.1,50.3,55.9,58.8,61.7,M,55.6,52.7,42.8,39.3,M,Skagit
1903,40,38.4,41.7,47.7,53.9,61.2,60.8,62.1,56.7,52.8,45.1,40.8,M,Skagit
1904,39.7,38,41.8,52.3,53.8,M,62.9,59.9,57.3,52.5,48.4,41.5,M,Skagit
1905,38.6,40.8,48.3,51.4,53.6,M,63.6,60.9,57.7,46.7,43.3,40.8,M,Skagit
1906,40.3,42,45.1,51.7,54.8,59.7,65.8,61.7,57,51.6,42.3,40.1,51.1,Skagit
1907,29.2,39.9,41.6,47.6,56.4,M,63,60.3,56.9,51.4,45.8,M,M,Skagit
1908,37.6,40.5,45,M,55,M,64.8,62,56.5,51.2,47.4,36.1,M,Skagit
1909,30.2,41.2,M,48.5,53.4,61.1,61.2,60.4,58,51.4,42.3,M,M,Skagit
1910,M,36.2,50.9,53.2,61.3,59.7,62.5,60.6,58.8,51.5,42.9,40.9,M,Skagit
1911,33.5,38.1,46,46.7,53.9,57.7,63.7,61,55.8,49.4,41.3,39.1,M,Skagit
1912,39.4,42.4,42.8,49.5,57.2,59.8,62.6,61,56.4,48.1,44.8,39,50.3,Skagit
1913,33,36.8,40.3,49.6,53.1,59,61.7,62.3,57.2,48.7,43.6,41.1,49,Skagit
1914,41,39.2,45.6,51.6,58,61.9,65.1,62.3,55.1,53.5,M,34.7,M,Skagit
1915,37.3,44.1,49.5,52.8,57.8,63.6,66.4,M,57.8,52.3,40.6,38.9,M,Skagit
1916,M,39.6,43.7,51,54.6,61,63.2,64,57.3,47.2,40.3,33.7,M,Skagit
1917,34.2,36.6,40.2,48.1,54.5,59.3,65.4,64.4,57.8,50.6,48.7,41,50.1,Skagit
1918,41.3,38.6,44,48.9,52.6,59.7,62.3,62,59.4,52.3,44.7,40,50.5,Skagit
1919,40,39.2,44.1,50.1,53.9,55.8,60,61.1,57.7,46.5,43,38,49.2,Skagit
1920,36.8,39.4,44.2,45.1,51,58.6,63.1,62.4,56.8,49.6,45.8,41.8,49.6,Skagit
1921,39.7,41.6,43.5,48.4,53.2,59.7,59.8,61.1,56,51.2,43.8,36.7,49.6,Skagit
1922,33.6,37.5,42.2,46.5,53.9,59.8,61,60.9,58.2,52.2,42.9,M,M,Skagit
1923,38.9,36.3,43.4,50.6,54.9,59.8,63.8,64.8,59.4,54.1,46.9,41.5,51.2,Skagit
1924,39.4,46.3,43.6,48.7,56,58.8,61.1,61.2,57.6,M,42.6,M,M,Skagit
1925,39.7,44.4,44.2,50.6,56.8,58.6,62.5,61.3,57.8,47.3,45.1,44.3,M,Skagit
1926,39.4,44.5,48.6,53.7,56.5,60.8,63,61.5,55.1,54,47.5,38.1,51.9,Skagit
1927,38.5,42.2,43.1,48.3,52.6,60.2,62.7,M,57.8,52.9,42.7,34,M,Skagit
1928,40.9,42.9,47.7,50.3,56.4,59.3,63.2,60.3,55.8,50.3,45.7,39.6,51.1,Skagit
1929,31,32.1,45.3,M,54.1,58.3,61.5,62.2,57.8,54.1,42.6,40.4,M,Skagit
1930,28.9,43.4,M,52.7,52.6,58.6,60.7,62.2,57,49.4,M,41.6,M,Skagit
1931,44.9,42.6,46.6,51.9,56,58.7,61.7,60.6,58.9,51.6,41.4,40,51.3,Skagit
1932,36.9,39.5,45.3,50.5,54.5,59.3,58.4,61.5,57.2,51.8,47,35.2,49.7,Skagit
1933,37.5,35.1,44.7,47.8,52.9,55.8,59.5,M,56,51.2,45.3,42.6,M,Skagit
1934,43.7,47.5,49.7,54.5,57.2,59,61.6,63,57.2,M,M,40.7,M,Skagit
1935,39.5,45.6,M,48.2,53.9,59.9,61.3,61.3,58.9,50.5,41.4,42.8,M,Skagit
1936,40.8,31.2,42.1,51.4,56.9,60.5,61.2,62.8,56.4,53.1,42.8,41.2,50.1,Skagit
1937,26.4,38.2,47.7,47.6,53.4,60.1,62.2,61.3,58.3,54.5,46,41.7,49.9,Skagit
1938,39.7,42.6,45.2,51.6,55,59.8,62.6,60.4,60.3,52.8,41.8,40.3,51.1,Skagit
1939,42.3,38.2,44,51.5,55.7,57.4,61.7,63,57.6,51.2,51.1,47.1,51.8,Skagit
1940,41.7,44,48.9,53,56.9,58.8,60.9,62.1,58.9,53.2,41,42.8,51.9,Skagit
1941,44.5,46.4,50.7,52.9,55.4,59.4,65.7,63,56.8,53.3,47,41,53,Skagit
1942,40.2,42.2,46.2,52.1,55.7,58.3,65.2,65.1,58.5,53.8,42.7,41.2,51.8,Skagit
1943,M,43.9,43.9,52.5,53.6,57.9,62.9,63.1,60.6,53,46.3,38.5,M,Skagit
1944,41.5,43.1,44.5,51.1,58.8,62,67.8,65.1,60,56.2,46.7,38,53,Skagit
1945,41.9,44.3,45.5,49.2,58.3,60.1,64.5,63.9,57.8,52.7,42.8,38.9,51.7,Skagit
1946,41.4,40.8,45.8,48.8,57.5,61,63.6,61.7,59.5,47.5,40.2,38.1,50.6,Skagit
1947,34,42.3,46.3,51.9,56.7,60.1,62.2,61.3,58.5,52.1,41,41.3,50.8,Skagit
1948,37.4,37.7,43.4,47.3,53.9,61.3,61.5,61.9,56.4,49.7,41.6,33.8,48.9,Skagit
1949,28.3,36.1,44.7,50.6,55.1,57.5,60.4,62,59.4,47.8,M,37.2,M,Skagit
1950,22.9,39.5,43.1,47.8,50.9,61.2,61.9,62.9,57.5,50.1,42.7,45,48.8,Skagit
1951,37.4,40.6,40.5,49.5,54.3,60.3,63.8,61.7,59.6,51.2,44.3,35.9,50,Skagit
1952,36.1,41.5,43,49,54.9,56.1,62.2,62.8,59.8,53.2,41.3,41.3,50.2,Skagit
1953,44.3,42,44.7,49.9,56,57.7,62.8,63.6,59.3,52.9,48.3,42.1,M,Skagit
1954,34.5,43.2,41.9,46.5,54.8,56.3,59.6,60.4,59,50.7,49.1,41.2,49.8,Skagit
1955,38.4,38.1,38.8,46.5,50.9,58.2,59.4,60.2,56.9,50.6,37.8,36.8,M,Skagit
1956,38.4,35.1,41.9,49.5,56.7,58,64,62.8,58.2,49.4,41.7,39.2,49.6,Skagit
1957,29.6,37.2,44.6,50.9,57.8,60,60.3,61.5,61,50.1,42.6,42.9,50,Skagit
1958,43.4,47,45.3,50,58.2,64.3,68,64.6,58.9,52.8,41.3,43.9,53.2,Skagit
1959,39.4,40.5,44.5,49.7,55.1,60.6,63.8,60.6,57.1,50.8,42.2,40.2,50.4,Skagit
1960,38.2,41.3,44.3,50.5,54.4,58.9,63.4,61.8,56.9,52.3,43.7,39.6,50.5,Skagit
1961,43.3,44.2,47,48.6,55.2,61.7,64.9,64.3,56.8,48.7,41.6,39.1,51.4,Skagit
1962,38,43.2,41.8,50.4,52.1,58.5,61.3,62.1,58.8,52.1,46.4,41.4,50.5,Skagit
1963,32.4,47.3,43.7,48.6,55.5,58.7,61,62.8,61.5,53.9,44.1,41.3,50.9,Skagit
1964,41.1,40.1,43,46,52.9,58,61.9,61.3,56,51.6,M,M,M,Skagit
1965,37.9,40.4,43.2,49.3,51.1,57.7,63,63,55.7,53.6,48.5,39.9,M,Skagit
1966,39.6,41.6,43.9,48.5,52.4,M,59.7,61.7,59.6,49.8,45.2,44.5,M,Skagit
1967,41.2,42.1,42,46.6,M,61.6,61.7,66.1,61.6,52.9,44.9,38.8,M,Skagit
1968,38.9,44.4,47.3,47,54.1,57.9,62.9,61.4,57.3,50,45.3,34.6,M,Skagit
1969,30.1,39.5,44.1,48.1,56.6,62.7,60.3,59.6,57.7,50.5,45,42.3,M,Skagit
1970,38.3,43.8,44.5,46.3,52.6,60.6,61.8,61,54.4,48.1,44,37.9,M,Skagit
1971,36.7,40.9,41,48.6,53.8,56.2,62.2,65.1,56.6,48.6,44.1,35,M,Skagit
1972,34.4,40.2,44.9,45.9,M,58,62.5,63.2,54.5,48,44.3,35.9,M,Skagit
1973,38.5,42.3,44.7,48,54.5,58.2,61.8,59.9,59.1,51.1,40.8,42.8,M,Skagit
1974,36.3,41,44,49.2,51.7,58.8,61.4,62.8,62.3,51.7,45.9,43.4,50.8,Skagit
1975,38.4,39.1,42.7,45.7,54.6,57.4,63.1,60.7,59,50.7,43.1,40.4,M,Skagit
1976,41.1,M,41.3,48.9,53.9,56.1,61.9,60.6,59.9,51.1,44.5,43,M,Skagit
1977,36.1,45.8,43.3,50.3,52.6,59.4,60.4,65.5,56.8,50.8,42.3,39.1,M,Skagit
1978,41.1,44.5,46.7,50.3,53.7,62.3,63.8,63.4,57.7,52.3,39.6,36.5,51,Skagit
1979,32.5,38.4,47,49.2,56.5,59,64.4,64,61.9,53.2,43.2,44,M,Skagit
1980,34.5,42.9,44.5,52.2,54.9,58,61.7,61.4,58.5,53,47.1,43.3,51,Skagit
1981,43.7,42.2,48.5,48.9,55.2,57.3,62.2,65.2,59.2,49.3,47.1,40.4,51.7,Skagit
1982,36.5,40.1,44.4,47.4,53.9,61.8,M,62.1,59.8,51.5,40.6,39.4,M,Skagit
1983,43.9,45.9,49.1,50.3,57.5,59.4,61.9,63.8,56.6,50.5,47.4,34.5,51.7,Skagit
1984,41.8,43.9,48,49.3,53.1,58.5,62.4,63.3,58.3,50.1,M,35.4,M,Skagit
1985,35,38.7,43.2,49.1,54.9,59.2,66.2,63.3,56.4,50.4,33.3,34.8,M,Skagit
1986,45.5,41.5,49.4,47.9,55.4,61,60.4,65.2,58.1,52.4,44.3,41.7,52,Skagit
1987,40.5,45.6,48.5,52,55.3,59.8,63.1,63.2,60.1,52.2,48.1,39.4,M,Skagit
1988,40.6,42.3,44.9,50,54.8,58.7,61.9,62.6,57.8,53.6,45.2,41.8,M,Skagit
1989,39.5,34.2,43.6,52,54.2,61.3,61.4,62.6,60.1,52.2,45.3,41.5,M,Skagit
1990,41.5,37.9,46.5,51.6,54.8,59,65.3,65.7,60.1,50.7,45.8,33.2,M,Skagit
1991,37.5,46.8,43.4,49.2,54.6,57.6,63.7,64.2,59.7,50.7,46.2,42.6,M,Skagit
1992,M,46.1,49,53,57.4,62.7,63.5,64,57.9,53,45.5,37.6,M,Skagit
1993,33.4,41,47,51.1,59.7,59.9,61.3,63.7,58.4,54,40.2,39.8,M,Skagit
1994,44.7,39,47.6,51.7,56.9,58.9,64.2,65.1,M,52,40.6,41.4,M,Skagit
1995,42.1,43.8,46.1,50.4,57.3,61.7,M,M,62.7,51.9,47.6,42,M,Skagit
1996,38.6,41.4,46.6,52.4,M,58.8,64.5,64.3,57.1,50,42.6,36.9,M,Skagit
1997,40.1,42.1,45.5,50.3,58.3,60,62.9,66.5,61.7,51.7,48.8,41.9,M,Skagit
1998,M,46.5,47,49.9,M,M,64.8,63.6,59.5,51,45.1,37.2,M,Skagit
1999,M,41.1,44,M,51.6,57.6,60.7,M,58.3,48.8,46.1,37.9,M,Skagit
2000,37.3,M,45,52,54.4,60.3,63.2,62.4,59.3,52.5,42.5,40.3,M,Skagit
2001,43,40.9,46,48.7,54.5,57.3,61.6,63.8,59.1,50.4,47.5,40.6,51.1,Skagit
2002,41.2,41.9,41.5,48.2,54,60.3,63.3,M,58.8,50,46.8,42.9,M,Skagit
2003,44.5,M,46.8,50,54.8,62.3,66.1,64.6,60.5,54.7,42,42.1,M,Skagit
2004,40.3,44.5,48.1,M,57.9,62.1,66.3,66.5,58,52.8,44.9,42.3,M,Skagit
2005,41.9,42.3,49.1,51.3,59.5,60.2,64.3,65.6,58.5,54.5,42.8,40.5,M,Skagit
2006,44.6,M,45.9,50,55.5,61.5,64.6,62.4,58.9,49.7,44.4,41.7,M,Skagit
2007,37.9,43.3,46.4,50.1,54.6,58.6,64.8,62.4,57.3,M,43.6,39.3,M,Skagit
2008,38,42.2,43.4,46.2,55.6,57.2,62.5,64.1,58.6,50.5,48.6,35.2,M,Skagit
2009,36.2,41.6,41.7,50.1,M,62.6,67.1,64.4,62.4,51.2,46.9,36.3,M,Skagit
2010,47.2,46.5,48.3,50.4,53.6,58.8,63.8,64.2,60.7,53.8,42.6,42.5,M,Skagit
2011,40.9,39,45,45.9,52.4,59.7,62.3,63.4,62.3,M,41.9,M,M,Skagit
2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2013,M,M,M,M,M,M,M,M,M,49.4,M,M,M,Skagit
2014,40.8,37.4,M,49.4,58.3,59.6,M,M,M,M,M,M,M,Skagit
2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2016,M,M,M,M,M,M,64.1,66.2,58.7,53.7,50,35.4,M,Skagit
2017,36.9,40.3,45.1,50.8,56.4,60.7,64.2,65.8,61.6,50.4,45.5,37.5,51.3,Skagit
