Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1894,M,M,M,M,M,M,M,M,57,50.4,45.6,36,M,Snohomish
1895,36.3,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1910,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1913,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1914,M,M,M,M,M,M,M,M,M,M,M,33.8,M,Snohomish
1915,36.3,42.2,47.6,51.1,54.1,58.8,61.8,M,55,51.5,M,M,M,Snohomish
1916,M,M,M,M,M,57.6,59,59.2,53.9,44,39.6,34.4,M,Snohomish
1917,34.4,38.2,39.2,46.9,52.1,54.9,58.8,59.9,55.8,49.1,46.9,40.9,M,Snohomish
