Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1908,M,M,42.4,50.5,55.5,62.3,71.4,67.5,60.4,49.5,42.5,32.1,M,Whitman
1909,22.5,39.2,44.4,46.4,54.7,62.4,66.3,66.8,62.2,49.8,42.2,28,M,Whitman
1910,M,29.3,48.2,54,58.4,60.9,68.9,64.3,58.2,52.5,41.3,36.2,M,Whitman
1911,31.8,31.3,44.4,46.9,52.4,63.4,69.6,65.4,56.3,47.4,37.9,32.3,M,Whitman
1912,30,37.8,38.8,48.8,55.9,63.6,66.8,63.6,56.1,46.5,42,35,48.7,Whitman
1913,25.1,24.4,39,50.1,55.8,63,67.5,68.9,59.3,46.2,41.5,30.2,47.7,Whitman
1914,38.7,34.9,45.6,50.6,57.2,61.1,71.1,68.5,58.3,51.5,41.9,25.1,M,Whitman
1915,29.5,41.9,47,52.8,55.8,61.2,68.6,73,58.7,51.9,38.1,34.6,51.2,Whitman
1916,16.4,31.9,44.2,49.9,52.3,59.7,65.2,68.3,59.5,45.6,33.3,26.2,46.1,Whitman
1917,29.6,33.5,36.5,46.2,54.4,58.6,69.7,69,62.6,49.5,43.2,41,49.6,Whitman
1918,36.1,35.6,45.2,48.6,52.5,66.3,70.2,66.6,64.1,52.2,38.9,33.7,50.9,Whitman
1919,32.3,36.2,43.5,51,56,60.2,70.5,70.4,59.3,44.9,38.7,20.2,M,Whitman
1920,29.6,35.7,43,47.1,M,59.3,71.9,69.4,60.7,49.6,40.7,36.5,M,Whitman
1921,35.7,37.9,43.7,47.4,55,65,67.8,69.3,55.8,53.4,39.5,28.2,M,Whitman
1922,21.4,M,40.7,M,57.5,M,75.9,73.2,66.1,54.5,M,M,M,Whitman
1923,37.4,27,43.3,52.2,57.2,M,M,73.8,65.1,50.2,40.9,35.4,M,Whitman
1924,27.8,43.6,40.9,47.4,60.3,64,70.2,68,61.4,50.5,38,23.9,49.7,Whitman
1925,36.2,42.7,44.4,53.2,59.1,64.6,71.4,67.9,59.1,46.2,37.9,37.8,M,Whitman
1926,32.8,42.9,44.5,53.8,56,64.6,72,67.6,54.4,50.4,40.4,32.4,50.9,Whitman
1927,28.8,38.7,41.2,47.2,M,64.1,70.3,68.9,57.1,50.9,42.9,25.9,M,Whitman
1928,M,35.7,M,47.5,59.5,63.1,72.1,66.5,58.9,50,39.2,29.9,M,Whitman
1929,19.2,M,44.1,46.4,56.5,62.9,68.4,71.6,57.2,52.7,34.7,36.8,M,Whitman
1930,11.5,41.4,44.7,53.5,55.6,61.7,71.4,70.8,M,45.5,38,30.3,M,Whitman
1931,M,36.8,43.1,48.6,58.3,63.8,70.4,68.9,59.1,48.2,35,29.4,M,Whitman
1932,30.6,31.1,42.8,51,54.4,63.7,67.4,67.8,58.9,50.2,43.8,27.5,49.1,Whitman
1933,34.3,M,43.1,47.7,52.3,62.9,70.2,69.6,55.4,52.8,41.1,40.5,M,Whitman
1934,40.1,40.7,47.5,54.1,58.8,62.7,68.8,67.8,55.9,52.1,44.8,35.4,52.5,Whitman
1935,34,36.9,39.5,45.2,53.7,61.8,68.5,65.3,61.3,47.6,32.5,31.4,48.2,Whitman
1936,33.6,M,41.2,52.2,61.5,64.9,71.5,69.4,58.6,51.1,32,35.7,M,Whitman
1937,12.5,32,46.1,47.9,57.2,63.2,72.7,66.4,62.1,53.7,43,35.5,M,Whitman
1938,34.3,34.9,42.9,48.6,54.5,64.7,72.3,65,65.6,52.1,34.7,32.9,50.2,Whitman
1939,36.6,31.9,42.7,50.6,57,61.1,70.6,69.8,61.4,49,39.9,39.7,51,Whitman
1940,32.1,40,47,51.6,59.5,66.4,71.1,68.9,64.4,54.1,33.3,35,52,Whitman
1941,32.5,39.7,46.7,51.4,56.8,62.8,73.8,67.7,57.3,48.2,42.3,36.7,51.4,Whitman
1942,22.7,35.6,42.9,51.8,54.6,59.5,70.9,70.4,60.6,50.8,38.4,35.6,M,Whitman
1943,25.5,36.1,39.6,52,52.6,58.6,69.9,66.7,62.9,52,38.4,31.6,48.9,Whitman
1944,32.4,34.4,40.3,50.9,56.9,62.9,69.6,67,64.1,55.8,38.7,30.8,M,Whitman
1945,35.9,38.9,40.9,46.5,56,60.5,71,69.9,57.6,51.9,38.8,31.8,M,Whitman
1946,34.4,37.7,42.9,49.5,57,62,70.5,70.3,60.4,45.1,36.7,34,50.2,Whitman
1947,25.5,38.5,44.5,48.6,59.6,61.7,69.6,67,61.2,51.2,37.8,34.8,M,Whitman
