Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1891,M,M,M,M,M,M,100,96,87,71,M,47,M,Chelan
1892,39,M,63,65,86,98,97,98,86,77,M,M,M,Chelan
1893,50,43,53,68,76,86,93,95,88,66,57,48,95,Chelan
1894,50,52,58,72,88,86,96,97,89,68,59,47,97,Chelan
1895,45,59,59,76,83,95,96,95,86,72,58,53,96,Chelan
1896,50,54,68,70,79,97,93,94,88,70,63,50,M,Chelan
1897,45,44,55,78,91,87,95,99,82,76,59,50,99,Chelan
1898,40,55,58,72,82,87,97,103,83,M,60,45,M,Chelan
1899,48,57,60,70,81,86,99,89,85,71,55,52,99,Chelan
1900,50,54,62,80,84,93,99,89,85,68,58,57,99,Chelan
1901,48,60,59,M,83,86,92,95,77,74,58,48,M,Chelan
1902,52,48,59,69,87,88,93,98,90,75,54,46,M,Chelan
1903,49,M,56,68,85,96,95,96,80,M,56,46,M,Chelan
1904,48,47,54,80,80,95,98,102,93,81,60,48,102,Chelan
1905,47,52,65,82,82,87,100,100,88,66,59,46,100,Chelan
1906,43,52,63,82,87,93,104,100,90,78,64,49,104,Chelan
1907,41,48,59,73,87,92,100,M,92,79,60,48,M,Chelan
1908,46,47,65,75,79,95,100,98,91,75,64,46,100,Chelan
1909,46,46,64,69,85,88,94,100,95,75,58,39,M,Chelan
1910,45,50,64,86,92,90,99,95,86,73,62,45,99,Chelan
1911,51,42,74,79,91,90,103,94,90,76,61,42,M,Chelan
1912,45,50,70,69,88,96,99,94,88,74,58,54,99,Chelan
1913,50,46,57,77,88,92,102,102,86,75,54,43,102,Chelan
1914,48,53,64,78,93,94,102,102,90,69,59,39,102,Chelan
1915,38,49,68,84,87,97,100,101,88,75,58,45,101,Chelan
1916,48,46,58,78,80,94,94,98,94,75,63,47,98,Chelan
1917,47,47,53,69,85,93,105,103,91,83,59,60,105,Chelan
1918,51,54,M,M,M,M,M,M,M,76,57,M,M,Chelan
1919,M,50,71,82,79,88,M,M,86,80,59,M,M,Chelan
1920,59,52,M,M,M,M,M,100,M,M,M,M,M,Chelan
1921,51,46,66,M,M,M,M,M,76,M,61,M,M,Chelan
1922,35,41,53,M,M,95,M,97,M,M,M,M,M,Chelan
1923,M,45,63,M,82,92,101,96,90,79,58,45,M,Chelan
1924,41,52,60,76,92,98,102,97,93,75,57,65,102,Chelan
1925,50,53,64,75,86,102,102,101,91,71,55,46,102,Chelan
1926,40,60,70,83,84,101,106,97,87,71,58,58,106,Chelan
1927,47,49,59,76,78,89,102,95,80,68,56,53,102,Chelan
1928,56,49,63,73,91,99,105,97,94,76,59,47,M,Chelan
1929,35,45,63,76,91,92,99,100,95,76,59,50,100,Chelan
1930,44,57,70,75,83,85,102,102,91,74,56,40,102,Chelan
1931,45,51,59,81,87,97,102,98,88,M,59,42,M,Chelan
1932,51,59,65,76,80,95,M,98,88,85,60,M,M,Chelan
1933,51,M,57,77,80,92,99,100,86,74,63,58,M,Chelan
1934,M,55,66,85,89,94,M,100,M,M,58,48,M,Chelan
1935,50,48,65,70,83,88,98,94,95,77,58,M,M,Chelan
1936,50,53,62,78,90,96,100,95,88,75,52,56,M,Chelan
