Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1907,M,M,M,M,M,M,M,M,M,M,61,M,M,Clallam
1908,M,51,60,73,M,M,M,92,M,M,M,M,M,Clallam
1909,53,M,M,M,M,M,M,M,M,M,M,M,M,Clallam
1910,M,M,70,77,85,M,98,M,M,M,M,M,M,Clallam
1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Clallam
1912,M,M,M,M,M,M,M,M,83,79,M,M,M,Clallam
1913,M,M,M,M,M,M,M,M,80,M,M,54,M,Clallam
1914,57,57,70,69,83,85,85,85,M,72,58,49,M,Clallam
1915,55,58,72,75,80,90,M,M,M,69,55,51,M,Clallam
1916,46,60,60,64,75,89,M,92,M,69,M,50,M,Clallam
1917,50,56,53,67,69,81,M,87,77,73,66,58,M,Clallam
1918,58,M,63,78,M,M,M,M,88,76,62,53,M,Clallam
1919,52,53,68,66,78,71,90,88,86,M,M,58,M,Clallam
1920,58,M,M,M,75,81,94,94,84,69,M,M,M,Clallam
1921,M,M,61,73,77,79,75,85,74,81,63,57,M,Clallam
1922,50,M,61,72,M,85,M,M,M,76,M,M,M,Clallam
1923,M,M,M,M,M,92,89,90,M,80,M,55,M,Clallam
1924,54,54,60,79,84,93,96,83,93,71,61,57,M,Clallam
1925,56,57,60,77,83,M,82,95,84,72,M,61,M,Clallam
1926,62,60,69,84,86,M,93,82,82,72,68,56,M,Clallam
1927,M,M,M,M,M,M,M,M,M,M,M,M,M,Clallam
1928,56,54,71,68,M,79,95,81,85,62,64,52,M,Clallam
1929,M,47,60,69,74,78,84,86,86,71,58,58,M,Clallam
1930,48,55,71,70,73,82,80,M,86,67,62,61,M,Clallam
1931,63,58,61,80,85,84,93,89,74,72,M,M,M,Clallam
1932,50,M,60,69,76,89,78,89,M,78,61,52,M,Clallam
1933,50,48,57,70,64,83,89,95,74,80,62,54,95,Clallam
1934,M,64,M,M,84,79,81,M,92,79,M,52,M,Clallam
1935,67,58,55,74,72,88,M,91,M,M,M,54,M,Clallam
1936,54,51,57,M,79,81,79,86,81,81,63,59,M,Clallam
1937,44,57,M,59,71,83,83,84,93,78,64,56,M,Clallam
1938,51,67,59,68,80,84,96,79,83,73,M,54,M,Clallam
1939,53,54,73,75,86,73,M,91,81,72,65,58,M,Clallam
1940,M,56,M,72,77,87,M,91,84,70,54,59,M,Clallam
1941,M,M,71,M,81,M,99,86,76,71,M,53,M,Clallam
1942,63,M,M,M,80,98,101,90,M,75,M,M,M,Clallam
1943,51,65,61,81,M,M,M,M,86,79,60,54,M,Clallam
1944,55,52,66,74,78,M,97,91,M,79,66,M,M,Clallam
1945,54,56,M,M,M,81,M,M,83,88,58,54,M,Clallam
1946,52,58,60,65,80,79,M,M,82,65,60,52,M,Clallam
1947,50,58,M,81,91,78,81,78,86,64,54,58,M,Clallam
1948,51,50,67,61,78,89,84,71,87,73,50,50,89,Clallam
1949,46,63,64,69,83,85,83,82,M,67,69,64,M,Clallam
1950,49,53,53,73,73,82,83,84,86,68,58,57,86,Clallam
