Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1891,M,M,M,M,M,M,M,100,91,89,67,53,M,Clark
1892,57,65,75,M,M,M,M,M,M,M,M,M,M,Clark
1893,M,M,M,M,M,M,M,M,M,M,M,M,M,Clark
1894,M,M,M,M,M,M,M,M,M,M,M,M,M,Clark
1895,M,M,M,M,M,M,M,M,M,M,64,60,M,Clark
1896,58,66,67,68,84,93,96,93,87,74,59,55,96,Clark
1897,57,58,56,85,90,84,87,95,84,80,65,60,95,Clark
1898,50,62,66,81,87,90,93,97,88,69,57,54,97,Clark
1899,60,60,63,74,68,81,93,85,83,78,68,60,93,Clark
1900,61,60,77,85,81,88,91,81,86,72,64,M,M,Clark
1901,56,69,68,70,86,86,82,94,85,79,63,56,94,Clark
1902,58,64,65,75,87,88,91,96,86,77,60,55,96,Clark
1903,56,60,75,74,86,98,96,92,86,78,67,53,98,Clark
1904,57,58,62,89,83,99,99,97,92,81,71,58,99,Clark
1905,58,71,80,85,86,84,100,97,91,72,72,54,100,Clark
1906,59,63,73,90,92,93,102,95,88,86,67,61,102,Clark
1907,57,63,68,79,91,93,105,93,95,82,71,59,105,Clark
1908,54,62,67,83,78,90,95,97,89,84,72,53,97,Clark
1909,59,60,70,77,86,89,87,92,94,80,62,57,94,Clark
1910,53,58,75,90,90,96,101,91,85,79,66,55,101,Clark
1911,53,59,78,81,86,88,99,92,84,79,64,57,99,Clark
1912,61,60,73,74,89,94,97,91,84,75,60,54,97,Clark
1913,56,63,69,77,84,89,96,94,87,77,63,50,96,Clark
1914,58,56,75,78,89,92,95,95,85,73,64,50,95,Clark
1915,51,58,79,81,81,95,97,96,87,77,58,54,97,Clark
1916,55,62,67,74,80,92,86,93,82,75,57,52,93,Clark
1917,53,58,62,69,77,87,92,94,82,84,65,62,94,Clark
1918,57,57,76,83,80,90,89,96,90,77,57,60,96,Clark
1919,60,52,72,76,82,82,97,98,85,79,64,57,98,Clark
1920,56,62,63,77,85,87,97,97,86,72,61,57,97,Clark
1921,55,65,71,74,81,82,88,90,78,79,66,60,90,Clark
1922,50,56,65,72,95,89,94,91,90,73,55,58,95,Clark
1923,M,63,81,84,89,93,91,95,93,87,67,55,M,Clark
1924,58,65,61,81,87,99,100,89,95,73,61,60,100,Clark
1925,56,59,66,80,87,100,90,96,87,76,59,60,100,Clark
1926,57,65,77,90,85,95,103,89,88,76,68,60,103,Clark
1927,55,57,69,80,84,88,101,96,85,74,66,59,101,Clark
1928,56,60,77,76,88,84,98,89,93,74,63,54,98,Clark
1929,50,55,68,75,82,88,94,94,85,82,71,61,94,Clark
1930,54,63,83,78,80,95,92,97,94,72,69,57,97,Clark
1931,65,65,66,85,93,91,98,98,90,80,68,60,98,Clark
1932,53,66,68,76,80,92,88,97,93,88,65,58,M,Clark
1933,59,54,62,76,82,94,95,103,83,79,62,63,103,Clark
1934,57,64,76,89,86,89,90,96,98,88,66,60,M,Clark
1935,63,65,61,76,84,96,103,99,96,80,55,55,103,Clark
1936,55,55,66,81,90,86,87,99,89,89,66,59,M,Clark
1937,44,62,65,67,83,93,91,93,96,79,65,59,96,Clark
1938,54,65,69,75,89,95,103,88,94,80,61,64,103,Clark
1939,57,54,78,85,94,86,99,103,90,79,67,61,103,Clark
1940,64,59,72,81,87,99,95,102,90,81,61,61,102,Clark
1941,55,62,77,82,92,95,103,97,78,74,67,60,103,Clark
1942,54,56,77,81,80,105,102,99,92,82,58,59,105,Clark
1943,49,65,64,84,85,88,90,90,95,86,65,56,95,Clark
1944,58,58,70,80,91,89,101,98,102,79,62,58,102,Clark
1945,61,60,62,74,90,91,94,102,89,84,59,57,102,Clark
1946,56,59,67,78,88,87,100,95,88,71,64,59,100,Clark
1947,57,62,79,85,92,85,90,87,91,77,63,56,92,Clark
1948,55,66,70,68,83,90,91,85,92,76,59,50,92,Clark
1949,46,65,65,76,86,87,94,95,94,71,70,57,95,Clark
1950,52,61,62,77,84,89,93,96,91,75,60,65,96,Clark
1951,57,61,64,83,87,98,94,96,94,81,63,52,98,Clark
1952,57,60,64,77,88,83,97,100,97,89,61,57,100,Clark
1953,61,60,73,72,87,82,91,95,89,80,64,56,95,Clark
1954,57,61,62,75,85,81,81,83,82,76,70,54,85,Clark
1955,51,56,60,74,76,96,87,90,95,77,63,60,96,Clark
1956,56,50,69,83,93,81,102,93,85,82,61,57,102,Clark
1957,53,63,63,87,83,79,87,86,93,75,60,60,93,Clark
1958,63,66,67,78,88,94,103,96,99,85,63,62,103,Clark
1959,56,60,65,78,82,86,98,90,88,73,65,58,98,Clark
1960,56,55,73,76,79,85,98,100,87,79,61,54,100,Clark
1961,59,57,64,71,90,96,104,99,83,83,61,57,104,Clark
1962,59,60,69,80,72,85,93,88,91,75,69,59,M,Clark
1963,53,67,69,70,92,92,82,92,88,74,57,53,M,Clark
1964,53,59,73,67,83,83,88,93,82,83,58,58,93,Clark
1965,55,62,71,79,76,90,102,96,89,84,64,59,M,Clark
1966,54,60,72,78,83,95,85,91,M,83,67,56,M,Clark
1967,56,63,62,65,86,88,91,102,94,73,64,56,102,Clark
1968,M,73,70,M,M,90,92,96,92,73,60,52,M,Clark
1969,51,54,73,70,88,94,88,86,89,72,70,57,94,Clark
1970,58,63,63,65,84,94,98,93,86,88,69,56,98,Clark
1971,57,61,63,74,90,87,93,97,80,82,57,52,M,Clark
1972,56,59,71,76,93,82,92,98,93,77,60,59,98,Clark
1973,57,62,66,72,91,90,93,91,95,68,58,54,95,Clark
1974,58,54,68,73,76,87,90,91,92,80,67,58,92,Clark
1975,58,60,63,68,85,87,90,83,90,85,70,58,90,Clark
1976,60,62,64,74,83,88,88,84,84,81,68,54,88,Clark
1977,55,69,63,77,76,89,88,102,84,71,61,60,102,Clark
1978,52,65,71,74,84,90,97,99,M,80,64,53,M,Clark
1979,49,56,72,80,85,88,100,89,90,85,66,59,100,Clark
1980,53,56,64,82,79,78,97,92,88,88,70,64,97,Clark
1981,62,61,67,80,82,84,92,103,96,71,65,55,103,Clark
1982,53,61,66,78,81,98,87,96,90,75,61,M,M,Clark
1983,57,61,63,78,99,84,90,87,78,70,60,53,99,Clark
1984,59,M,66,78,86,86,93,92,82,80,60,50,M,Clark
1985,53,60,65,79,85,95,99,90,81,76,63,49,M,Clark
1986,62,69,70,77,90,93,84,98,89,76,63,54,98,Clark
1987,54,60,71,85,92,92,89,98,100,90,67,59,100,Clark
1988,57,68,70,80,88,90,97,100,103,90,61,59,103,Clark
1989,57,53,63,80,79,92,86,85,91,78,65,60,92,Clark
1990,59,64,71,80,86,94,96,98,92,75,62,54,98,Clark
1991,60,68,70,76,75,82,98,90,92,86,61,53,98,Clark
1992,62,69,70,79,91,103,99,102,85,78,60,52,103,Clark
1993,58,60,65,69,86,86,82,97,90,84,60,62,97,Clark
1994,55,53,77,76,84,81,100,92,93,76,M,61,M,Clark
1995,60,67,73,77,85,M,97,M,90,74,67,62,M,Clark
1996,57,65,69,80,78,88,M,M,84,82,66,59,M,Clark
1997,58,65,72,73,90,81,92,90,92,73,67,55,92,Clark
1998,56,59,70,87,87,85,100,96,91,77,59,59,M,Clark
1999,53,55,71,80,90,86,88,90,93,78,69,56,93,Clark
2000,53,57,65,77,80,96,92,87,87,79,64,56,96,Clark
2001,56,61,70,76,96,92,88,97,84,82,66,55,M,Clark
2002,57,62,62,75,83,95,97,99,88,80,65,57,99,Clark
2003,60,63,71,69,86,97,99,94,95,82,61,55,M,Clark
2004,55,58,76,86,84,89,102,98,86,80,67,60,102,Clark
2005,64,67,75,76,95,82,92,95,M,73,59,57,M,Clark
2006,60,59,65,78,M,98,103,93,93,77,M,58,M,Clark
2007,M,60,72,79,88,86,99,93,92,75,64,62,M,Clark
2008,55,64,65,80,93,99,90,100,90,75,64,56,M,Clark
2009,55,59,60,81,85,88,106,97,93,70,63,53,106,Clark
2010,58,60,69,73,77,83,95,97,87,85,71,60,M,Clark
2011,M,57,59,70,73,85,85,92,93,75,60,56,M,Clark
2012,55,57,63,81,85,83,85,100,94,80,66,57,100,Clark
2013,52,59,78,76,83,92,94,88,94,74,61,55,94,Clark
2014,56,54,68,75,89,78,97,96,94,82,61,61,97,Clark
2015,61,64,70,80,82,91,100,99,91,82,61,60,100,Clark
2016,56,63,72,87,85,94,90,97,88,67,68,50,97,Clark
2017,51,59,60,68,90,97,87,101,94,72,64,55,101,Clark
2018,58,58,67,83,86,89,97,93,88,78,63,56,97,Clark
2019,54,52,72,72,86,93,88,94,86,69,65,56,94,Clark
2020,56,63,65,74,88,89,98,97,91,81,66,58,98,Clark
2021,58,53,62,80,80,112,94,100,88,70,64,62,112,Clark
2022,58,66,68,75,71,97,97,96,M,M,M,M,M,Clark
