Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,M,M,M,M,M,M,M,46,M,Ferry
1900,46,54,70,87,91,94,100,90,89,72,54,47,100,Ferry
1901,48,52,M,68,M,M,M,97,M,M,M,M,M,Ferry
1902,M,M,64,68,91,89,M,M,M,M,48,40,M,Ferry
1903,44,47,62,M,90,94,96,95,79,71,64,46,M,Ferry
1904,45,43,50,80,81,92,96,100,89,81,56,45,100,Ferry
1905,42,55,69,79,81,80,102,99,84,59,57,38,M,Ferry
1906,42,45,63,81,87,86,97,97,88,80,54,M,M,Ferry
1907,M,M,M,M,M,M,M,M,M,M,M,45,M,Ferry
1908,43,47,61,72,81,88,98,95,90,78,65,43,98,Ferry
1909,43,52,67,68,80,84,92,95,95,71,53,44,95,Ferry
1910,49,42,71,85,90,89,95,94,88,71,54,42,95,Ferry
1911,40,39,71,74,83,87,97,92,92,78,57,40,M,Ferry
1912,46,49,66,71,84,97,96,91,83,70,M,39,M,Ferry
1913,47,43,56,75,84,89,96,95,86,72,51,M,M,Ferry
1914,M,48,60,74,83,84,104,M,M,M,M,48,M,Ferry
1915,M,50,72,77,M,M,M,M,M,M,M,M,M,Ferry
1916,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1918,M,M,M,M,M,M,M,M,M,79,53,50,M,Ferry
1919,45,44,69,77,87,92,100,96,88,80,56,47,100,Ferry
1920,51,58,61,74,78,91,103,101,88,80,53,41,103,Ferry
1921,45,50,60,70,86,87,96,97,79,85,59,49,97,Ferry
1922,40,43,55,69,86,94,99,98,89,77,48,43,99,Ferry
1923,47,54,73,76,82,91,98,98,94,84,58,48,98,Ferry
1924,46,54,64,76,91,102,108,95,97,73,52,50,108,Ferry
1925,48,51,60,80,83,102,102,98,87,77,51,43,102,Ferry
1926,42,55,69,89,81,98,104,99,83,70,63,55,104,Ferry
1927,42,46,60,75,82,86,103,96,85,72,51,52,103,Ferry
1928,46,50,72,75,94,96,105,96,97,72,55,41,105,Ferry
1929,36,48,63,78,88,98,103,101,94,80,62,50,103,Ferry
1930,38,53,77,78,82,85,102,105,95,84,61,39,105,Ferry
1931,46,50,59,82,92,97,105,98,92,87,61,39,M,Ferry
1932,43,53,61,74,75,91,94,98,88,82,56,52,M,Ferry
1933,44,48,50,74,85,93,100,101,M,M,58,60,M,Ferry
1934,48,49,64,86,92,93,104,98,94,M,54,44,M,Ferry
1935,48,48,55,69,82,85,98,95,M,85,51,43,M,Ferry
1936,45,51,60,85,94,94,101,95,86,82,57,48,101,Ferry
1937,25,46,58,69,82,93,M,90,92,74,55,47,M,Ferry
1938,44,52,54,75,86,94,103,95,98,80,52,43,M,Ferry
1939,44,50,69,80,89,92,107,99,89,74,55,51,M,Ferry
1940,42,51,66,72,88,93,103,98,92,73,55,M,M,Ferry
1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1942,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1943,M,M,56,81,77,86,98,91,90,85,51,53,M,Ferry
1944,M,M,M,M,M,M,M,M,M,M,M,43,M,Ferry
1945,50,52,57,M,M,M,M,98,89,84,55,M,M,Ferry
1946,M,M,63,84,M,M,96,M,88,M,M,47,M,Ferry
1947,47,58,M,M,M,M,M,M,85,79,50,42,M,Ferry
1948,45,48,M,M,M,M,89,81,M,M,M,M,M,Ferry
1949,M,M,M,M,M,M,97,93,M,M,M,M,M,Ferry
1950,M,M,M,M,M,87,93,93,94,M,47,45,M,Ferry
1951,42,48,57,71,81,84,94,94,86,65,50,46,94,Ferry
1952,42,50,M,M,80,84,96,92,91,81,M,39,M,Ferry
1953,48,55,63,69,82,78,93,95,89,74,52,45,95,Ferry
1954,43,51,52,71,86,81,92,90,88,67,63,42,92,Ferry
1955,36,44,49,65,75,93,95,92,95,70,51,39,95,Ferry
1956,40,41,58,78,88,82,96,96,88,79,47,52,96,Ferry
1957,32,51,58,84,85,87,88,88,89,79,53,41,89,Ferry
1958,42,51,57,68,89,94,92,98,92,80,56,47,98,Ferry
1959,44,45,53,70,80,85,97,94,88,69,55,45,97,Ferry
1960,50,44,69,M,80,87,101,97,87,79,53,38,M,Ferry
1961,46,49,62,66,83,93,95,102,82,74,50,46,102,Ferry
1962,46,51,61,77,74,90,95,93,88,77,52,43,95,Ferry
1963,43,52,64,67,83,91,86,93,92,78,51,43,93,Ferry
1964,44,51,64,64,78,80,95,89,79,73,59,40,95,Ferry
1965,39,51,57,72,81,86,94,95,77,75,59,44,95,Ferry
1966,47,46,67,74,88,85,91,97,89,73,53,44,97,Ferry
1967,47,52,52,62,80,91,93,101,98,69,61,46,101,Ferry
1968,47,58,64,76,80,87,99,95,82,75,50,43,99,Ferry
1969,34,42,67,73,84,92,93,95,89,65,56,42,95,Ferry
1970,42,51,56,58,82,92,96,97,90,81,51,42,97,Ferry
1971,51,49,50,66,81,80,95,100,78,73,50,39,100,Ferry
1972,43,51,65,70,86,85,91,99,85,72,48,48,99,Ferry
1973,45,49,58,70,90,96,97,97,91,65,48,43,97,Ferry
