Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1905,M,M,84,99,M,101,112,106,92,72,62,45,M,Franklin
1906,50,60,73,90,94,98,109,105,98,85,63,48,109,Franklin
1907,49,58,68,77,93,96,105,106,95,87,69,55,106,Franklin
1908,52,61,70,85,95,99,109,105,97,89,75,50,109,Franklin
1909,53,60,73,72,89,98,103,106,98,83,68,46,106,Franklin
1910,52,53,74,95,101,102,103,104,95,83,67,50,104,Franklin
1911,53,50,79,84,94,99,110,100,98,87,60,50,110,Franklin
1912,54,57,71,79,89,104,102,99,86,74,60,50,104,Franklin
1913,53,49,61,83,92,101,104,103,M,79,58,46,M,Franklin
1914,53,55,66,80,95,98,108,107,92,73,61,55,M,Franklin
1915,45,56,76,87,87,99,106,108,94,79,58,49,108,Franklin
1916,50,49,68,82,83,104,100,105,94,79,59,51,105,Franklin
1917,51,54,56,66,83,97,107,103,93,88,68,67,107,Franklin
1918,63,56,75,82,100,107,111,99,96,89,56,60,M,Franklin
1919,59,M,73,79,90,94,107,98,88,79,M,53,M,Franklin
1920,52,49,68,77,83,95,102,103,90,81,59,53,M,Franklin
1921,52,58,66,73,88,99,98,99,84,M,65,60,M,Franklin
1922,39,44,57,76,M,M,108,100,95,80,M,M,M,Franklin
1923,54,55,78,82,88,96,102,101,96,88,60,60,102,Franklin
1924,58,60,60,80,95,107,105,100,98,76,53,58,M,Franklin
1925,52,56,67,83,86,104,105,102,90,71,57,53,M,Franklin
1926,49,61,72,92,85,102,107,101,85,73,62,57,M,Franklin
1927,49,53,64,84,87,94,104,97,81,81,60,58,M,Franklin
1928,43,M,70,79,99,101,111,98,100,75,68,50,M,Franklin
1929,39,45,65,78,91,95,107,102,95,82,60,51,M,Franklin
1930,52,60,74,80,85,94,105,103,93,72,62,44,105,Franklin
1931,59,57,60,85,94,99,107,99,93,83,65,43,M,Franklin
1932,48,64,M,78,81,96,98,102,92,85,60,56,M,Franklin
1933,54,50,61,80,85,100,105,104,86,84,65,62,M,Franklin
1934,57,59,72,89,99,99,106,99,96,90,M,M,M,Franklin
1935,59,54,69,72,85,93,109,101,97,89,57,45,109,Franklin
1936,53,53,65,90,100,105,106,102,90,82,56,55,106,Franklin
1937,38,53,63,74,89,99,106,99,98,79,59,54,106,Franklin
1938,51,47,63,80,91,94,107,99,99,81,56,58,107,Franklin
1939,52,50,76,87,94,99,109,104,97,78,61,59,M,Franklin
1940,48,55,70,73,93,103,104,101,95,82,55,53,104,Franklin
1941,49,60,M,82,91,95,108,101,81,70,59,59,M,Franklin
1942,47,49,75,84,88,97,105,105,95,82,57,47,M,Franklin
1943,48,53,67,83,83,90,102,96,95,90,60,55,M,Franklin
1944,52,53,70,80,87,99,103,95,100,81,62,56,M,Franklin
1945,57,57,66,77,85,95,101,100,95,81,64,52,M,Franklin
1946,49,53,69,88,94,96,105,104,88,70,58,57,M,Franklin
1947,53,63,73,83,97,93,100,99,95,80,57,51,M,Franklin
1948,51,60,67,74,85,98,93,92,97,76,56,48,M,Franklin
1949,40,55,62,82,94,98,104,102,98,70,62,58,104,Franklin
1950,43,56,57,74,86,96,101,100,102,72,56,58,102,Franklin
1951,52,58,M,77,90,94,103,100,92,80,58,55,M,Franklin
1952,48,57,70,84,88,93,104,101,98,85,65,47,M,Franklin
1953,57,56,69,77,85,85,101,102,101,78,65,52,M,Franklin
1954,52,60,60,78,94,92,98,97,M,72,M,50,M,Franklin
1955,45,52,60,72,80,99,M,98,M,M,61,M,M,Franklin
1956,53,52,66,86,M,92,106,105,M,78,54,53,M,Franklin
1957,40,60,61,87,M,M,M,M,M,M,56,57,M,Franklin
1958,56,65,65,75,M,M,106,M,98,M,63,M,M,Franklin
1959,57,60,63,76,88,94,104,99,90,75,66,60,M,Franklin
