Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1934,M,M,M,M,M,M,M,M,99,87,63,M,M,Grant
1935,52,58,M,M,M,M,108,102,100,90,53,45,M,Grant
1936,49,52,67,92,99,102,108,M,M,86,56,58,M,Grant
1937,30,44,65,74,90,99,106,99,98,76,M,M,M,Grant
1938,47,47,61,82,94,105,109,103,104,82,57,M,M,Grant
1939,51,48,74,87,96,101,113,106,96,81,60,58,M,Grant
1940,42,58,72,75,95,100,104,100,99,80,55,52,104,Grant
1941,45,52,74,84,92,94,109,100,83,74,62,58,109,Grant
1942,49,49,74,84,83,86,96,103,91,82,55,45,M,Grant
1943,47,M,60,80,81,90,99,94,94,83,57,52,M,Grant
1944,46,49,69,82,89,99,102,94,97,78,54,52,102,Grant
1945,54,54,69,76,89,99,103,105,91,81,61,56,105,Grant
1946,M,M,M,M,M,M,M,M,M,M,M,M,M,Grant
1947,49,60,72,86,92,90,100,95,87,79,53,45,100,Grant
1948,43,53,65,71,85,94,91,90,92,69,53,53,94,Grant
1949,38,56,60,78,91,95,99,98,95,67,61,48,99,Grant
1950,43,46,56,M,80,92,99,M,M,68,52,48,M,Grant
1951,46,53,57,74,88,89,100,97,88,73,53,51,100,Grant
1952,40,49,64,84,86,91,99,98,94,83,54,45,99,Grant
1953,53,53,63,72,82,83,96,99,92,75,62,48,99,Grant
1954,51,55,60,74,89,84,95,95,85,69,57,47,95,Grant
1955,39,45,52,67,78,97,102,95,96,67,59,43,102,Grant
1956,45,44,57,81,91,86,101,99,88,76,52,53,101,Grant
1957,35,56,58,84,88,91,93,92,91,72,54,50,93,Grant
1958,49,58,60,72,95,100,100,99,93,81,58,53,100,Grant
1959,50,45,59,71,85,90,102,98,89,67,61,54,102,Grant
1960,45,47,71,76,82,90,108,100,91,77,58,44,108,Grant
1961,50,57,65,69,88,100,101,110,84,77,52,47,110,Grant
1962,45,54,66,80,76,94,101,96,90,77,58,46,101,Grant
1963,46,55,63,69,87,97,93,97,94,81,55,43,97,Grant
1964,43,48,68,67,83,89,101,92,85,75,55,42,101,Grant
1965,44,47,61,76,86,90,100,100,84,78,63,47,100,Grant
1966,43,49,72,73,93,88,96,103,93,75,59,48,103,Grant
1967,53,57,56,64,85,95,100,103,93,74,54,47,103,Grant
1968,48,58,66,82,84,94,105,98,88,71,53,54,105,Grant
1969,42,41,67,77,87,98,98,99,92,66,56,48,99,Grant
1970,48,49,58,62,85,97,98,100,92,80,53,47,100,Grant
1971,57,53,59,70,86,92,100,104,83,78,52,44,104,Grant
1972,48,60,68,74,90,91,96,103,87,75,51,55,103,Grant
1973,45,52,62,73,94,102,99,97,94,69,53,48,102,Grant
1974,49,50,62,70,77,97,100,98,94,74,54,M,M,Grant
1975,44,45,52,73,83,87,105,92,88,80,68,55,105,Grant
1976,50,50,62,71,82,92,96,90,93,82,57,45,M,Grant
1977,42,59,63,91,81,94,96,103,83,69,60,50,103,Grant
1978,42,47,66,72,80,94,97,100,85,72,57,M,M,Grant
1979,35,52,68,77,86,96,105,96,90,80,55,49,105,Grant
1980,45,47,60,81,86,87,100,92,88,83,60,58,M,Grant
1981,50,59,65,85,82,88,96,101,95,68,62,48,M,Grant
1982,45,59,62,74,M,96,100,97,88,70,52,M,M,Grant
1983,50,M,M,73,97,M,M,M,84,M,59,M,M,Grant
1984,48,49,66,M,M,89,103,99,89,79,56,40,M,Grant
1985,37,47,57,M,M,96,M,M,M,M,M,40,M,Grant
1986,44,M,66,M,M,M,96,M,M,73,55,42,M,Grant
1987,44,M,67,85,95,M,M,M,98,82,57,53,M,Grant
1988,M,M,61,M,M,M,M,M,103,84,61,46,M,Grant
1989,51,43,57,74,80,M,96,100,85,M,69,42,M,Grant
1990,51,57,68,M,85,89,101,99,91,M,64,51,M,Grant
1991,44,56,69,76,74,M,M,97,89,M,54,M,M,Grant
1992,52,54,71,76,90,102,99,99,85,83,52,39,M,Grant
