Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1945,M,M,M,61,72,78,80,81,75,72,55,M,M,Island
1946,52,58,60,60,70,73,82,76,71,65,55,54,M,Island
1947,M,57,58,66,74,74,75,73,70,69,56,56,M,Island
1948,50,55,60,63,68,75,76,75,73,68,53,48,76,Island
1949,M,M,60,61,75,74,73,74,75,60,60,55,M,Island
1950,50,59,53,66,66,75,76,73,79,66,64,58,79,Island
1951,56,54,55,64,63,83,86,76,76,67,57,50,86,Island
1952,57,59,60,68,68,67,79,80,73,65,62,62,80,Island
1953,59,56,60,66,76,66,75,75,73,67,60,53,76,Island
1954,53,54,59,62,65,66,68,71,72,69,63,55,72,Island
1955,52,53,54,57,66,85,65,73,74,63,58,50,85,Island
1956,55,49,55,60,75,70,79,71,68,66,58,54,79,Island
1957,51,54,56,68,69,67,71,72,73,65,58,57,73,Island
1958,57,60,60,66,72,76,78,75,74,70,59,59,78,Island
1959,53,54,56,70,82,72,82,76,77,66,59,54,82,Island
1960,64,55,58,65,77,68,75,88,69,66,56,57,88,Island
1961,58,58,62,65,82,76,83,78,85,68,57,56,85,Island
1962,55,59,57,62,67,73,77,74,77,70,60,58,77,Island
1963,53,59,63,66,78,75,74,75,75,75,58,62,78,Island
1964,54,53,55,56,68,72,73,78,68,64,54,52,78,Island
1965,52,55,70,72,63,74,81,78,69,70,63,56,81,Island
1966,56,64,61,70,72,74,71,77,75,64,60,57,77,Island
1967,55,56,60,59,71,76,75,81,87,70,59,56,87,Island
1968,58,60,72,64,73,75,80,74,70,64,56,55,80,Island
1969,53,56,68,66,79,81,73,73,70,67,59,55,81,Island
1970,61,56,60,59,67,75,77,71,67,68,68,55,77,Island
1971,58,55,59,70,68,65,79,79,70,67,56,51,79,Island
1972,52,61,61,69,73,68,82,79,77,65,58,54,82,Island
1973,57,56,58,59,75,71,78,73,80,64,61,56,80,Island
1974,55,53,59,73,63,72,76,79,80,65,57,57,80,Island
1975,54,54,56,56,80,72,75,73,75,66,65,56,80,Island
1976,58,56,57,78,72,69,73,68,86,67,63,57,86,Island
1977,55,60,56,64,68,71,73,83,71,62,59,54,83,Island
1978,55,57,60,61,68,74,78,79,71,70,57,50,79,Island
1979,50,54,64,64,70,69,79,73,82,68,62,56,82,Island
1980,51,60,57,66,68,71,77,75,73,72,66,61,77,Island
1981,65,59,66,71,75,68,75,83,77,62,69,54,83,Island
1982,52,61,61,64,68,80,70,72,74,67,61,57,80,Island
1983,56,65,66,63,77,71,79,76,75,64,60,51,79,Island
1984,58,60,63,76,73,70,80,84,78,72,58,49,84,Island
1985,52,54,56,66,70,75,82,80,73,65,56,54,82,Island
1986,60,70,66,64,73,78,71,79,88,70,57,54,88,Island
1987,60,61,66,66,71,77,76,78,77,71,62,55,78,Island
1988,57,57,63,66,72,78,80,77,76,65,60,59,80,Island
1989,57,53,61,72,67,83,77,74,83,70,61,57,83,Island
1990,55,62,64,68,71,77,81,78,72,66,65,54,81,Island
1991,55,59,59,65,70,76,81,78,74,74,61,58,81,Island
1992,61,64,71,77,75,82,80,80,71,71,55,51,82,Island
1993,54,68,64,76,77,73,74,86,73,66,58,55,86,Island
1994,58,57,65,65,70,71,81,77,75,67,54,57,81,Island
1995,60,58,65,64,68,81,77,69,75,64,62,58,81,Island
1996,54,61,66,66,66,72,80,75,68,71,60,54,80,Island
1997,54,54,65,72,68,71,74,77,79,64,61,54,79,Island
1998,58,60,66,67,72,69,73,81,70,69,57,57,M,Island
1999,M,M,M,M,M,M,M,M,M,M,M,M,M,Island
2000,55,62,60,65,M,78,76,74,75,M,M,M,M,Island
2001,56,54,59,67,68,69,70,75,73,69,62,52,75,Island
2002,58,55,54,63,71,81,74,77,75,59,62,58,81,Island
2003,57,54,59,63,68,77,77,73,72,68,55,55,77,Island
2004,56,60,59,77,M,85,81,76,71,65,59,M,M,Island
2005,63,59,65,71,81,71,84,81,77,76,56,M,M,Island
2006,M,57,67,63,70,76,83,71,74,62,59,55,M,Island
2007,55,58,66,68,67,74,81,75,71,68,58,60,81,Island
2008,53,58,60,60,80,74,72,76,68,69,64,55,M,Island
2009,52,60,60,65,69,76,84,80,76,67,58,56,84,Island
2010,59,57,65,71,70,67,79,78,75,68,66,54,M,Island
2011,56,52,61,59,63,70,75,72,80,65,60,54,80,Island
2012,57,60,61,64,65,73,66,75,71,70,63,53,75,Island
2013,52,51,59,63,68,74,75,77,77,73,70,54,77,Island
2014,55,59,66,72,73,75,75,82,74,74,63,63,82,Island
2015,62,63,67,73,M,79,88,83,71,M,M,M,M,Island
2016,58,57,64,67,M,77,78,81,72,68,72,52,M,Island
2017,57,62,61,66,69,79,73,82,81,66,67,54,82,Island
2018,62,56,75,68,73,76,78,81,73,66,62,59,81,Island
2019,58,54,76,65,71,82,77,84,M,66,59,M,M,Island
2020,62,56,58,68,77,M,M,M,M,M,M,M,M,Island
