Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,73,79,94,81,83,84,67,57,M,Kitsap
1900,59,M,76,86,78,88,85,83,81,70,63,58,M,Kitsap
1901,53,62,69,70,87,88,84,93,88,82,74,63,93,Kitsap
1902,56,62,65,74,86,85,95,95,81,85,58,52,95,Kitsap
1903,M,60,65,67,78,98,85,84,83,72,62,M,M,Kitsap
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1905,50,63,69,79,M,78,M,M,M,M,M,M,M,Kitsap
1906,M,M,69,M,M,M,M,M,M,M,M,M,M,Kitsap
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1910,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1913,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1914,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1915,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1916,M,M,M,M,74,84,79,85,77,M,64,54,M,Kitsap
1917,55,M,62,M,M,82,82,M,M,M,M,M,M,Kitsap
1918,M,M,74,78,78,81,M,M,M,M,M,M,M,Kitsap
1919,M,M,M,M,72,M,84,M,M,68,M,M,M,Kitsap
1920,M,M,M,M,80,M,93,88,75,68,67,59,M,Kitsap
1921,M,M,M,70,78,M,M,M,78,75,M,M,M,Kitsap
1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1927,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1929,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1931,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1932,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1933,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1934,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1935,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1936,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1937,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1938,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1940,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1942,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1943,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1944,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1945,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1946,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1947,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1948,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1949,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1950,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1951,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1952,M,M,M,M,83,75,91,93,89,79,65,59,M,Kitsap
1953,57,58,64,67,88,76,88,88,85,75,61,53,88,Kitsap
1954,51,61,60,72,79,79,82,81,76,78,64,56,82,Kitsap
1955,51,52,61,72,73,97,85,87,86,69,64,56,97,Kitsap
1956,52,49,66,75,89,79,96,88,86,70,62,54,96,Kitsap
1957,50,57,62,78,82,78,80,82,85,81,60,59,85,Kitsap
1958,55,62,61,75,89,92,97,89,85,75,63,59,97,Kitsap
1959,56,57,61,74,85,87,93,92,78,69,65,54,93,Kitsap
1960,55,57,68,72,78,79,93,99,82,74,65,57,99,Kitsap
1961,58,56,61,67,87,88,96,93,83,82,60,55,M,Kitsap
1962,55,63,68,79,68,83,89,87,84,75,59,55,89,Kitsap
1963,54,69,62,68,92,87,78,84,89,73,60,53,92,Kitsap
1964,56,57,72,66,83,85,86,86,78,75,58,56,86,Kitsap
1965,55,58,69,76,76,82,95,97,80,74,64,56,97,Kitsap
1966,56,63,74,75,79,86,84,89,84,76,60,55,M,Kitsap
1967,54,62,55,65,82,89,88,94,92,73,62,55,94,Kitsap
1968,57,70,71,75,79,83,M,M,82,M,61,52,M,Kitsap
