Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1948,M,M,M,M,M,M,103,91,97,76,60,51,M,Klickitat
1949,47,60,66,81,97,100,100,100,96,74,67,59,100,Klickitat
1950,50,63,65,72,86,98,100,105,104,75,62,56,105,Klickitat
1951,54,68,66,83,93,98,102,103,96,79,64,53,103,Klickitat
1952,44,60,70,85,95,92,106,104,99,89,62,52,106,Klickitat
1953,63,61,73,77,91,84,105,105,96,82,63,59,105,Klickitat
1954,53,67,64,81,93,91,97,90,91,72,66,54,97,Klickitat
1955,55,60,63,73,84,100,99,104,102,76,67,58,104,Klickitat
1956,52,53,69,85,97,90,108,102,88,80,61,61,108,Klickitat
1957,48,63,66,90,96,93,95,91,94,72,64,62,96,Klickitat
1958,58,64,66,81,95,101,103,106,99,90,65,61,106,Klickitat
1959,57,64,69,78,87,96,107,99,89,79,68,64,107,Klickitat
1960,48,54,76,79,83,92,105,101,93,83,58,50,105,Klickitat
1961,59,57,66,74,85,106,105,103,88,80,61,56,106,Klickitat
1962,60,58,69,84,76,95,101,97,94,80,68,57,101,Klickitat
1963,57,66,67,72,94,101,96,104,101,82,59,51,104,Klickitat
1964,55,68,75,75,92,91,105,99,89,81,59,56,105,Klickitat
1965,62,66,74,82,92,92,106,101,88,83,66,56,106,Klickitat
1966,56,59,77,83,95,94,100,102,101,82,62,55,102,Klickitat
1967,62,65,65,72,93,105,102,107,98,79,67,62,107,Klickitat
1968,65,68,71,91,97,100,107,100,94,74,60,62,107,Klickitat
1969,45,50,75,80,95,100,101,99,97,76,65,56,101,Klickitat
1970,48,59,68,69,94,105,105,103,87,85,64,53,105,Klickitat
1971,68,65,66,77,92,95,107,110,87,90,61,54,110,Klickitat
1972,54,65,76,81,97,93,102,110,96,81,57,57,110,Klickitat
1973,51,59,67,79,98,103,105,102,98,74,59,54,105,Klickitat
1974,57,56,70,76,83,98,106,104,94,84,62,62,106,Klickitat
1975,63,59,65,73,92,96,104,94,94,86,72,65,104,Klickitat
1976,59,58,61,86,89,98,98,101,98,84,67,56,101,Klickitat
1977,59,67,71,92,78,98,103,110,91,74,67,62,110,Klickitat
1978,50,58,74,79,89,100,106,107,87,82,70,55,107,Klickitat
1979,45,57,72,81,91,97,108,98,94,86,58,61,108,Klickitat
1980,49,60,63,87,88,87,103,97,95,90,65,61,103,Klickitat
1981,53,63,66,85,90,93,100,109,97,77,63,55,109,Klickitat
1982,61,65,72,81,91,100,104,105,97,74,64,66,105,Klickitat
1983,63,61,64,79,104,96,98,95,85,69,58,50,104,Klickitat
1984,58,56,68,76,93,92,104,101,93,82,58,52,104,Klickitat
1985,42,62,67,84,88,102,106,98,87,77,67,38,106,Klickitat
1986,50,66,73,86,107,100,97,102,96,82,65,52,107,Klickitat
1987,52,57,73,91,99,104,101,103,99,88,65,56,104,Klickitat
1988,53,67,73,83,92,95,106,102,105,90,66,59,106,Klickitat
1989,62,56,63,82,87,96,96,100,93,84,65,58,100,Klickitat
1990,59,64,72,85,88,96,107,106,98,78,70,56,107,Klickitat
1991,63,63,73,77,77,92,103,102,99,86,63,56,103,Klickitat
1992,60,62,76,81,95,108,111,109,90,84,59,55,111,Klickitat
1993,50,56,66,73,95,95,93,102,99,88,62,54,102,Klickitat
1994,65,56,80,87,93,93,109,98,96,81,62,58,109,Klickitat
1995,63,69,74,79,97,101,102,100,98,74,68,58,102,Klickitat
1996,60,64,70,83,89,94,109,108,95,88,68,50,109,Klickitat
1997,57,66,79,77,93,91,106,104,93,77,68,61,106,Klickitat
1998,57,61,73,95,93,99,111,106,102,81,68,63,111,Klickitat
1999,64,61,70,88,95,102,99,104,99,77,72,61,104,Klickitat
2000,50,54,70,82,84,100,100,M,95,77,62,51,M,Klickitat
2001,58,58,72,87,99,96,102,102,95,88,66,60,102,Klickitat
2002,59,67,66,76,85,99,103,102,96,76,60,56,103,Klickitat
2003,61,62,77,74,90,101,107,99,101,85,68,51,107,Klickitat
2004,59,57,76,83,84,97,106,106,90,82,65,58,106,Klickitat
2005,57,61,76,81,95,96,104,102,92,74,60,47,104,Klickitat
2006,59,60,66,86,97,105,108,100,93,77,72,56,108,Klickitat
2007,56,62,73,77,93,93,103,100,94,73,69,63,103,Klickitat
2008,50,67,63,80,98,107,101,109,94,82,71,60,109,Klickitat
2009,67,58,62,88,96,94,108,106,96,74,61,49,108,Klickitat
2010,56,63,69,79,85,90,104,105,95,85,70,53,105,Klickitat
2011,59,61,65,73,80,91,99,99,102,74,64,57,102,Klickitat
2012,56,60,67,90,96,91,100,105,94,86,72,56,105,Klickitat
2013,56,59,76,85,92,103,102,98,99,75,65,62,103,Klickitat
2014,57,57,68,82,90,90,104,107,93,90,66,57,107,Klickitat
2015,62,65,78,84,93,108,109,109,95,81,65,66,109,Klickitat
2016,57,64,79,89,91,104,104,103,92,73,69,54,104,Klickitat
2017,41,52,64,68,99,103,101,108,104,74,67,55,108,Klickitat
2018,56,66,68,86,94,99,107,106,92,75,69,57,107,Klickitat
2019,57,49,69,80,90,99,96,101,94,74,66,54,101,Klickitat
2020,61,64,70,79,96,101,108,102,101,88,70,56,108,Klickitat
2021,58,58,68,86,96,118,105,110,94,80,74,70,118,Klickitat
2022,61,70,75,77,81,104,112,108,102,M,M,M,M,Klickitat
