Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,35.8,M,M,M,M,M,M,M,56,M,M,M,M,Lewis
1894,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1902,M,44,43.8,48.5,56,57.5,61.7,62.4,M,52.8,44,40.1,M,Lewis
1903,41.6,38.3,41.9,47,54.6,61.8,60.8,62.9,57.6,52.8,44.3,40.3,50.4,Lewis
1904,39.9,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
1905,38.1,42,50.1,51.1,55.7,M,64,63.5,60.1,48.3,44.4,39.6,M,Lewis
1906,41.1,42.7,43.4,52.1,53.8,57.8,67.9,63.8,58.5,52.8,43.8,41.7,51.7,Lewis
1907,32.6,42.9,42.9,48.8,57.6,59.6,64.1,61.5,58.2,54.4,46.5,40.9,50.8,Lewis
1908,39.3,41,44.8,50.1,51.6,59.4,66.4,63.5,58,50.9,48.3,38.1,51,Lewis
1909,34.1,41.8,45.3,48.1,52.4,60.1,61.4,62,59.7,53.1,44.5,34.3,49.8,Lewis
1910,38.1,38.2,49.5,50.3,57.2,57.5,63,59.4,57.3,52.7,44.7,41.8,M,Lewis
1911,37.9,38.7,45.6,45.5,52.6,M,64.5,62.6,56.5,51.1,M,40.1,M,Lewis
1912,40.8,43.3,43.6,48.2,56.8,60.1,64,62.6,57.2,49.2,45,40.3,51,Lewis
1913,36.1,39.7,42.4,49.5,54.6,60.5,63.6,65.5,58.1,49.4,47,43.5,50.9,Lewis
1914,44.7,42.4,47.6,51.4,57.4,59.3,64.3,64,56.5,55.7,46.9,34.9,52.2,Lewis
1915,38.2,43.5,49,51.8,54.6,58.9,63.8,65.2,57.2,52.6,43.1,39.7,51.5,Lewis
1916,28.8,42.1,43.9,49.7,51.6,57.9,61.3,62.2,57.3,47.7,40.8,37.3,48.4,Lewis
1917,36.8,40,40.7,47.2,52.8,57.3,62.6,65.2,59.1,52.5,48.8,45.4,50.8,Lewis
1918,42.9,39.6,44.1,49.5,52.2,61.3,63.9,63,61.4,52.5,45,40.3,51.4,Lewis
1919,40.3,40.3,45.3,50.9,52.6,56.1,62.3,63.4,58.4,48.8,43.2,35.5,49.8,Lewis
1920,38.1,39.4,43.8,46.1,49.6,57.5,63.4,64.1,57.3,50.5,44.6,41.3,49.7,Lewis
1921,39.4,42.7,45.7,48,53.4,60.4,61,63.2,55.7,52.5,45.8,37,50.4,Lewis
