Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,56,71,81,84,98,95,94,83,64,M,M,Lincoln
1894,42,51,60,78,86,84,92,95,82,71,M,M,M,Lincoln
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1909,M,M,M,65,80,86,93,96,87,72,55,39,M,Lincoln
1910,46,42,67,86,89,90,94,94,86,75,54,42,94,Lincoln
1911,40,38,69,M,85,M,98,88,91,M,56,42,M,Lincoln
1912,42,49,65,M,M,96,94,93,M,M,54,M,M,Lincoln
1913,M,39,51,M,84,89,95,94,88,74,50,41,M,Lincoln
1914,45,46,M,67,M,87,97,96,83,70,M,40,M,Lincoln
1915,37,44,70,76,78,85,95,97,84,70,53,45,M,Lincoln
1916,45,46,55,70,70,91,90,M,M,69,56,41,M,Lincoln
1917,40,40,48,57,73,86,95,95,88,84,59,55,95,Lincoln
1918,58,48,65,84,81,91,101,94,92,79,54,53,101,Lincoln
1919,M,54,66,74,88,90,99,95,84,78,53,51,M,Lincoln
1920,47,49,61,72,77,90,99,100,89,76,53,46,100,Lincoln
1921,M,M,M,M,M,82,93,94,80,80,62,55,M,Lincoln
1922,40,42,52,71,82,95,99,96,91,76,50,41,99,Lincoln
1923,52,50,72,76,82,92,M,95,91,81,57,54,M,Lincoln
1924,45,55,56,74,91,99,101,98,93,71,M,52,M,Lincoln
1925,46,50,65,79,81,100,98,97,M,M,52,47,M,Lincoln
1926,39,57,66,86,79,97,M,100,82,74,60,M,M,Lincoln
1927,40,44,59,78,80,85,99,92,77,75,51,55,M,Lincoln
1928,42,41,66,74,93,94,105,92,94,70,54,47,105,Lincoln
1929,30,39,58,74,86,86,101,99,89,79,55,47,M,Lincoln
1930,43,54,70,77,84,86,98,97,90,75,59,36,98,Lincoln
1931,42,48,64,80,89,93,104,97,88,78,61,39,104,Lincoln
1932,39,54,62,73,77,90,93,98,87,80,55,52,M,Lincoln
1933,41,M,53,73,80,95,100,97,81,82,57,55,M,Lincoln
1934,49,54,67,84,93,91,102,94,88,82,59,44,102,Lincoln
1935,51,53,61,68,81,86,99,93,89,81,48,40,M,Lincoln
1936,42,50,61,86,91,92,99,93,83,79,55,50,99,Lincoln
1937,32,42,58,68,81,91,97,90,89,74,56,45,97,Lincoln
1938,45,46,55,75,84,92,99,91,95,78,51,52,99,Lincoln
1939,49,43,73,84,89,94,102,97,88,74,59,57,102,Lincoln
1940,43,51,65,68,86,93,96,94,88,71,47,46,96,Lincoln
1941,41,55,67,76,84,85,102,94,76,66,56,53,M,Lincoln
1942,44,46,68,78,79,89,95,96,86,77,50,38,96,Lincoln
1943,40,46,56,76,79,84,93,87,88,83,58,51,93,Lincoln
1944,47,47,65,74,82,89,94,88,91,73,54,52,94,Lincoln
1945,50,50,56,69,80,87,94,94,86,75,58,47,94,Lincoln
1946,40,45,62,83,78,85,95,95,83,64,49,50,95,Lincoln
1947,47,58,67,77,86,84,93,89,84,75,50,41,M,Lincoln
1948,39,51,62,69,81,88,86,85,87,68,50,40,88,Lincoln
1949,31,46,54,74,85,89,91,91,89,64,57,46,91,Lincoln
1950,38,42,51,65,77,87,92,89,90,63,55,52,92,Lincoln
1951,45,50,54,70,81,82,93,91,81,71,50,50,93,Lincoln
1952,35,39,59,78,82,86,98,95,83,73,51,37,98,Lincoln
1953,50,52,65,66,80,77,95,97,91,74,58,47,97,Lincoln
1954,47,53,60,71,89,82,94,94,85,67,56,43,94,Lincoln
1955,38,45,51,67,78,95,98,93,96,67,56,42,98,Lincoln
1956,42,M,58,81,89,83,98,98,90,77,47,49,M,Lincoln
1957,36,54,55,82,89,90,96,92,92,76,55,52,96,Lincoln
1958,47,59,61,68,93,96,96,99,97,82,62,47,99,Lincoln
1959,52,46,58,70,77,89,101,97,87,67,59,50,101,Lincoln
