Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1909,M,M,M,M,M,M,M,M,M,80,55,47,M,Pend Oreille
1910,44,43,70,91,88,86,95,94,88,76,54,40,95,Pend Oreille
1911,47,47,68,75,86,90,98,91,92,78,54,41,98,Pend Oreille
1912,51,47,62,71,83,97,94,90,80,68,53,44,97,Pend Oreille
1913,45,44,53,76,85,90,M,94,85,71,53,42,M,Pend Oreille
1914,48,47,62,74,88,M,99,97,84,73,54,43,M,Pend Oreille
1915,39,48,70,76,78,86,94,97,85,71,52,45,97,Pend Oreille
1916,47,47,57,79,74,95,M,94,87,72,52,42,M,Pend Oreille
1917,45,44,49,59,78,87,97,96,88,82,62,54,97,Pend Oreille
1918,47,49,68,75,85,93,99,94,88,75,50,54,99,Pend Oreille
1919,55,47,61,75,89,96,99,93,85,74,55,51,99,Pend Oreille
1920,50,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1921,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1926,M,M,M,M,M,M,M,M,M,70,58,52,M,Pend Oreille
1927,45,49,60,78,87,87,98,94,83,78,53,60,98,Pend Oreille
1928,42,48,68,80,96,94,103,98,97,74,62,51,103,Pend Oreille
1929,38,46,M,78,90,90,M,M,M,M,M,M,M,Pend Oreille
1930,M,M,71,M,81,90,98,101,88,79,M,39,M,Pend Oreille
1931,44,48,58,81,89,93,101,M,82,73,61,46,M,Pend Oreille
1932,42,54,60,76,80,92,95,M,M,82,59,53,M,Pend Oreille
1933,48,47,53,78,82,97,M,101,82,82,54,M,M,Pend Oreille
1934,M,56,69,85,95,92,105,97,92,84,61,45,M,Pend Oreille
1935,46,51,60,69,M,85,100,96,92,85,50,40,M,Pend Oreille
1936,41,M,60,84,M,93,102,96,88,79,53,51,M,Pend Oreille
1937,32,48,59,M,82,96,100,93,90,75,M,51,M,Pend Oreille
1938,M,53,55,83,89,93,104,96,99,77,50,47,M,Pend Oreille
1939,42,49,72,93,94,95,104,100,87,74,56,50,104,Pend Oreille
1940,42,45,69,72,86,97,102,100,93,72,50,43,102,Pend Oreille
1941,41,52,70,83,89,93,107,100,81,70,61,55,107,Pend Oreille
1942,44,50,67,86,82,92,98,100,94,80,52,44,100,Pend Oreille
1943,40,51,55,83,81,90,97,93,94,85,54,51,97,Pend Oreille
1944,44,49,64,80,85,89,100,M,97,75,52,42,M,Pend Oreille
1945,52,51,61,71,82,89,98,96,90,78,50,48,M,Pend Oreille
1946,43,50,65,85,79,89,100,98,88,64,49,51,100,Pend Oreille
1947,46,59,70,78,89,88,98,94,85,76,50,44,98,Pend Oreille
1948,43,55,65,75,87,93,M,89,96,68,45,40,M,Pend Oreille
1949,41,50,58,78,90,91,100,M,95,64,58,50,M,Pend Oreille
1950,47,49,48,68,79,89,97,94,95,66,58,46,97,Pend Oreille
1951,45,52,58,74,85,83,97,98,86,73,50,50,98,Pend Oreille
1952,43,54,62,86,82,87,98,98,92,80,58,41,98,Pend Oreille
1953,50,53,66,72,84,82,96,95,90,75,56,47,M,Pend Oreille
1954,45,51,55,71,89,82,93,90,82,65,55,43,93,Pend Oreille
1955,37,42,53,64,M,94,94,96,95,67,55,M,M,Pend Oreille
1956,46,42,58,76,88,84,99,99,89,76,49,54,M,Pend Oreille
1957,37,51,55,85,87,90,94,92,90,68,55,M,M,Pend Oreille
1958,44,57,63,70,93,94,95,100,94,78,55,48,100,Pend Oreille
1959,47,50,M,73,82,89,101,97,87,68,56,47,M,Pend Oreille
1960,43,46,71,78,85,90,105,98,85,79,54,40,105,Pend Oreille
1961,49,53,63,65,85,96,98,106,84,73,50,45,106,Pend Oreille
1962,52,56,65,81,74,90,99,96,93,77,53,45,99,Pend Oreille
1963,49,54,64,78,84,93,92,99,94,81,53,45,M,Pend Oreille
1964,42,49,65,64,81,86,96,87,80,74,52,41,96,Pend Oreille
1965,44,53,61,74,84,90,95,97,81,74,61,43,97,Pend Oreille
1966,40,48,71,72,88,83,94,96,91,75,58,44,96,Pend Oreille
1967,47,55,52,66,82,90,97,102,97,74,53,42,M,Pend Oreille
1968,44,61,64,80,79,91,102,93,85,75,48,44,102,Pend Oreille
1969,36,44,65,80,85,93,94,99,91,64,51,42,99,Pend Oreille
1970,40,52,55,61,85,94,97,99,92,81,58,42,99,Pend Oreille
1971,50,48,55,71,M,90,97,102,81,82,48,40,M,Pend Oreille
1972,44,55,68,72,88,89,93,98,86,72,49,50,98,Pend Oreille
1973,42,53,60,71,90,94,98,M,92,76,50,40,M,Pend Oreille
1974,47,41,60,71,76,94,97,95,87,72,47,M,M,Pend Oreille
1975,42,45,M,64,85,85,101,90,84,M,55,51,M,Pend Oreille
1976,44,46,M,72,78,92,94,88,88,78,56,41,M,Pend Oreille
1977,42,53,57,89,79,92,96,101,80,66,55,50,M,Pend Oreille
1978,42,43,67,72,79,92,93,98,M,70,55,38,M,Pend Oreille
1979,36,45,61,80,83,93,104,95,90,79,54,46,104,Pend Oreille
1980,42,49,57,81,85,83,96,89,81,83,58,55,M,Pend Oreille
1981,45,54,63,81,79,86,92,100,92,69,54,47,M,Pend Oreille
1982,43,50,60,73,M,95,M,94,89,68,50,46,M,Pend Oreille
1983,46,50,63,M,M,M,M,M,M,63,50,35,M,Pend Oreille
1984,44,M,55,78,86,97,98,96,86,78,45,33,M,Pend Oreille
1985,37,45,58,74,87,92,102,93,74,65,53,40,M,Pend Oreille
1986,43,M,66,71,96,96,89,94,83,67,M,35,M,Pend Oreille
1987,36,46,62,88,90,94,96,97,93,82,54,49,97,Pend Oreille
1988,44,59,61,82,92,88,96,95,M,81,62,42,M,Pend Oreille
1989,49,46,56,M,M,87,99,97,85,73,M,44,M,Pend Oreille
1990,49,50,72,78,86,M,M,M,92,64,56,47,M,Pend Oreille
1991,46,58,M,M,M,M,M,M,M,M,M,46,M,Pend Oreille
1992,45,51,M,80,M,99,99,M,83,M,M,M,M,Pend Oreille
1993,M,44,61,65,M,90,90,92,87,76,54,42,M,Pend Oreille
1994,43,45,72,79,M,90,102,99,M,M,M,M,M,Pend Oreille
1995,41,M,69,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1996,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1997,M,M,M,M,M,M,M,M,M,M,M,44,M,Pend Oreille
1998,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1999,M,M,M,M,M,M,M,M,86,71,M,47,M,Pend Oreille
2000,39,44,65,M,80,87,96,97,M,69,M,M,M,Pend Oreille
2001,M,38,M,M,M,M,M,M,M,76,65,43,M,Pend Oreille
2002,43,50,56,70,80,M,M,95,M,M,M,49,M,Pend Oreille
2003,49,47,62,M,M,M,100,M,M,79,56,M,M,Pend Oreille
2004,M,49,M,77,80,M,M,M,84,70,55,49,M,Pend Oreille
2005,44,57,67,80,89,M,96,98,M,M,49,40,M,Pend Oreille
2006,48,48,M,M,M,M,M,M,M,70,M,45,M,Pend Oreille
2007,M,49,M,M,M,M,101,M,M,M,56,M,M,Pend Oreille
2008,M,50,M,M,M,M,M,M,85,M,M,M,M,Pend Oreille
2009,M,44,M,77,79,79,M,M,M,M,M,M,M,Pend Oreille
2010,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2011,48,48,61,64,75,83,88,91,92,76,50,47,M,Pend Oreille
2012,45,44,60,83,86,M,96,94,86,74,57,48,M,Pend Oreille
2013,42,46,70,72,85,89,96,90,91,64,50,40,96,Pend Oreille
2014,46,M,54,71,80,84,99,97,85,79,55,46,M,Pend Oreille
2015,39,50,69,78,84,103,98,100,87,77,54,49,103,Pend Oreille
2016,40,55,67,82,82,95,95,94,81,64,59,37,95,Pend Oreille
2017,40,47,M,64,88,91,98,M,92,65,M,M,M,Pend Oreille
2018,M,54,M,81,M,85,M,105,86,65,55,M,M,Pend Oreille
2019,42,M,67,67,83,M,96,97,87,59,52,47,M,Pend Oreille
2020,49,58,M,70,86,M,98,99,91,79,59,M,M,Pend Oreille
2021,M,M,M,M,84,M,M,M,M,M,M,M,M,Pend Oreille
2022,M,M,M,M,M,M,100,M,M,M,M,M,M,Pend Oreille
