Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1944,M,M,M,M,M,41,48,48,37,32,18,M,M,Benton
1945,22,19,12,25,45,46,51,45,34,24,19,12,12,Benton
1946,18,18,28,27,32,40,50,M,33,22,19,8,M,Benton
1947,5,15,19,30,41,47,54,47,41,34,26,20,M,Benton
1948,13,4,M,M,M,50,41,48,M,M,20,2,M,Benton
1949,-12,7,22,30,36,39,45,48,40,22,26,15,-12,Benton
1950,-21,-22,17,25,35,43,50,52,36,30,23,22,-22,Benton
1951,4,6,22,27,35,43,49,45,39,26,21,5,4,Benton
1952,4,21,22,28,38,44,43,51,40,33,13,18,4,Benton
1953,28,22,25,26,40,47,52,50,41,32,25,25,22,Benton
1954,-10,25,17,30,30,42,48,49,33,27,20,20,-10,Benton
1955,20,18,12,28,34,47,46,49,37,32,0,13,0,Benton
1956,-4,-7,20,29,41,45,53,50,39,31,18,11,-7,Benton
1957,-19,4,29,34,47,49,49,50,38,33,23,23,-19,Benton
1958,20,28,25,32,41,47,54,55,38,27,13,24,13,Benton
1959,0,23,25,30,35,44,44,47,42,31,9,17,0,Benton
1960,6,11,18,32,38,47,52,44,40,32,23,18,6,Benton
1961,16,28,26,30,40,47,51,55,36,26,13,5,5,Benton
1962,4,11,22,33,34,42,44,49,40,35,22,17,4,Benton
1963,0,12,24,29,39,49,48,50,43,29,18,11,0,Benton
1964,18,20,19,27,35,47,50,47,42,26,23,-6,-6,Benton
1965,14,25,15,34,34,49,51,45,32,35,28,14,14,Benton
1966,22,21,19,29,39,42,50,46,45,33,23,23,19,Benton
1967,23,19,21,29,35,48,52,51,42,31,17,9,9,Benton
1968,12,16,27,27,39,42,51,47,43,32,24,-10,-10,Benton
1969,-6,6,19,32,40,51,48,44,40,22,21,20,M,Benton
1970,13,25,24,26,37,45,49,49,34,19,15,10,M,Benton
1971,7,15,16,26,40,46,42,50,37,18,17,7,7,Benton
1972,2,5,28,23,32,49,48,49,31,22,23,-5,M,Benton
1973,2,19,27,26,35,42,47,39,40,31,17,20,2,Benton
1974,-5,27,23,34,38,46,51,51,42,31,25,20,-5,Benton
1975,17,17,20,25,38,44,50,47,39,33,20,18,17,Benton
1976,17,12,13,30,38,38,50,51,40,25,16,12,12,Benton
1977,8,23,29,34,37,41,52,53,42,31,12,20,M,Benton
1978,-5,25,28,34,39,50,54,53,38,27,12,-1,-5,Benton
1979,-6,-4,26,34,39,48,50,55,43,35,22,25,-6,Benton
1980,2,17,27,31,44,47,50,46,M,28,22,12,M,Benton
1981,28,15,28,32,40,47,48,51,35,23,15,10,10,Benton
1982,4,14,25,29,38,40,47,48,40,27,19,M,M,Benton
1983,19,24,30,30,37,44,M,56,31,30,26,-4,M,Benton
1984,9,22,30,34,34,38,52,44,31,20,20,3,M,Benton
1985,12,-2,22,34,38,46,56,47,31,28,-6,4,-6,Benton
1986,19,18,30,29,32,48,50,55,45,32,17,20,17,Benton
1987,11,20,24,33,42,44,M,49,38,29,21,15,M,Benton
1988,16,9,26,27,38,44,49,49,40,29,26,9,M,Benton
1989,14,-4,16,37,39,47,51,52,43,27,25,19,M,Benton
1990,24,12,23,36,37,47,49,52,44,33,28,-8,M,Benton
1991,8,26,25,32,38,40,52,51,39,21,23,20,M,Benton
1992,20,25,30,M,37,49,55,42,40,30,21,14,M,Benton
1993,-2,10,11,33,42,45,51,46,36,29,5,23,M,Benton
1994,M,7,21,33,38,45,50,M,M,34,20,13,M,Benton
1995,13,11,M,M,41,46,53,48,40,M,19,17,M,Benton
1996,-10,-10,22,32,34,44,51,50,34,27,19,M,M,Benton
1997,10,20,30,27,37,47,51,54,43,30,M,19,M,Benton
1998,12,23,26,30,39,47,58,53,47,27,M,3,M,Benton
1999,20,25,26,29,33,43,44,49,33,29,28,24,20,Benton
2000,19,21,27,30,37,42,50,50,32,30,20,16,16,Benton
2001,22,20,24,31,36,43,52,49,M,31,26,21,M,Benton
2002,21,18,23,28,33,43,50,49,40,13,14,27,13,Benton
2003,28,15,29,31,36,48,52,53,42,22,15,15,15,Benton
2004,-6,24,28,31,42,46,52,54,42,30,23,20,-6,Benton
2005,12,18,29,35,40,48,53,51,42,33,20,8,8,Benton
2006,25,11,26,33,34,49,53,49,43,19,15,14,M,Benton
2007,7,16,25,27,37,45,52,50,40,26,22,18,7,Benton
2008,7,M,26,26,33,46,49,48,42,28,24,4,M,Benton
2009,13,21,17,30,35,47,53,52,43,26,25,2,2,Benton
2010,22,23,27,30,34,46,51,49,45,31,3,15,M,Benton
2011,12,10,26,28,35,46,49,52,42,31,21,13,10,Benton
2012,13,22,24,28,37,45,49,47,40,32,25,21,13,Benton
2013,16,23,23,28,34,48,53,56,46,27,14,7,7,Benton
2014,18,6,M,33,40,49,54,57,42,38,12,11,M,Benton
2015,13,22,23,31,40,51,55,53,39,37,15,16,13,Benton
2016,11,24,27,38,44,46,55,54,44,33,27,2,2,Benton
2017,0,11,31,31,37,46,55,52,42,31,24,12,0,Benton
2018,19,15,23,33,44,47,52,50,43,33,22,21,15,Benton
2019,21,5,7,37,39,47,53,53,38,16,22,22,5,Benton
2020,12,20,25,27,39,49,54,50,45,26,25,21,M,Benton
2021,19,12,27,28,41,48,55,49,44,33,26,12,M,Benton
2022,3,11,22,31,39,48,56,54,47,M,M,M,M,Benton
