Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1891,M,M,M,M,M,M,49,47,37,34,M,14,M,Chelan
1892,4,M,29,30,38,37,46,50,42,33,M,M,M,Chelan
1893,-18,-15,13,32,39,41,46,50,35,25,20,17,M,Chelan
1894,5,3,23,29,36,41,54,55,36,30,23,4,3,Chelan
1895,7,9,21,29,34,40,50,48,34,25,20,11,7,Chelan
1896,8,13,9,28,35,45,52,50,41,33,-3,23,M,Chelan
1897,3,8,5,33,39,41,47,48,39,31,9,7,3,Chelan
1898,7,18,21,32,35,44,51,50,36,M,23,8,M,Chelan
1899,-7,-3,24,28,35,39,46,44,44,32,34,12,-7,Chelan
1900,17,6,29,32,40,47,49,46,38,33,5,20,5,Chelan
1901,2,11,24,M,34,42,50,54,39,35,29,15,M,Chelan
1902,3,11,27,31,43,40,M,50,37,34,20,14,M,Chelan
1903,8,4,17,30,38,50,49,44,37,26,15,4,M,Chelan
1904,9,9,15,32,32,47,55,52,43,30,29,13,9,Chelan
1905,4,0,30,34,37,46,52,50,39,25,20,16,M,Chelan
1906,7,21,13,30,39,40,57,52,41,29,25,18,7,Chelan
1907,-3,9,20,30,41,43,50,45,42,41,29,15,M,Chelan
1908,11,0,20,24,38,41,50,44,33,32,26,17,0,Chelan
1909,-13,15,24,32,35,45,49,45,41,34,19,6,-13,Chelan
1910,2,7,26,34,M,42,47,42,40,27,19,19,M,Chelan
1911,-2,7,13,32,39,45,51,53,35,27,6,12,M,Chelan
1912,-2,17,18,35,38,45,49,47,40,30,25,18,-2,Chelan
1913,4,3,16,31,36,45,45,47,42,27,27,21,3,Chelan
1914,12,3,21,30,38,40,49,50,40,36,22,7,3,Chelan
1915,5,15,28,35,35,45,48,55,42,35,15,5,5,Chelan
1916,-11,3,19,31,35,41,45,51,39,29,10,-2,-11,Chelan
1917,-4,2,8,29,34,44,43,50,42,25,26,6,-4,Chelan
1918,6,5,M,M,M,M,M,M,M,34,20,M,M,Chelan
1919,M,7,14,30,33,40,M,M,33,21,15,M,M,Chelan
1920,9,21,M,M,M,M,51,43,M,M,M,M,M,Chelan
1921,6,11,24,M,M,M,M,M,M,M,10,M,M,Chelan
1922,-3,-2,6,M,M,48,M,49,M,M,M,M,M,Chelan
1923,M,-1,20,M,38,42,55,55,45,30,M,-5,M,Chelan
1924,-2,22,26,31,M,46,56,M,44,34,20,-1,M,Chelan
1925,12,27,30,38,41,39,56,49,39,32,24,27,M,Chelan
1926,20,25,27,31,37,49,56,52,30,33,M,4,M,Chelan
1927,-2,18,26,27,37,55,55,52,40,31,26,-2,M,Chelan
1928,4,18,24,30,34,47,51,52,44,33,29,14,M,Chelan
1929,0,M,30,27,40,44,54,50,43,32,17,18,M,Chelan
1930,-4,16,23,38,38,47,53,55,42,31,21,18,M,Chelan
1931,21,M,27,32,40,47,56,55,41,M,15,9,M,Chelan
1932,7,1,24,M,41,45,M,49,40,30,30,M,M,Chelan
1933,13,-5,27,30,35,41,53,51,37,32,26,18,M,Chelan
1934,M,25,30,36,40,45,M,M,36,36,27,13,M,Chelan
