Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1907,M,M,M,M,M,M,M,M,M,M,M,32,M,Clallam
1908,M,26,30,M,M,M,M,M,M,M,M,M,M,Clallam
1909,7,M,M,M,M,M,M,M,M,M,M,M,M,Clallam
1910,M,22,30,M,32,M,40,M,35,M,M,M,M,Clallam
1911,M,M,M,M,M,M,M,M,M,M,22,M,M,Clallam
1912,M,M,M,M,M,M,M,M,45,38,M,M,M,Clallam
1913,M,M,M,M,M,M,M,M,37,M,29,25,M,Clallam
1914,24,24,32,31,33,38,34,36,M,39,26,19,M,Clallam
1915,18,28,26,29,32,39,M,M,M,32,27,18,M,Clallam
1916,8,28,26,33,32,40,M,36,31,22,M,24,M,Clallam
1917,3,8,19,32,30,34,M,39,36,26,31,21,M,Clallam
1918,18,M,21,25,M,M,M,M,31,33,26,21,M,Clallam
1919,22,23,26,28,28,36,38,36,24,M,M,3,M,Clallam
1920,17,M,M,M,27,36,39,34,42,27,M,M,M,Clallam
1921,M,M,24,21,M,36,40,39,31,26,24,18,M,Clallam
1922,14,M,20,27,M,35,M,M,M,M,M,M,M,Clallam
1923,M,M,M,M,M,36,39,40,M,25,22,12,M,Clallam
1924,11,28,25,29,35,30,35,38,33,30,25,4,4,Clallam
1925,26,29,23,29,32,M,41,38,31,28,M,28,M,Clallam
1926,25,25,26,30,35,39,39,41,24,31,25,21,M,Clallam
1927,M,M,M,M,M,M,M,M,M,32,29,18,M,Clallam
1928,21,27,26,29,33,40,40,40,37,32,31,21,21,Clallam
1929,4,11,17,27,33,36,39,41,34,31,25,27,M,Clallam
1930,11,24,24,M,30,M,M,M,34,29,M,26,M,Clallam
1931,30,29,27,30,34,38,40,41,35,32,M,M,M,Clallam
1932,17,M,27,32,33,40,39,44,M,33,29,14,M,Clallam
1933,23,14,27,28,35,33,38,42,34,33,29,27,14,Clallam
1934,M,29,M,M,34,36,41,M,32,33,M,29,M,Clallam
1935,9,26,26,24,32,36,M,38,M,23,22,28,M,Clallam
1936,24,17,M,M,34,42,42,43,34,34,23,26,M,Clallam
1937,14,25,29,31,34,39,43,41,38,36,29,25,M,Clallam
1938,29,26,26,29,33,35,39,41,41,30,M,24,M,Clallam
1939,28,22,26,29,34,37,M,41,39,28,35,27,M,Clallam
1940,M,30,M,34,35,39,M,45,39,35,26,23,M,Clallam
1941,28,29,32,M,35,M,40,43,39,36,M,24,M,Clallam
1942,18,M,M,M,35,39,44,42,M,32,M,M,M,Clallam
1943,7,25,24,29,M,M,M,M,39,30,30,26,M,Clallam
1944,26,26,24,31,32,M,40,M,M,38,29,M,M,Clallam
1945,25,27,M,M,39,37,M,M,35,30,22,21,M,Clallam
1946,26,22,27,30,36,40,43,M,37,27,26,22,M,Clallam
1947,13,25,M,30,33,42,42,37,32,33,25,27,M,Clallam
1948,22,18,25,27,30,42,41,42,34,29,26,20,18,Clallam
1949,12,17,27,29,29,37,39,43,M,25,29,20,M,Clallam
1950,4,9,28,30,32,35,42,40,31,30,28,30,4,Clallam
1951,15,23,17,24,29,39,41,38,36,30,27,18,15,Clallam
1952,23,24,27,27,29,35,37,40,35,36,23,26,23,Clallam
1953,28,26,22,26,31,37,42,42,36,33,30,30,22,Clallam
