Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1934,M,M,M,M,M,M,M,M,35,35,30,M,M,Grant
1935,M,22,M,M,M,M,M,48,41,12,10,22,M,Grant
1936,6,-11,24,M,42,49,53,M,40,34,18,20,M,Grant
1937,-13,-5,27,32,40,45,53,M,40,36,30,M,M,Grant
1938,17,21,25,28,36,45,M,M,50,34,17,15,M,Grant
1939,M,2,M,30,41,44,51,M,44,31,28,M,M,Grant
1940,M,18,28,34,39,49,53,52,M,36,M,M,M,Grant
1941,M,24,24,34,37,48,54,48,40,33,M,M,M,Grant
1942,M,22,25,31,37,44,48,47,36,29,19,8,M,Grant
1943,-14,M,4,31,34,40,46,47,42,30,25,13,M,Grant
1944,9,11,21,31,34,44,46,48,37,38,25,9,9,Grant
1945,15,20,13,26,38,40,46,45,34,22,11,11,11,Grant
1946,M,M,M,M,M,M,M,M,M,M,M,M,M,Grant
1947,-1,10,22,31,43,45,48,45,41,35,24,16,-1,Grant
1948,12,5,19,29,32,50,45,45,35,26,20,-2,-2,Grant
1949,-9,-3,23,31,32,40,48,45,39,25,28,0,-9,Grant
1950,-17,-15,15,29,35,40,46,M,41,31,21,8,M,Grant
1951,-2,10,9,25,34,42,45,38,37,27,23,-2,-2,Grant
1952,-8,12,20,27,34,39,46,47,44,34,13,19,-8,Grant
1953,20,23,24,25,35,42,48,47,39,34,25,24,20,Grant
1954,-9,17,18,26,27,38,47,46,36,28,23,17,-9,Grant
1955,15,9,0,25,32,44,43,49,38,24,1,3,0,Grant
1956,-2,-5,15,25,34,41,49,48,40,28,18,2,-5,Grant
1957,-15,-3,24,33,43,44,49,48,38,29,22,20,-15,Grant
1958,18,27,24,34,38,45,52,50,34,31,11,16,11,Grant
1959,-3,10,25,30,31,41,44,44,39,30,4,16,-3,Grant
1960,2,9,10,28,34,41,52,41,40,31,22,14,2,Grant
1961,16,24,20,27,35,43,45,49,40,28,14,4,4,Grant
1962,-7,7,16,29,33,38,43,48,39,34,25,15,-7,Grant
1963,-1,11,24,26,33,42,46,48,45,29,18,7,-1,Grant
1964,15,18,17,27,32,42,48,42,40,28,22,-13,-13,Grant
1965,11,12,11,30,29,44,48,43,34,30,17,15,11,Grant
1966,10,17,19,26,33,43,48,44,45,32,26,15,10,Grant
1967,20,23,20,29,33,44,49,53,42,31,17,9,9,Grant
1968,6,19,28,25,36,43,50,48,39,32,25,-16,-16,Grant
1969,-10,2,17,34,37,48,50,48,42,30,22,21,-10,Grant
1970,10,20,16,29,34,47,50,50,30,27,11,9,9,Grant
1971,5,16,12,29,34,42,42,46,34,21,21,2,2,Grant
1972,-9,-1,23,26,34,45,41,43,32,23,25,-2,-9,Grant
1973,0,10,25,28,35,41,44,47,40,32,21,12,0,Grant
1974,-3,23,20,32,30,44,47,50,30,32,26,16,-3,Grant
1975,4,2,22,24,33,41,52,39,43,27,15,10,2,Grant
