Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1891,M,M,M,M,M,M,43,M,M,41,34,31,M,Grays Harbor
1892,24,M,33,29,37,M,43,41,40,31,M,M,M,Grays Harbor
1893,12,17,30,24,29,40,42,43,39,M,M,29,M,Grays Harbor
1894,27,21,30,31,30,39,42,46,39,35,28,25,21,Grays Harbor
1895,25,31,24,30,36,38,42,M,M,33,28,26,M,Grays Harbor
1896,27,24,22,29,35,39,47,M,M,M,M,M,M,Grays Harbor
1897,M,M,20,34,37,43,46,45,37,34,30,29,M,Grays Harbor
1898,28,29,24,29,34,43,M,46,40,35,31,M,M,Grays Harbor
1899,22,13,M,28,M,M,44,43,43,30,39,30,M,Grays Harbor
1900,27,22,30,30,25,39,42,M,M,35,22,20,M,Grays Harbor
1901,20,15,M,20,29,34,37,41,33,33,35,20,M,Grays Harbor
1902,12,31,28,30,40,38,40,40,30,35,30,29,M,Grays Harbor
1903,M,15,24,29,35,35,42,46,39,38,31,30,M,Grays Harbor
1904,28,24,28,30,33,35,40,42,36,36,32,30,M,Grays Harbor
1905,21,17,27,29,31,42,45,40,39,28,M,25,M,Grays Harbor
1906,28,27,18,28,37,38,45,42,39,M,28,30,M,Grays Harbor
1907,12,30,27,30,33,33,34,38,30,32,32,28,M,Grays Harbor
1908,24,25,M,20,33,37,41,42,31,28,30,26,M,Grays Harbor
1909,8,29,30,M,32,39,40,40,38,34,24,18,M,Grays Harbor
1910,17,24,31,33,35,M,41,36,38,30,31,30,M,Grays Harbor
1911,16,23,25,25,34,32,44,M,34,31,M,26,M,Grays Harbor
1912,22,25,24,28,35,36,M,39,37,30,27,29,M,Grays Harbor
1913,19,24,22,29,34,40,44,44,39,31,29,31,19,Grays Harbor
1914,31,M,32,30,35,37,40,40,39,39,30,20,M,Grays Harbor
1915,21,26,30,31,35,39,43,43,40,35,27,21,21,Grays Harbor
1916,13,26,28,32,29,37,39,39,36,27,20,24,13,Grays Harbor
1917,10,23,23,30,32,34,40,41,38,28,31,28,M,Grays Harbor
1918,23,25,24,25,33,36,39,40,38,36,31,21,M,Grays Harbor
1919,21,26,29,29,31,36,43,45,30,24,23,6,6,Grays Harbor
1920,19,24,25,27,30,36,43,41,43,29,26,27,19,Grays Harbor
1921,24,26,28,27,31,38,39,41,33,29,27,21,M,Grays Harbor
1922,17,17,23,29,30,38,43,42,39,31,27,12,12,Grays Harbor
1923,17,16,24,31,32,37,44,43,35,30,26,11,11,Grays Harbor
1924,11,28,26,26,33,38,38,41,34,29,26,M,M,Grays Harbor
1925,M,30,22,30,34,40,42,53,53,38,M,27,M,Grays Harbor
1926,25,28,29,33,37,40,42,M,32,32,31,20,M,Grays Harbor
1927,M,25,28,27,34,M,43,41,40,22,33,M,M,Grays Harbor
1928,M,28,32,41,37,40,45,M,36,31,29,M,M,Grays Harbor
1929,16,13,27,29,35,38,40,43,34,33,27,M,M,Grays Harbor
1930,11,24,24,30,32,38,39,43,36,29,28,24,M,Grays Harbor
1931,M,28,27,29,35,40,41,43,36,29,M,25,M,Grays Harbor
1932,16,15,29,31,33,39,37,42,36,31,32,16,M,Grays Harbor
1933,28,8,28,29,34,35,40,44,34,32,32,26,M,Grays Harbor
1934,28,30,30,30,33,38,40,40,35,M,32,29,M,Grays Harbor
1935,9,26,21,29,33,37,40,40,40,19,19,27,M,Grays Harbor
1936,23,20,22,25,35,42,43,44,36,31,23,22,M,Grays Harbor
1937,14,26,30,32,33,39,41,40,38,36,34,26,M,Grays Harbor
1938,30,28,25,29,33,35,38,40,44,30,27,23,23,Grays Harbor
1939,28,23,27,28,33,36,41,42,38,29,32,26,23,Grays Harbor
1940,24,30,31,34,35,39,39,44,37,32,25,23,23,Grays Harbor
1941,25,28,29,30,35,40,44,48,39,37,29,19,19,Grays Harbor
1942,16,25,27,35,33,38,45,43,36,32,28,29,16,Grays Harbor
1943,9,27,23,30,35,38,44,43,42,32,31,27,9,Grays Harbor
1944,27,26,23,32,33,34,42,44,40,39,30,18,18,Grays Harbor
1945,25,25,27,27,37,38,40,39,37,30,24,23,23,Grays Harbor
1946,27,28,28,29,35,40,44,41,36,27,27,20,20,Grays Harbor
1947,16,26,28,30,35,41,42,42,34,37,26,27,16,Grays Harbor
1948,23,20,26,28,32,41,41,44,33,30,25,23,20,Grays Harbor
1949,15,21,28,30,31,40,41,46,39,28,39,26,M,Grays Harbor
1950,6,11,28,32,32,41,46,45,35,34,28,34,6,Grays Harbor
1951,20,26,25,29,35,42,45,45,42,33,29,23,20,Grays Harbor
1952,23,27,M,M,31,37,41,43,39,36,24,29,M,Grays Harbor
1953,30,27,24,28,34,40,45,46,39,33,31,31,M,Grays Harbor
1954,24,M,26,29,29,41,41,44,37,32,31,29,M,Grays Harbor
1955,28,25,22,29,34,41,40,42,36,35,11,25,11,Grays Harbor
1956,22,19,24,30,36,40,44,45,39,34,28,24,M,Grays Harbor
1957,14,23,30,32,41,44,45,42,40,34,31,30,14,Grays Harbor
1958,34,31,28,32,35,46,48,47,M,35,26,31,M,Grays Harbor
1959,18,M,31,32,34,41,41,42,42,33,29,30,M,Grays Harbor
1960,28,25,25,31,35,41,41,46,40,32,30,29,25,Grays Harbor
1961,29,32,31,32,37,43,45,49,38,33,27,26,26,Grays Harbor
1962,15,19,28,33,34,41,42,47,44,38,32,26,M,Grays Harbor
1963,16,26,30,31,35,42,46,47,45,36,29,27,16,Grays Harbor
1964,30,27,29,29,33,41,M,45,41,34,29,14,M,Grays Harbor
1965,25,30,26,30,31,41,46,43,38,37,32,26,25,Grays Harbor
1966,29,29,29,32,35,39,47,46,41,36,33,31,29,Grays Harbor
1967,29,30,29,32,36,45,47,49,44,37,31,24,24,Grays Harbor
1968,25,27,30,30,38,42,47,48,40,35,33,10,10,Grays Harbor
1969,17,27,28,32,34,45,46,42,40,32,29,29,17,Grays Harbor
1970,27,32,25,30,36,42,46,47,35,32,26,28,25,Grays Harbor
1971,24,22,23,32,39,39,41,46,37,26,28,25,22,Grays Harbor
1972,14,19,30,30,35,43,45,46,34,29,31,10,10,Grays Harbor
1973,19,27,30,33,37,40,45,42,42,38,29,32,19,Grays Harbor
1974,17,29,27,32,35,41,44,48,42,36,33,29,17,Grays Harbor
1975,26,27,27,29,35,42,49,46,42,34,28,26,26,Grays Harbor
1976,27,24,26,30,37,38,45,48,44,35,26,30,24,Grays Harbor
1977,21,30,28,33,35,43,44,46,43,37,25,30,21,Grays Harbor
1978,30,31,30,34,35,47,49,50,42,35,19,17,17,Grays Harbor
1979,17,23,32,38,41,43,44,49,46,35,32,30,17,Grays Harbor
1980,15,29,31,32,39,39,48,47,48,39,34,26,15,Grays Harbor
1981,32,26,30,30,39,40,43,47,42,34,29,28,26,Grays Harbor
1982,17,23,29,30,36,45,44,46,39,35,28,26,M,Grays Harbor
1983,28,32,35,32,38,47,45,49,36,34,30,10,M,Grays Harbor
1984,23,31,32,32,34,40,44,43,M,M,M,M,M,Grays Harbor
1985,M,M,M,M,M,M,45,44,39,33,14,21,M,Grays Harbor
1986,32,26,32,31,36,46,47,48,42,41,28,32,M,Grays Harbor
1987,26,28,32,35,39,41,49,46,M,37,33,26,M,Grays Harbor
1988,29,28,31,33,37,41,47,46,40,37,31,29,M,Grays Harbor
1989,29,12,23,35,39,46,46,49,42,34,33,30,M,Grays Harbor
1990,30,22,31,37,38,45,49,49,46,37,31,11,11,Grays Harbor
1991,25,33,29,32,40,42,49,46,44,29,30,30,M,Grays Harbor
1992,28,32,36,33,37,47,49,47,40,33,31,28,28,Grays Harbor
1993,18,25,31,32,42,47,48,46,41,40,21,30,M,Grays Harbor
1994,30,23,29,40,40,44,48,50,48,35,28,M,M,Grays Harbor
1995,29,25,28,33,39,47,50,47,52,31,29,28,25,Grays Harbor
1996,22,24,29,35,33,42,46,48,41,32,30,28,22,Grays Harbor
1997,25,30,31,31,38,45,48,52,47,36,36,31,25,Grays Harbor
1998,25,29,29,33,38,47,52,48,41,35,34,18,M,Grays Harbor
1999,31,30,30,31,34,37,47,49,38,35,33,31,30,Grays Harbor
2000,30,M,30,32,36,42,48,45,39,37,27,28,M,Grays Harbor
2001,29,27,30,31,37,42,48,49,43,37,33,31,M,Grays Harbor
2002,30,29,29,33,31,44,46,49,44,28,28,31,M,Grays Harbor
2003,33,27,31,32,34,45,48,46,44,30,27,27,M,Grays Harbor
2004,20,31,33,32,41,46,51,53,44,36,30,33,20,Grays Harbor
2005,27,28,33,34,43,45,50,48,40,38,31,27,M,Grays Harbor
2006,35,22,30,35,36,47,47,46,44,28,22,29,22,Grays Harbor
2007,22,28,32,31,37,41,M,47,40,33,30,29,M,Grays Harbor
2008,24,30,31,29,35,43,45,46,40,33,33,19,19,Grays Harbor
2009,26,28,29,30,38,44,46,49,41,36,31,14,M,Grays Harbor
2010,35,30,31,35,33,44,47,46,47,36,20,24,20,Grays Harbor
2011,24,21,29,31,34,44,45,46,44,35,27,27,21,Grays Harbor
2012,27,27,28,31,36,42,46,44,42,38,31,32,27,Grays Harbor
2013,25,30,31,32,33,46,49,50,44,33,28,16,16,Grays Harbor
2014,30,21,31,35,41,45,50,52,48,43,25,26,M,Grays Harbor
2015,27,32,31,33,40,47,52,49,41,44,27,28,27,Grays Harbor
2016,27,33,33,38,43,43,52,51,43,37,37,25,25,Grays Harbor
2017,22,28,32,34,38,44,48,45,45,36,32,19,19,Grays Harbor
2018,30,24,28,33,40,43,49,47,42,34,33,29,24,Grays Harbor
2019,31,23,26,35,41,44,46,48,37,31,26,27,23,Grays Harbor
2020,30,30,30,31,40,44,47,47,49,33,29,31,29,Grays Harbor
2021,28,27,29,31,37,42,50,44,43,36,28,M,M,Grays Harbor
2022,M,23,28,32,M,M,M,M,M,M,M,M,M,Grays Harbor
