Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,34,38,44,44,42,30,39,29,M,Kitsap
1900,M,M,31,32,40,41,45,45,34,33,16,M,M,Kitsap
1901,24,25,31,29,33,37,40,45,37,39,35,27,M,Kitsap
1902,14,27,28,31,39,39,43,41,39,32,27,27,14,Kitsap
1903,M,21,21,29,33,40,39,41,35,39,30,M,M,Kitsap
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1905,M,18,30,34,37,45,M,M,M,M,M,M,M,Kitsap
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1910,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1913,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1914,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1915,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1916,M,M,M,M,38,48,51,51,43,M,32,30,M,Kitsap
1917,25,M,33,M,M,48,49,M,49,M,M,M,M,Kitsap
1918,M,56,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1919,M,M,M,M,39,M,49,M,M,33,M,M,M,Kitsap
1920,M,M,M,M,40,M,M,49,48,36,36,30,M,Kitsap
1921,M,M,M,30,30,M,M,M,40,36,M,M,M,Kitsap
1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1927,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1929,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1931,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1932,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1933,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1934,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1935,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1936,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1937,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1938,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1940,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
