Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,7,24,32,30,35,41,28,13,-2,M,M,Lincoln
1894,-4,-5,9,24,23,30,40,43,32,24,M,M,M,Lincoln
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1909,M,M,M,17,20,35,36,34,27,26,11,3,M,Lincoln
1910,-6,-11,25,22,31,33,36,34,31,23,18,13,-11,Lincoln
1911,-2,4,7,17,31,M,M,M,29,M,-4,4,M,Lincoln
1912,-18,15,12,M,M,34,37,M,M,20,21,M,M,Lincoln
1913,-14,-6,M,M,23,36,31,30,26,24,22,7,M,Lincoln
1914,8,-4,M,25,M,28,38,38,32,30,18,-7,M,Lincoln
1915,-6,10,24,26,32,35,37,41,25,26,10,-1,M,Lincoln
1916,-13,5,M,25,25,31,36,M,M,18,-2,-13,M,Lincoln
1917,-15,-10,-5,25,27,31,32,44,30,13,19,3,-15,Lincoln
1918,-3,-2,19,22,25,27,37,35,34,23,5,0,-3,Lincoln
1919,-4,7,8,26,27,30,35,35,23,8,2,-21,M,Lincoln
1920,2,18,16,18,24,30,32,37,30,20,11,5,2,Lincoln
1921,M,M,M,M,M,39,40,38,26,21,-3,0,M,Lincoln
1922,0,-7,4,22,25,40,44,30,31,26,16,-17,M,Lincoln
1923,-4,-20,13,26,26,36,41,41,29,22,20,5,-20,Lincoln
1924,-11,23,15,19,29,37,36,37,29,20,10,-10,-11,Lincoln
1925,-5,25,21,29,34,29,42,31,M,M,8,24,M,Lincoln
1926,14,20,25,22,26,28,41,34,17,23,20,M,M,Lincoln
1927,-19,3,22,13,29,40,38,35,31,19,21,-15,-19,Lincoln
1928,0,4,12,24,24,31,41,39,29,19,16,4,0,Lincoln
1929,-25,-18,20,20,25,33,35,31,29,19,5,9,-25,Lincoln
1930,-13,5,15,24,18,33,37,40,29,21,-2,4,-13,Lincoln
1931,7,10,17,21,25,31,36,36,29,18,0,-9,-9,Lincoln
1932,-7,-12,6,27,26,29,33,35,25,12,22,-6,-12,Lincoln
1933,4,-27,15,23,27,25,39,37,23,20,1,12,M,Lincoln
1934,20,20,25,25,26,31,35,36,24,28,13,9,9,Lincoln
1935,-20,12,15,17,25,32,34,33,31,10,1,11,-20,Lincoln
1936,-3,-19,17,10,33,39,39,41,29,24,5,-1,-19,Lincoln
1937,-23,-13,24,27,30,38,41,31,31,28,25,14,M,Lincoln
1938,5,3,22,28,24,34,42,39,36,26,11,5,3,Lincoln
1939,12,-8,4,25,30,31,40,37,35,18,20,15,-8,Lincoln
1940,4,19,25,30,31,40,43,42,38,30,4,7,4,Lincoln
1941,9,24,23,25,31,38,44,43,32,25,17,5,5,Lincoln
1942,-5,2,14,27,29,35,M,35,34,23,10,-1,M,Lincoln
1943,-20,8,2,29,29,37,32,39,34,25,24,10,-20,Lincoln
1944,7,6,14,27,26,39,36,41,29,31,17,-3,-3,Lincoln
1945,13,14,7,23,33,33,41,39,30,20,0,4,0,Lincoln
1946,4,9,24,26,28,33,38,34,26,16,12,2,2,Lincoln
1947,-11,10,20,23,28,34,41,34,33,32,20,2,-11,Lincoln
1948,9,1,12,20,30,45,38,40,32,23,18,-11,-11,Lincoln
1949,-19,-9,14,22,26,32,37,44,33,19,24,-7,-19,Lincoln
1950,-27,-25,9,23,31,37,40,40,28,26,17,6,-27,Lincoln
1951,-6,5,6,21,27,34,37,41,30,22,19,-6,-6,Lincoln
1952,-15,1,15,25,27,28,34,35,31,28,9,5,-15,Lincoln
1953,21,21,20,23,28,34,40,37,30,25,19,21,19,Lincoln
1954,-9,5,15,21,21,30,35,39,31,23,22,6,-9,Lincoln
1955,3,6,-4,23,26,35,34,40,32,22,-8,-4,-8,Lincoln
1956,-12,M,5,22,26,33,40,40,29,28,12,-2,M,Lincoln
1957,-19,-8,19,30,37,37,39,36,28,25,12,13,-19,Lincoln
1958,17,25,19,28,32,37,42,39,23,22,5,19,5,Lincoln
1959,-5,3,24,26,25,35,35,36,36,27,1,15,-5,Lincoln
1960,2,4,4,25,31,34,41,38,32,25,19,7,2,Lincoln
1961,12,22,19,23,31,37,41,46,32,19,12,-7,-7,Lincoln
1962,-8,6,11,25,28,29,34,37,28,29,18,11,-8,Lincoln
1963,-7,14,18,26,30,37,40,39,40,23,19,0,-7,Lincoln
1964,6,9,12,20,26,34,39,37,31,22,15,-15,-15,Lincoln
1965,M,M,M,M,M,M,35,31,M,14,M,M,M,Lincoln
1966,0,12,12,M,M,31,36,29,31,17,11,8,M,Lincoln
1967,12,12,17,21,M,38,35,41,32,M,M,M,M,Lincoln
1968,M,M,M,M,M,33,38,42,29,26,17,-22,M,Lincoln
1969,-21,-10,10,29,30,40,37,36,30,21,13,7,-21,Lincoln
1970,2,16,11,22,29,33,39,40,24,19,4,-5,-5,Lincoln
1971,-3,10,5,23,29,34,34,33,32,M,17,-5,M,Lincoln
1972,-10,-14,22,19,23,35,37,43,25,17,21,-10,-14,Lincoln
1973,-2,15,23,23,26,29,36,34,35,27,9,2,-2,Lincoln
1974,-11,24,20,28,26,35,40,41,29,23,23,6,M,Lincoln
1975,-8,2,16,21,28,33,44,M,36,21,5,5,M,Lincoln
1976,7,6,9,25,26,29,M,36,34,25,8,10,M,Lincoln
1977,-4,16,21,18,25,30,36,39,28,23,4,2,-4,Lincoln
1978,-5,17,14,26,28,34,40,41,32,20,7,-23,-23,Lincoln
1979,-24,-17,21,20,30,34,36,44,38,28,9,M,M,Lincoln
1980,-9,9,19,25,31,M,37,36,30,26,16,M,M,Lincoln
1981,16,1,23,20,27,31,33,39,27,24,8,2,M,Lincoln
1982,-21,M,20,21,23,32,34,42,M,23,11,5,M,Lincoln
1983,6,16,24,21,28,34,39,41,27,21,M,-23,M,Lincoln
1984,M,15,25,22,25,27,33,31,22,M,M,M,M,Lincoln
1985,M,-24,4,19,M,M,35,36,20,M,-18,M,M,Lincoln
1986,4,-4,18,M,24,30,29,39,M,27,M,2,M,Lincoln
1987,-4,15,M,22,22,27,41,34,28,19,M,M,M,Lincoln
1988,-2,0,22,M,20,31,34,34,26,16,M,-14,M,Lincoln
1989,M,M,M,24,27,33,35,41,31,M,17,12,M,Lincoln
1990,17,M,21,28,M,34,35,40,33,15,16,M,M,Lincoln
1991,-10,25,17,21,30,27,37,36,28,11,9,M,M,Lincoln
1992,5,23,22,18,23,34,44,30,27,18,M,M,M,Lincoln
1993,M,-10,M,27,31,32,38,33,28,17,-5,16,M,Lincoln
1994,21,-3,18,M,23,30,35,40,35,M,M,8,M,Lincoln
1995,7,2,12,M,32,40,39,31,32,18,M,5,M,Lincoln
1996,-28,-24,14,22,20,M,M,36,28,M,M,-13,M,Lincoln
