Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1906,M,M,-1,M,27,M,47,42,31,M,10,M,M,Okanogan
1907,M,M,M,M,M,M,M,M,30,M,M,M,M,Okanogan
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1910,-18,-14,7,M,M,M,M,M,M,M,M,2,M,Okanogan
1911,-25,-12,-5,19,30,M,M,M,M,15,-5,-3,M,Okanogan
1912,-21,-2,2,24,31,35,40,37,29,24,17,0,M,Okanogan
1913,-12,-14,3,21,29,35,37,37,30,19,15,0,M,Okanogan
1914,-8,-15,11,22,28,34,38,41,34,27,4,-11,-15,Okanogan
1915,-14,3,17,27,32,40,43,44,32,24,-3,-14,-14,Okanogan
1916,-27,-5,3,24,25,37,39,39,27,19,1,-21,-27,Okanogan
1917,-19,-11,-11,21,27,35,34,43,33,22,12,-7,M,Okanogan
1918,4,2,M,M,M,M,M,M,36,27,8,-1,M,Okanogan
1919,-2,-10,2,18,M,30,M,M,23,M,0,M,M,Okanogan
1920,M,M,9,M,M,M,M,M,M,M,M,M,M,Okanogan
1921,M,M,M,M,29,36,39,36,28,19,-6,-7,M,Okanogan
1922,-16,-18,-6,25,26,40,44,40,33,21,10,-23,-23,Okanogan
1923,-14,-15,4,27,28,32,46,40,31,18,17,-23,-23,Okanogan
1924,-31,2,17,21,32,44,43,41,30,23,5,-17,-31,Okanogan
1925,-11,6,21,28,31,31,46,36,30,23,8,15,-11,Okanogan
1926,1,10,17,23,28,36,42,38,20,24,20,-7,-7,Okanogan
1927,-24,-2,10,19,26,42,45,44,33,19,10,-21,-24,Okanogan
1928,0,2,10,20,26,37,46,38,29,20,14,-7,-7,Okanogan
1929,-30,-19,19,16,28,33,38,33,25,17,1,6,-30,Okanogan
1930,-29,-6,4,23,24,36,40,40,26,18,4,1,-29,Okanogan
1931,8,1,12,20,29,34,39,42,29,24,1,-6,-6,Okanogan
1932,-13,-21,4,27,30,40,41,39,27,20,17,-7,-21,Okanogan
1933,-4,-27,11,24,28,31,40,37,24,19,17,3,-27,Okanogan
1934,-3,4,12,26,29,39,40,40,26,26,15,-6,-6,Okanogan
1935,-22,-1,6,14,26,36,40,35,26,5,-1,-2,-22,Okanogan
1936,-14,-27,11,13,31,38,39,41,27,20,7,-5,M,Okanogan
1937,-24,-17,6,21,22,38,43,36,31,27,9,8,M,Okanogan
1938,M,M,12,18,30,34,46,39,40,24,9,-6,M,Okanogan
1939,3,-15,2,22,28,36,40,38,32,23,20,2,M,Okanogan
1940,-1,-1,13,25,32,41,45,41,33,25,5,-4,-4,Okanogan
1941,-6,7,16,28,28,37,42,39,30,24,14,-7,-7,Okanogan
1942,-15,5,17,26,28,38,41,41,28,20,5,-3,M,Okanogan
1943,-28,-6,-1,24,M,35,43,M,32,21,19,-3,M,Okanogan
1944,-8,5,10,25,28,40,39,39,31,27,15,-8,-8,Okanogan
1945,M,2,2,M,29,37,41,35,26,21,4,-10,M,Okanogan
1946,-7,-9,M,23,26,36,42,36,28,17,-3,-13,M,Okanogan
1947,-12,-11,8,25,31,39,41,M,30,26,15,3,M,Okanogan
1948,-8,-12,2,19,23,41,37,37,M,17,9,-20,M,Okanogan
1949,-24,-17,6,25,28,33,37,37,28,16,20,-6,M,Okanogan
1950,-32,-28,3,22,30,34,42,41,29,23,9,0,M,Okanogan
1951,-26,-4,-8,19,29,35,40,41,35,19,12,-20,M,Okanogan
1952,-23,-8,7,20,23,28,37,36,33,23,0,2,-23,Okanogan
1953,5,1,15,20,28,35,39,37,28,20,12,2,1,Okanogan
1954,-25,-7,3,21,20,30,40,38,29,19,19,-6,M,Okanogan
1955,-4,-4,-10,21,24,34,35,37,27,19,-8,-22,M,Okanogan
1956,-25,-24,-5,19,28,34,39,38,29,19,-4,-19,M,Okanogan
1957,-29,-16,10,26,35,37,40,37,27,21,12,-6,-29,Okanogan
1958,-5,16,14,26,29,40,42,42,24,19,-17,2,-17,Okanogan
1959,-28,-11,14,24,23,33,36,33,30,22,-10,0,-28,Okanogan
1960,-12,-7,-1,22,25,31,40,34,27,19,-5,-10,-12,Okanogan
1961,-7,11,9,18,30,33,39,39,27,16,-14,-5,-14,Okanogan
1962,-27,0,9,25,22,28,33,37,26,22,15,1,-27,Okanogan
1963,-14,0,16,25,22,37,37,40,34,20,10,-3,-14,Okanogan
1964,-2,-1,7,20,27,35,M,36,27,14,14,-27,M,Okanogan
1965,-9,-1,5,22,24,35,38,32,23,19,7,-10,-10,Okanogan
1966,-10,2,2,16,26,33,39,34,30,22,10,4,-10,Okanogan
1967,-2,11,15,21,27,38,39,36,30,23,5,-8,-8,Okanogan
1968,-8,M,M,18,25,31,37,34,24,18,12,-48,M,Okanogan
1969,-31,-15,M,22,28,39,37,32,M,16,6,-3,M,Okanogan
1970,-8,4,M,22,24,34,40,36,21,14,-4,-14,M,Okanogan
1971,-14,-7,-1,20,32,M,M,36,M,M,10,M,M,Okanogan
1972,-21,M,5,17,25,M,M,36,22,M,14,M,M,Okanogan
1973,-18,-8,20,M,M,M,39,32,26,25,1,-4,M,Okanogan
1974,-25,6,-2,M,24,34,38,38,27,20,M,0,M,Okanogan
1975,-18,-11,7,16,28,32,41,39,30,21,-6,0,-18,Okanogan
1976,-1,-7,-6,24,28,28,39,36,30,19,9,M,M,Okanogan
1977,-11,4,19,21,26,32,36,39,30,21,-3,-21,M,Okanogan
1978,-20,7,6,25,29,34,42,38,30,12,5,-30,-30,Okanogan
1979,-25,-12,5,20,28,34,32,42,30,24,-5,M,M,Okanogan
1980,-28,5,10,22,30,35,34,30,29,12,9,-16,-28,Okanogan
1981,7,-6,16,19,22,32,31,36,27,16,12,-9,-9,Okanogan
1982,-24,-8,14,17,24,M,38,35,26,14,-6,-8,M,Okanogan
1983,0,0,20,19,27,36,35,38,18,19,4,-30,-30,Okanogan
1984,-17,6,15,22,25,30,39,32,20,12,11,-17,-17,Okanogan
