Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1931,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1932,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1933,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1934,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1935,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1936,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1937,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1938,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1940,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1942,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1943,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1944,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1945,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1946,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1947,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1948,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1949,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1950,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1951,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1952,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1953,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1954,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1955,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1956,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1957,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1958,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
