Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1909,M,M,M,M,M,M,M,M,M,27,6,-3,M,Pend Oreille
1910,-15,-23,19,21,24,28,35,25,26,18,23,16,-23,Pend Oreille
1911,-8,-2,3,16,25,32,36,33,23,11,3,-11,-11,Pend Oreille
1912,-24,1,1,22,29,27,38,33,25,21,19,11,-24,Pend Oreille
1913,-12,-22,-5,19,22,33,34,30,24,20,16,13,-22,Pend Oreille
1914,-2,-25,15,22,28,M,31,25,26,27,M,-13,M,Pend Oreille
1915,-7,1,18,20,29,33,33,36,23,21,4,-20,-20,Pend Oreille
1916,-29,-9,11,20,24,31,M,33,M,13,-2,-21,M,Pend Oreille
1917,-27,-10,-5,18,24,31,27,33,24,6,24,0,-27,Pend Oreille
1918,-10,-9,8,15,22,25,31,30,31,21,10,-6,-10,Pend Oreille
1919,-2,-8,9,21,24,25,30,33,19,8,-2,-28,-28,Pend Oreille
1920,-4,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1921,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1926,M,M,M,M,M,M,M,M,M,20,23,-8,M,Pend Oreille
1927,-28,6,18,11,25,33,36,33,32,20,17,-22,M,Pend Oreille
1928,-12,-1,7,18,25,33,37,32,22,12,11,2,-12,Pend Oreille
1929,-29,-25,M,19,26,31,M,M,M,M,M,M,M,Pend Oreille
1930,-16,M,10,M,23,29,32,34,21,20,M,3,M,Pend Oreille
1931,7,6,14,17,24,32,32,31,25,17,-10,-8,M,Pend Oreille
1932,-17,-26,-8,23,24,29,32,31,22,13,20,-12,-26,Pend Oreille
1933,-1,-36,4,17,27,28,30,30,20,16,10,9,-36,Pend Oreille
1934,13,12,13,19,25,29,32,32,11,22,24,10,10,Pend Oreille
1935,-35,0,11,12,21,30,34,29,25,-1,-5,12,-35,Pend Oreille
1936,-9,-34,12,6,M,34,33,34,27,17,0,-2,M,Pend Oreille
1937,-34,-20,13,25,24,31,38,30,24,26,22,8,M,Pend Oreille
1938,1,12,16,20,26,32,39,33,33,20,9,7,1,Pend Oreille
1939,0,-19,8,20,25,31,34,34,27,25,21,12,-19,Pend Oreille
1940,-2,9,12,25,19,26,30,32,39,30,3,-1,M,Pend Oreille
1941,9,12,13,19,28,M,40,37,28,18,19,-3,M,Pend Oreille
1942,-14,-9,14,19,23,31,36,30,27,19,11,-1,-14,Pend Oreille
1943,-23,2,-6,21,25,29,32,32,24,21,21,5,-23,Pend Oreille
1944,1,2,5,22,23,35,32,M,27,26,17,-5,M,Pend Oreille
1945,5,8,-12,15,27,30,32,27,26,17,-3,0,-12,Pend Oreille
1946,-5,-3,20,20,24,31,33,30,21,12,11,-8,M,Pend Oreille
1947,-9,5,12,22,28,31,32,30,28,30,13,12,-9,Pend Oreille
1948,-1,-4,0,21,30,38,M,34,29,16,9,-18,M,Pend Oreille
1949,-27,-16,5,21,23,30,33,M,24,14,25,-5,M,Pend Oreille
1950,-41,-39,-4,17,26,28,35,32,25,21,12,6,-41,Pend Oreille
1951,-19,-5,-2,15,24,26,35,36,30,22,14,-13,-19,Pend Oreille
1952,-21,-5,10,16,22,26,31,29,27,18,8,0,-21,Pend Oreille
1953,15,7,15,18,22,32,31,32,24,21,15,18,7,Pend Oreille
1954,-27,8,7,19,17,29,34,30,28,20,18,8,-27,Pend Oreille
1955,3,0,-14,20,M,33,37,32,26,21,-14,M,M,Pend Oreille
1956,-15,-20,-6,16,26,29,37,35,25,25,9,-5,-20,Pend Oreille
1957,-31,-19,17,26,38,36,36,31,28,23,7,M,M,Pend Oreille
1958,5,20,15,25,30,37,36,38,25,22,3,11,3,Pend Oreille
1959,-15,8,M,19,25,33,34,28,28,25,-10,12,M,Pend Oreille
1960,-11,-10,-8,24,29,30,34,32,26,23,15,8,-11,Pend Oreille
1961,5,19,6,18,30,32,33,38,22,22,3,-15,-15,Pend Oreille
1962,-26,-10,6,24,25,31,32,34,24,29,22,7,-26,Pend Oreille
1963,-12,-5,15,21,26,37,33,37,34,22,17,-6,-12,Pend Oreille
1964,0,7,5,18,24,31,38,36,28,22,18,-27,-27,Pend Oreille
1965,5,2,1,21,22,32,36,33,24,23,17,8,1,Pend Oreille
1966,-6,2,0,13,27,33,37,34,29,19,15,17,-6,Pend Oreille
1967,7,13,16,20,27,37,38,36,27,23,10,-2,-2,Pend Oreille
1968,-4,8,21,18,27,33,37,36,34,24,18,-37,-37,Pend Oreille
1969,-12,8,7,27,29,35,35,31,27,19,15,20,-12,Pend Oreille
1970,-8,14,6,20,27,37,38,35,21,18,0,-11,-11,Pend Oreille
1971,-8,2,2,20,31,34,34,37,24,7,11,-2,M,Pend Oreille
1972,-20,-19,16,14,23,34,37,34,25,22,16,-19,-20,Pend Oreille
1973,-14,3,17,17,23,32,36,30,26,26,14,5,-14,Pend Oreille
1974,-15,12,11,26,26,33,37,39,23,9,20,M,M,Pend Oreille
1975,-20,-9,M,15,26,M,41,35,25,M,-2,0,M,Pend Oreille
1976,8,2,M,20,27,31,29,28,27,M,M,M,M,Pend Oreille
1977,-8,15,19,20,27,36,34,39,29,21,-1,-12,-12,Pend Oreille
1978,-15,12,6,24,27,35,36,39,30,12,7,-33,M,Pend Oreille
1979,-30,-16,M,M,M,29,35,38,30,21,2,10,M,Pend Oreille
1980,-22,9,6,19,33,35,40,34,32,25,19,6,-22,Pend Oreille
1981,15,-9,20,22,30,37,41,34,32,21,13,8,-9,Pend Oreille
1982,-19,-11,18,18,25,34,38,37,29,22,6,1,M,Pend Oreille
1983,5,13,16,18,26,35,39,40,23,23,14,-22,M,Pend Oreille
1984,-9,M,18,21,28,32,30,33,23,10,16,-9,M,Pend Oreille
1985,-8,-15,10,24,27,33,41,37,20,18,-13,-13,M,Pend Oreille
1986,10,M,24,22,25,38,36,37,25,22,M,4,M,Pend Oreille
1987,-5,7,13,24,30,32,45,37,30,20,22,1,-5,Pend Oreille
1988,-1,-5,18,21,27,37,39,35,M,17,15,-5,M,Pend Oreille
1989,10,-15,-8,24,28,38,39,40,30,22,M,M,M,Pend Oreille
1990,M,-3,15,30,29,34,46,42,35,20,20,-23,M,Pend Oreille
1991,1,26,20,28,33,31,43,38,28,10,6,14,M,Pend Oreille
1992,15,20,19,16,23,38,38,33,26,22,15,-1,-1,Pend Oreille
1993,-14,-9,9,26,34,35,44,37,32,27,0,17,M,Pend Oreille
1994,20,-5,17,27,28,31,40,36,27,27,6,5,M,Pend Oreille
1995,M,-2,10,26,22,38,M,M,M,M,13,M,M,Pend Oreille
1996,M,M,M,M,M,M,M,M,M,24,M,M,M,Pend Oreille
1997,M,M,10,17,M,38,M,M,M,29,M,8,M,Pend Oreille
1998,M,M,M,M,M,M,M,M,31,M,M,M,M,Pend Oreille
1999,M,M,M,M,M,M,M,M,20,16,17,13,M,Pend Oreille
2000,4,11,20,20,26,32,33,31,18,19,5,M,M,Pend Oreille
2001,12,-1,7,19,M,M,36,29,27,19,19,M,M,Pend Oreille
2002,4,0,6,16,21,30,40,38,27,2,M,20,M,Pend Oreille
2003,8,8,19,28,29,38,34,38,31,11,4,M,M,Pend Oreille
2004,M,9,19,22,30,35,42,46,32,22,19,15,M,Pend Oreille
2005,-16,9,19,23,27,40,43,32,24,31,M,-3,M,Pend Oreille
2006,21,-1,11,25,25,42,38,38,M,12,7,8,M,Pend Oreille
2007,M,9,9,22,28,35,39,36,30,18,5,5,M,Pend Oreille
2008,-10,9,14,17,23,36,M,35,32,17,20,-12,M,Pend Oreille
2009,M,6,-9,22,27,29,M,M,M,M,M,M,M,Pend Oreille
2010,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2011,-7,-15,20,21,30,36,37,38,31,25,11,12,-15,Pend Oreille
2012,8,13,15,25,25,M,M,36,28,21,20,13,M,Pend Oreille
2013,8,19,16,19,22,37,41,42,31,19,9,-10,-10,Pend Oreille
2014,4,M,9,24,28,38,43,44,28,26,2,-5,M,Pend Oreille
2015,-1,13,8,24,30,36,42,36,27,27,6,14,-1,Pend Oreille
2016,-5,15,21,29,34,34,42,41,28,27,27,-10,-10,Pend Oreille
2017,-13,-4,M,22,30,36,41,M,29,24,M,M,M,Pend Oreille
2018,M,-10,M,26,M,35,43,41,31,24,19,M,M,Pend Oreille
2019,10,M,-8,23,29,M,39,40,29,7,8,9,M,Pend Oreille
2020,10,5,M,18,33,M,40,38,32,7,20,M,M,Pend Oreille
2021,M,M,M,M,28,M,M,M,M,M,M,M,M,Pend Oreille
2022,M,M,M,M,M,M,48,M,M,M,M,M,M,Pend Oreille
