Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1896,M,M,M,M,M,M,M,M,31,30,5,28,M,Skagit
1897,18,27,11,32,36,43,38,40,36,33,23,25,11,Skagit
1898,25,29,23,31,34,39,40,41,39,32,28,18,M,Skagit
1899,9,9,29,33,36,38,M,M,36,M,40,29,M,Skagit
1900,25,17,M,27,M,34,40,37,31,30,9,18,M,Skagit
1901,15,18,27,25,29,34,31,40,29,33,31,18,M,Skagit
1902,M,25,28,30,36,35,37,M,33,32,29,25,M,Skagit
1903,27,21,21,28,34,35,38,44,37,33,26,26,21,Skagit
1904,16,17,26,33,30,M,45,40,35,34,32,28,M,Skagit
1905,19,16,31,31,34,M,42,39,38,26,25,30,M,Skagit
1906,25,26,17,31,25,39,44,38,39,31,25,25,17,Skagit
1907,8,23,26,30,33,M,42,40,38,35,28,M,M,Skagit
1908,17,15,24,30,35,M,38,38,28,31,25,17,M,Skagit
1909,4,24,M,30,29,34,33,34,35,31,20,M,M,Skagit
1910,M,15,30,31,34,36,37,34,33,29,24,27,M,Skagit
1911,-1,14,27,26,34,32,41,41,33,28,8,29,M,Skagit
1912,13,25,20,30,34,34,42,40,28,29,27,23,13,Skagit
1913,13,21,19,28,33,36,40,42,38,28,27,22,13,Skagit
1914,21,13,27,32,32,37,38,40,40,35,28,13,M,Skagit
1915,13,29,28,30,35,39,41,M,34,35,28,21,M,Skagit
1916,9,23,28,32,32,37,39,38,38,27,19,18,9,Skagit
1917,10,17,18,31,34,39,38,40,34,28,30,22,10,Skagit
1918,19,22,22,26,33,36,39,41,38,34,26,18,18,Skagit
1919,19,20,28,27,31,37,38,40,29,24,22,4,4,Skagit
1920,19,24,23,28,29,35,41,41,39,27,22,27,19,Skagit
1921,23,22,25,29,32,39,37,41,34,29,24,14,14,Skagit
1922,10,18,27,30,29,36,40,40,40,32,24,M,M,Skagit
1923,15,8,23,32,35,38,43,42,38,28,28,11,8,Skagit
1924,11,32,28,29,36,38,40,38,36,31,24,7,7,Skagit
1925,25,29,28,32,34,40,42,41,34,30,26,24,24,Skagit
1926,20,28,27,30,36,38,40,39,30,30,27,15,15,Skagit
1927,13,24,29,26,34,39,43,40,38,29,26,11,11,Skagit
1928,21,26,26,31,34,41,41,41,35,32,27,20,20,Skagit
1929,4,5,30,M,35,40,40,42,34,31,21,24,M,Skagit
1930,6,26,M,31,31,40,40,43,35,27,M,22,M,Skagit
1931,29,26,25,30,35,40,42,40,36,32,20,25,20,Skagit
1932,16,12,27,31,33,37,39,43,36,32,29,8,8,Skagit
1933,24,8,28,28,37,34,41,M,38,32,28,24,M,Skagit
1934,30,28,30,33,39,40,42,43,34,34,37,28,28,Skagit
1935,5,25,M,27,35,39,41,39,37,20,16,23,M,Skagit
1936,20,5,23,27,38,45,44,43,38,34,19,24,5,Skagit
1937,3,18,31,36,36,40,43,41,37,35,26,23,3,Skagit
1938,25,22,28,30,32,40,41,41,42,29,24,21,21,Skagit
1939,28,16,26,31,34,38,42,42,38,24,35,26,16,Skagit
1940,25,30,30,35,36,39,41,43,39,32,23,17,17,Skagit
1941,29,25,29,33,38,42,42,47,39,33,27,18,18,Skagit
1942,14,25,29,32,34,41,49,44,38,31,28,26,14,Skagit
1943,6,26,24,31,34,38,41,43,38,32,25,20,M,Skagit
1944,24,26,25,30,34,45,47,49,36,36,23,14,14,Skagit
1945,22,25,23,27,35,36,41,36,36,32,16,16,16,Skagit
1946,27,28,27,31,35,42,43,41,36,28,22,17,17,Skagit
1947,0,25,25,30,34,41,40,39,33,31,25,24,0,Skagit
1948,24,20,26,30,31,44,40,44,31,30,24,16,16,Skagit
1949,8,15,27,31,34,38,37,42,39,25,30,10,8,Skagit
1950,0,-1,27,30,32,35,42,41,33,32,25,24,-1,Skagit
1951,10,23,21,27,30,38,38,41,38,26,23,4,4,Skagit
1952,8,24,28,26,30,38,39,40,39,30,17,25,8,Skagit
1953,24,26,22,27,34,41,44,44,40,30,34,30,22,Skagit
1954,3,24,24,25,29,36,40,41,34,27,30,23,3,Skagit
1955,21,22,8,29,32,40,43,39,36,37,3,19,M,Skagit
1956,13,4,24,30,34,42,41,43,34,28,21,14,4,Skagit
1957,-2,17,30,31,38,41,40,39,35,28,24,27,-2,Skagit
1958,27,28,27,33,32,46,45,43,38,32,20,26,20,Skagit
1959,10,24,30,31,34,42,43,42,37,29,20,24,10,Skagit
1960,18,20,24,30,35,38,42,42,35,30,29,22,18,Skagit
1961,23,31,24,31,38,41,45,44,33,29,22,20,20,Skagit
1962,9,14,26,31,32,37,40,44,39,32,31,18,9,Skagit
1963,9,23,26,29,35,42,45,45,42,33,22,21,9,Skagit
1964,32,26,28,29,32,39,44,43,38,31,M,M,M,Skagit
1965,25,28,23,30,32,40,42,44,35,36,32,22,M,Skagit
1966,25,27,28,32,34,M,42,40,41,30,28,30,M,Skagit
1967,26,26,28,30,37,42,43,43,41,39,28,23,23,Skagit
1968,19,24,27,31,37,39,46,43,37,35,31,1,M,Skagit
1969,10,24,26,31,34,47,42,40,40,29,25,26,M,Skagit
1970,25,28,23,32,35,40,43,42,35,28,23,24,M,Skagit
1971,18,18,19,32,37,40,39,45,35,25,30,13,M,Skagit
1972,13,11,30,31,37,40,43,44,30,31,27,8,8,Skagit
1973,11,25,29,30,36,40,41,39,40,36,23,30,M,Skagit
1974,16,28,26,35,36,40,44,44,41,32,31,29,16,Skagit
1975,20,25,26,29,34,39,42,43,40,30,20,25,M,Skagit
1976,28,M,19,30,35,37,42,46,45,31,22,25,M,Skagit
1977,20,28,26,33,34,42,43,43,40,34,20,23,M,Skagit
1978,15,30,25,33,34,45,48,48,42,33,19,10,10,Skagit
1979,10,17,30,35,39,40,45,45,43,37,23,30,M,Skagit
1980,14,20,32,35,37,45,45,43,42,34,30,16,14,Skagit
1981,28,22,33,33,35,45,48,45,42,31,29,29,22,Skagit
1982,10,21,29,31,38,42,M,45,40,33,25,23,M,Skagit
1983,22,27,34,32,37,45,45,47,36,35,32,9,9,Skagit
1984,21,30,32,35,40,42,44,46,38,30,24,17,M,Skagit
1985,14,19,28,32,37,42,45,42,36,31,9,12,M,Skagit
1986,32,18,35,31,37,44,45,44,42,35,30,25,18,Skagit
1987,26,29,33,38,38,42,46,42,41,30,29,20,M,Skagit
1988,20,22,30,34,37,39,42,44,40,32,32,26,M,Skagit
1989,27,11,21,35,38,44,45,46,40,34,31,28,M,Skagit
1990,29,15,30,35,41,46,49,45,42,39,32,8,M,Skagit
1991,21,30,28,33,40,42,47,45,42,25,29,25,M,Skagit
1992,24,28,32,32,37,44,47,45,40,33,32,19,M,Skagit
1993,10,17,29,37,45,46,46,45,38,37,14,24,M,Skagit
1994,29,23,29,41,37,43,46,46,M,37,28,21,M,Skagit
1995,19,22,28,35,40,45,M,M,44,29,27,25,M,Skagit
1996,15,16,28,37,M,41,46,48,42,32,22,18,M,Skagit
1997,20,25,32,31,40,45,48,50,46,33,31,27,M,Skagit
1998,M,28,29,33,M,42,42,43,38,29,27,9,M,Skagit
1999,M,29,26,M,30,39,44,M,36,30,31,21,M,Skagit
2000,21,M,26,37,37,45,42,45,41,36,24,22,M,Skagit
2001,25,26,31,32,36,42,45,47,44,33,33,27,25,Skagit
2002,24,28,24,34,32,45,44,M,41,29,25,28,M,Skagit
2003,28,M,29,35,38,45,44,43,42,30,22,26,M,Skagit
2004,13,29,32,M,42,44,41,46,38,33,26,29,M,Skagit
2005,19,26,33,34,41,46,48,48,38,40,30,19,M,Skagit
