Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,M,37,37,34,30,15,27,2,M,Stevens
1900,-1,-22,16,22,30,33,36,34,28,24,-4,-7,-22,Stevens
1901,-12,-9,18,30,33,33,36,M,M,21,24,2,M,Stevens
1902,-22,-13,15,M,M,M,M,M,M,M,M,M,M,Stevens
1903,M,M,M,M,27,37,36,36,26,23,-4,13,M,Stevens
1904,-1,1,3,19,25,29,35,30,M,21,22,7,M,Stevens
1905,-7,M,24,18,22,31,35,32,32,11,0,13,M,Stevens
1906,M,7,0,M,21,32,M,30,21,6,3,2,M,Stevens
1907,-22,-6,10,13,23,31,34,30,31,24,10,-1,M,Stevens
1908,-16,-18,M,16,28,M,31,31,17,18,1,-5,M,Stevens
1909,M,-3,M,15,21,30,30,M,M,14,7,-3,M,Stevens
1910,-12,-10,19,23,27,31,M,33,M,M,M,1,M,Stevens
1911,-3,3,11,22,33,33,42,40,31,20,6,-6,-6,Stevens
1912,-14,10,11,28,35,35,45,40,30,21,19,9,-14,Stevens
1913,-6,-7,7,22,29,40,43,40,34,23,23,17,M,Stevens
1914,7,-5,21,29,34,38,M,M,M,M,M,M,M,Stevens
1915,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1916,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1918,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1919,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1920,2,13,15,21,31,35,45,41,35,25,16,9,2,Stevens
1921,1,5,9,23,32,41,42,42,31,25,-1,2,-1,Stevens
1922,-9,-9,6,27,29,42,47,M,M,M,M,M,M,Stevens
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1927,M,M,M,M,M,M,M,M,M,23,22,-15,M,Stevens
1928,0,6,13,24,29,41,49,41,32,24,17,5,0,Stevens
1929,-11,-10,25,22,32,40,43,41,32,23,7,18,-11,Stevens
1930,-15,-1,4,23,32,37,41,42,29,22,21,11,-15,Stevens
1931,22,9,20,23,30,40,44,41,30,26,5,4,4,Stevens
1932,-6,-12,9,28,30,38,40,40,31,21,22,-3,-12,Stevens
1933,0,-21,12,23,32,32,40,40,28,24,20,9,-21,Stevens
1934,M,18,21,27,33,38,41,42,30,31,31,9,M,Stevens
1935,-18,10,19,18,30,39,41,40,33,8,6,22,-18,Stevens
1936,1,-18,15,12,36,42,46,44,21,23,11,16,-18,Stevens
1937,-19,-12,21,29,30,39,40,37,33,32,26,9,-19,Stevens
1938,9,11,21,24,31,39,46,41,43,28,13,2,2,Stevens
1939,9,-11,8,28,33,35,42,41,35,28,25,11,-11,Stevens
1940,7,14,24,30,36,44,46,41,41,33,8,6,6,Stevens
1941,14,12,19,29,31,39,48,44,34,28,21,11,11,Stevens
1942,-1,15,18,29,31,40,47,41,35,25,18,12,-1,Stevens
1943,-17,10,4,28,30,35,40,44,34,24,24,7,-17,Stevens
1944,4,10,12,28,31,40,43,41,32,34,21,3,3,Stevens
1945,9,M,M,M,M,38,43,36,30,22,5,4,M,Stevens
1946,0,1,22,25,29,39,42,38,28,19,4,M,M,Stevens
1947,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1948,M,M,M,M,M,47,41,40,28,M,14,-8,M,Stevens
1949,-13,-9,16,25,29,35,41,41,29,18,25,-2,-13,Stevens
1950,-27,-27,5,23,28,35,45,43,28,29,16,6,-27,Stevens
1951,-10,1,4,17,32,33,40,42,32,18,11,-11,-11,Stevens
1952,-15,4,12,19,28,33,34,36,32,24,6,17,-15,Stevens
1953,23,12,18,22,29,38,41,41,31,27,21,17,12,Stevens
1954,-10,16,15,22,22,35,41,40,33,25,19,13,-10,Stevens
1955,8,-2,-11,24,29,39,43,37,33,25,-3,-8,M,Stevens
1956,-8,-8,7,M,M,31,41,39,30,28,9,4,M,Stevens
1957,-23,-10,19,27,41,38,39,33,25,M,M,M,M,Stevens
1958,M,M,M,M,M,42,41,38,28,26,0,M,M,Stevens
1959,M,6,20,23,M,40,39,36,34,28,-3,M,M,Stevens
1960,-4,0,-5,27,31,36,40,35,29,26,19,9,M,Stevens
1961,10,26,11,24,36,40,42,45,29,M,6,-7,M,Stevens
1962,-17,M,13,25,27,36,39,M,M,27,26,M,M,Stevens
1963,-6,-1,21,25,29,43,42,42,37,25,M,M,M,Stevens
1964,M,8,M,M,28,36,43,39,30,22,19,-18,M,Stevens
1965,10,8,7,27,27,38,44,37,28,30,16,9,7,Stevens
1966,1,10,12,20,31,36,45,42,35,28,17,12,1,Stevens
1967,7,14,17,25,32,38,43,42,37,27,14,2,2,Stevens
1968,-1,13,25,20,32,39,45,46,35,29,20,-28,-28,Stevens
1969,-15,3,15,30,33,39,43,38,34,23,20,18,-15,Stevens
1970,3,16,10,23,30,40,42,42,25,22,3,-2,-2,Stevens
1971,-1,7,7,25,35,40,37,45,32,18,16,1,-1,Stevens
1972,-4,-4,18,21,27,40,41,40,29,23,16,-8,-8,Stevens
1973,-6,9,23,24,30,33,43,36,30,29,20,9,-6,Stevens
1974,-8,22,16,28,31,40,43,43,32,22,22,12,-8,Stevens
1975,-9,-2,15,20,32,36,47,40,33,25,0,10,-9,Stevens
1976,14,2,3,29,33,34,41,44,35,27,15,15,2,Stevens
1977,0,17,20,23,29,39,42,42,37,25,-2,0,-2,Stevens
1978,-7,17,10,28,32,40,45,43,33,24,11,-18,-18,Stevens
1979,-16,-3,20,19,32,34,39,45,37,28,11,18,-16,Stevens
1980,-10,13,14,M,M,M,M,M,33,28,16,0,M,Stevens
1981,15,6,20,22,29,31,30,35,30,21,14,M,M,Stevens
1982,-15,-6,13,17,20,27,40,40,30,19,7,0,-15,Stevens
1983,5,24,20,22,25,26,40,41,24,20,M,-12,M,Stevens
1984,-1,20,20,24,30,36,42,39,27,12,18,M,M,Stevens
1985,0,-5,M,M,30,40,47,41,28,23,-11,-8,M,Stevens
1986,13,2,26,22,30,42,44,41,34,30,9,10,M,Stevens
1987,9,15,21,28,33,36,48,43,37,27,26,11,M,Stevens
1988,-1,-1,23,25,30,37,41,43,35,24,20,11,M,Stevens
1989,5,-6,3,29,33,44,43,46,37,26,24,18,M,Stevens
1990,17,1,20,30,31,38,46,42,38,25,20,-17,-17,Stevens
1991,-1,23,19,28,31,36,44,42,32,16,11,14,-1,Stevens
1992,18,25,24,24,31,38,47,38,32,26,16,5,5,Stevens
1993,-9,1,16,28,35,40,45,41,35,27,-4,13,M,Stevens
1994,15,1,16,30,35,38,44,M,38,24,8,0,M,Stevens
1995,3,3,13,26,33,38,44,42,31,18,16,-2,M,Stevens
1996,-16,-11,14,24,29,36,42,39,30,24,6,-7,M,Stevens
1997,-2,9,13,20,33,42,46,45,41,25,18,9,-2,Stevens
1998,-6,22,21,25,35,43,47,42,39,27,25,-3,M,Stevens
1999,9,19,21,20,28,37,42,44,26,23,22,18,9,Stevens
2000,7,13,24,23,31,35,43,37,25,22,11,-1,-1,Stevens
2001,9,1,16,24,27,30,44,43,33,27,26,12,M,Stevens
2002,7,10,13,22,28,34,40,40,32,9,10,18,M,Stevens
2003,11,11,17,26,30,39,41,43,35,14,9,2,2,Stevens
2004,-18,17,20,27,33,36,42,50,37,26,20,15,M,Stevens
2005,-13,13,22,25,33,41,45,41,29,31,17,0,M,Stevens
2006,23,0,18,25,26,45,43,40,32,14,-12,6,-12,Stevens
2007,-5,12,13,22,32,M,M,44,37,29,M,18,M,Stevens
2008,M,21,M,M,M,M,M,42,M,23,26,10,M,Stevens
2009,10,22,15,29,34,40,44,46,38,13,29,11,M,Stevens
2010,M,26,26,28,M,M,M,M,M,M,M,M,M,Stevens
2011,M,M,M,M,M,M,40,44,M,M,8,13,M,Stevens
2012,8,11,19,26,27,37,41,M,34,26,18,16,M,Stevens
2013,5,21,20,24,24,41,46,47,36,25,13,-4,-4,Stevens
