Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1957,M,M,M,M,48,50,47,48,32,31,22,18,M,Walla Walla
1958,17,26,21,33,40,50,50,54,36,21,9,20,9,Walla Walla
1959,3,19,25,26,34,43,46,48,37,30,6,16,3,Walla Walla
1960,6,8,13,29,37,41,50,45,36,32,23,16,6,Walla Walla
1961,17,34,26,28,40,46,48,52,36,25,12,6,M,Walla Walla
1962,3,9,20,32,37,41,45,49,38,39,25,15,M,Walla Walla
1963,1,11,25,31,40,38,50,53,43,31,21,14,1,Walla Walla
1964,22,M,19,28,36,45,50,38,38,26,24,-5,M,Walla Walla
1965,14,25,18,34,34,45,53,45,33,35,30,13,13,Walla Walla
1966,20,22,19,24,36,42,53,50,43,36,25,25,19,Walla Walla
1967,27,25,22,33,39,47,53,51,46,32,19,8,8,Walla Walla
1968,15,17,27,30,39,44,51,52,41,33,27,-14,-14,Walla Walla
1969,-7,-4,22,33,38,50,51,48,43,24,25,25,-7,Walla Walla
1970,17,26,25,30,39,45,51,51,37,26,13,15,13,Walla Walla
1971,11,18,21,32,36,46,46,49,36,20,18,10,10,Walla Walla
1972,-4,0,27,25,36,46,51,M,33,26,27,-5,M,Walla Walla
1973,-1,19,31,26,35,45,49,49,40,36,26,19,-1,Walla Walla
1974,-5,27,25,31,37,45,50,54,40,31,33,25,M,Walla Walla
1975,18,17,21,29,37,44,56,49,38,35,20,20,M,Walla Walla
1976,19,13,14,29,39,41,47,47,39,25,13,15,M,Walla Walla
1977,8,25,30,33,37,42,48,51,42,29,10,14,8,Walla Walla
1978,-7,20,20,33,37,46,51,50,36,25,10,-2,M,Walla Walla
1979,M,-7,24,28,M,44,M,55,44,38,23,23,M,Walla Walla
1980,M,M,25,29,40,45,52,48,40,27,31,11,M,Walla Walla
1981,24,14,24,32,35,45,47,50,42,26,22,17,M,Walla Walla
1982,M,13,M,30,35,46,49,55,40,26,21,17,M,Walla Walla
1983,23,25,31,30,M,48,47,56,29,31,21,-10,M,Walla Walla
1984,8,25,22,33,M,40,49,48,32,25,24,-2,M,Walla Walla
1985,10,-3,24,31,36,45,52,M,27,24,M,-5,M,Walla Walla
1986,18,19,30,22,37,49,44,48,40,25,18,20,M,Walla Walla
1987,9,19,21,36,41,44,53,51,39,30,22,11,M,Walla Walla
1988,14,11,24,31,38,47,48,50,37,26,26,12,M,Walla Walla
1989,16,-7,15,31,39,49,52,53,M,29,25,21,M,Walla Walla
1990,25,5,M,M,39,45,49,53,47,34,27,-10,M,Walla Walla
1991,11,26,26,32,39,40,50,53,M,22,25,22,M,Walla Walla
1992,24,25,M,34,34,48,55,46,38,29,23,17,M,Walla Walla
1993,M,7,M,33,42,M,52,46,38,32,8,23,M,Walla Walla
1994,24,4,21,36,M,46,53,56,45,33,21,14,M,Walla Walla
1995,M,11,17,31,39,46,54,50,39,29,19,18,M,Walla Walla
1996,-8,M,19,34,33,43,50,49,31,28,24,-1,M,Walla Walla
1997,9,21,29,25,35,48,52,52,42,30,29,22,M,Walla Walla
1998,9,29,28,33,42,49,56,50,46,28,33,1,M,Walla Walla
1999,22,27,25,26,35,45,49,42,36,26,28,25,M,Walla Walla
2000,22,21,30,29,35,43,45,46,31,29,18,15,M,Walla Walla
2001,24,19,23,30,37,44,53,52,39,33,26,M,M,Walla Walla
2002,M,18,22,31,M,41,48,47,40,19,14,26,M,Walla Walla
2003,29,16,31,34,36,48,52,51,44,26,13,14,M,Walla Walla
2004,-6,28,M,30,44,47,51,54,44,36,24,22,M,Walla Walla
2005,9,M,28,M,38,48,53,51,39,M,26,M,M,Walla Walla
2006,M,6,23,33,34,50,51,53,42,17,15,15,M,Walla Walla
2007,8,18,29,30,40,46,53,51,42,25,23,23,M,Walla Walla
2008,5,25,29,26,M,45,47,47,39,28,24,-1,M,Walla Walla
2009,10,21,17,29,35,49,M,50,40,22,28,-1,M,Walla Walla
2010,21,19,24,25,36,48,M,46,44,34,6,13,M,Walla Walla
2011,10,7,28,29,M,45,49,52,38,30,24,15,M,Walla Walla
2012,11,24,25,30,34,46,49,44,M,30,M,M,M,Walla Walla
2013,16,M,23,M,M,M,M,52,43,M,11,5,M,Walla Walla
2014,17,M,24,M,37,48,54,52,35,39,9,8,M,Walla Walla
2015,14,20,23,M,M,47,54,53,36,37,16,19,M,Walla Walla
2016,8,22,27,38,41,44,54,51,40,30,27,1,M,Walla Walla
2017,-5,15,M,33,38,49,53,52,38,33,22,11,M,Walla Walla
2018,25,17,22,33,47,45,53,53,42,M,M,23,M,Walla Walla
2019,21,3,4,33,32,46,48,49,46,16,14,23,M,Walla Walla
2020,8,19,24,26,38,49,53,53,41,25,24,17,8,Walla Walla
2021,21,11,25,29,40,46,55,47,42,29,28,13,11,Walla Walla
2022,6,8,23,31,38,48,53,54,47,M,M,M,M,Walla Walla
