Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,M,M,M,M,M,M,M,22,20,M,M,Whatcom
1894,12,13,M,27,M,40,M,M,M,M,M,M,M,Whatcom
1895,16,M,18,M,M,32,35,M,25,M,19,M,M,Whatcom
1896,M,M,M,M,M,M,M,38,26,M,M,M,M,Whatcom
1897,M,M,M,M,M,M,M,M,M,M,M,12,M,Whatcom
1898,8,22,13,M,M,M,34,M,31,22,M,7,M,Whatcom
1899,M,M,M,M,21,M,M,M,M,M,M,M,M,Whatcom
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1902,M,M,M,M,M,M,M,M,M,32,28,23,M,Whatcom
1903,26,20,21,27,35,42,43,42,36,30,24,27,20,Whatcom
1904,19,9,26,31,34,38,43,41,32,33,32,26,M,Whatcom
1905,20,14,30,30,33,40,45,39,42,25,22,29,14,Whatcom
1906,25,28,18,31,36,42,47,44,M,M,24,M,M,Whatcom
1907,M,M,M,M,M,M,M,M,31,32,M,22,M,Whatcom
1908,20,14,23,29,36,42,39,42,25,33,25,21,14,Whatcom
1909,1,22,28,28,31,37,39,38,33,29,20,18,1,Whatcom
1910,12,13,30,30,35,38,38,33,31,30,26,27,12,Whatcom
1911,-1,15,25,26,35,34,40,40,31,27,5,12,-1,Whatcom
1912,9,25,21,27,31,35,42,40,38,31,30,27,9,Whatcom
1913,9,M,20,26,32,38,40,41,35,28,24,24,M,Whatcom
1914,24,18,26,29,33,36,37,40,38,34,26,15,15,Whatcom
1915,18,28,29,31,33,39,40,44,35,32,23,20,18,Whatcom
1916,3,18,26,32,32,37,M,M,M,M,M,M,M,Whatcom
1917,M,M,M,M,M,M,M,M,41,M,32,19,M,Whatcom
1918,14,18,22,27,35,38,43,44,40,36,30,19,14,Whatcom
1919,20,20,23,31,33,41,42,40,32,25,23,7,7,Whatcom
1920,18,24,24,28,33,40,45,41,41,30,28,28,18,Whatcom
1921,22,21,26,25,34,41,43,41,36,30,21,12,12,Whatcom
1922,14,15,27,29,31,42,45,41,37,38,21,0,0,Whatcom
1923,8,7,20,31,37,39,45,43,35,M,M,M,M,Whatcom
1924,7,29,26,M,M,M,M,M,M,M,M,M,M,Whatcom
1925,M,27,26,31,M,M,44,M,33,29,24,24,M,Whatcom
1926,23,26,26,29,34,38,37,39,26,27,26,12,12,Whatcom
1927,12,23,27,24,33,40,43,40,40,31,24,10,M,Whatcom
1928,19,25,23,27,37,41,44,40,31,30,27,18,M,Whatcom
1929,6,6,26,25,32,38,39,41,31,31,21,15,6,Whatcom
1930,5,24,25,30,31,37,40,41,32,26,21,22,5,Whatcom
1931,27,26,25,31,36,39,43,41,34,32,19,19,19,Whatcom
1932,13,13,26,31,34,37,40,45,36,31,28,10,10,Whatcom
1933,23,9,21,28,31,34,40,40,31,31,25,22,M,Whatcom
1934,23,23,M,30,34,M,42,42,32,30,33,24,M,Whatcom
1935,3,22,26,26,34,35,42,39,35,20,17,24,M,Whatcom
1936,18,-9,24,21,38,44,43,39,39,32,20,27,-9,Whatcom
1937,-1,18,29,32,32,40,44,39,38,32,25,17,M,Whatcom
1938,22,22,26,26,33,39,42,42,42,M,23,19,M,Whatcom
1939,28,11,23,29,33,34,40,M,36,M,32,24,M,Whatcom
1940,20,26,31,34,35,43,42,45,39,34,21,19,19,Whatcom
1941,25,26,30,32,36,42,46,46,39,35,28,16,16,Whatcom
1942,12,24,27,31,37,42,48,40,37,M,M,24,M,Whatcom
1943,1,27,24,32,33,39,46,44,39,28,29,19,1,Whatcom
1944,24,24,26,30,33,39,45,43,36,36,26,14,14,Whatcom
1945,M,24,24,28,38,39,41,42,34,31,19,18,M,Whatcom
1946,25,31,27,33,34,40,44,42,35,26,22,17,17,Whatcom
1947,11,17,25,29,33,43,42,38,33,28,25,22,11,Whatcom
1948,19,14,24,28,33,42,45,46,30,30,24,12,12,Whatcom
1949,11,13,26,32,32,40,37,42,33,24,31,15,11,Whatcom
1950,-1,-1,25,29,30,38,42,42,30,31,25,27,-1,Whatcom
1951,9,19,11,22,32,40,42,43,39,28,23,6,6,Whatcom
1952,5,24,26,27,33,39,42,42,38,31,18,23,5,Whatcom
1953,25,25,25,29,36,40,45,45,38,31,30,31,25,Whatcom
1954,9,22,24,30,26,40,41,46,34,27,24,22,9,Whatcom
