Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1946,M,M,M,M,M,M,M,M,M,19,16,8,M,Yakima
1947,-4,8,21,30,34,40,45,38,34,31,23,18,-4,Yakima
1948,11,1,20,24,26,44,40,41,30,20,18,-2,-2,Yakima
1949,-11,-7,26,27,30,34,41,41,32,17,26,10,-11,Yakima
1950,-21,-25,22,23,30,39,45,45,31,23,17,16,-25,Yakima
1951,-7,14,4,21,29,38,43,41,29,18,17,2,-7,Yakima
1952,0,12,19,22,26,37,39,38,34,27,14,14,0,Yakima
1953,14,20,19,21,30,35,42,43,33,28,20,21,14,Yakima
1954,-19,16,14,23,25,33,35,41,31,22,19,11,-19,Yakima
1955,11,13,7,22,30,36,37,38,31,22,-3,1,-3,Yakima
1956,-15,-20,16,25,32,36,46,39,33,22,10,-2,-20,Yakima
1957,-19,3,23,30,39,40,42,38,34,27,16,18,-19,Yakima
1958,17,25,20,27,30,41,44,45,29,22,8,20,8,Yakima
1959,-6,13,20,24,27,34,41,40,34,25,5,14,-6,Yakima
1960,-6,7,-1,25,27,37,46,35,33,24,18,13,-6,Yakima
1961,15,22,19,25,29,40,43,43,30,21,9,12,9,Yakima
1962,1,8,14,28,28,33,36,44,34,30,16,14,1,Yakima
1963,-3,-2,20,24,31,38,39,41,38,21,18,4,-3,Yakima
1964,15,16,17,21,26,35,42,38,32,28,25,-17,-17,Yakima
1965,5,18,14,26,27,43,44,40,30,28,24,9,5,Yakima
1966,5,20,21,27,32,34,45,45,44,29,24,14,5,Yakima
1967,20,19,19,24,32,43,44,46,37,28,11,9,9,Yakima
1968,4,18,26,22,30,36,41,41,35,22,22,-10,-10,Yakima
1969,-10,-2,20,26,33,40,43,39,36,22,17,19,-10,Yakima
1970,2,24,23,24,27,39,44,45,28,23,16,6,2,Yakima
1971,7,15,13,23,34,37,34,39,28,11,15,2,2,Yakima
1972,-9,-10,20,21,29,40,38,44,26,16,22,-8,-10,Yakima
1973,0,20,23,23,30,36,39,39,33,29,18,1,0,Yakima
1974,-15,22,20,28,27,36,38,43,33,25,22,16,-15,Yakima
1975,7,10,19,21,26,33,47,40,35,25,17,13,7,Yakima
1976,17,10,15,26,29,30,39,39,35,23,8,9,8,Yakima
1977,3,19,22,25,29,35,38,42,34,26,6,3,3,Yakima
1978,-7,23,25,27,29,36,45,40,36,20,6,-9,-9,Yakima
1979,-10,-10,24,26,34,40,35,48,39,28,8,16,-10,Yakima
1980,-12,17,25,27,33,35,40,36,36,25,19,8,-12,Yakima
1981,23,5,24,22,32,35,39,44,30,25,20,6,5,Yakima
1982,-13,10,23,24,28,35,41,43,35,23,13,3,-13,Yakima
1983,10,20,28,26,34,39,41,47,29,27,21,-13,-13,Yakima
1984,3,25,24,27,29,30,41,40,32,17,12,-10,-10,Yakima
1985,9,-7,21,20,27,41,46,40,24,20,-13,-1,-13,Yakima
1986,9,8,24,24,30,36,38,44,31,26,13,11,8,Yakima
1987,5,17,19,25,29,32,40,40,33,21,16,5,5,Yakima
1988,9,7,20,23,26,35,36,41,30,21,19,-5,-5,Yakima
1989,15,-4,12,22,30,37,39,42,35,24,21,16,-4,Yakima
1990,18,6,20,29,30,37,39,44,38,23,16,-16,-16,Yakima
1991,2,22,19,23,30,35,43,39,33,16,20,12,2,Yakima
1992,19,20,25,24,30,40,46,37,33,23,16,1,1,Yakima
1993,-6,1,10,25,30,38,41,36,30,25,-5,18,-6,Yakima
1994,16,4,17,26,31,35,41,43,40,25,15,8,4,Yakima
1995,7,8,16,25,31,36,46,38,33,16,12,13,7,Yakima
1996,-17,-17,18,27,26,36,42,42,29,18,10,-7,-17,Yakima
1997,-4,10,24,22,30,37,42,45,39,25,20,14,-4,Yakima
1998,0,21,22,25,33,41,50,41,40,19,19,-3,-3,Yakima
1999,18,18,20,23,25,32,36,37,28,22,23,21,18,Yakima
2000,8,20,23,24,27,36,39,41,25,25,13,6,6,Yakima
2001,16,16,17,22,29,35,42,43,35,23,17,15,15,Yakima
2002,14,15,15,23,26,35,40,38,33,4,4,23,4,Yakima
2003,21,11,24,21,29,38,42,46,33,13,7,3,3,Yakima
2004,-14,17,26,27,34,34,44,46,32,24,11,14,-14,Yakima
2005,4,14,19,20,34,35,44,42,33,24,19,3,3,Yakima
2006,22,5,20,25,29,40,43,39,33,11,8,3,3,Yakima
2007,5,9,22,20,27,36,46,42,30,21,17,15,5,Yakima
2008,5,14,19,18,26,36,42,41,31,23,20,-4,-4,Yakima
2009,3,17,15,21,30,41,44,41,29,18,14,-4,-4,Yakima
2010,18,19,19,22,28,35,44,38,38,26,-10,7,-10,Yakima
2011,5,4,23,20,28,35,40,45,34,20,13,7,4,Yakima
2012,6,17,20,26,31,36,40,42,36,23,21,12,6,Yakima
2013,13,20,20,24,26,38,49,49,33,21,9,-2,-2,Yakima
2014,11,-4,21,27,36,41,44,49,37,33,8,7,-4,Yakima
2015,9,18,21,26,32,42,51,47,35,35,9,2,2,Yakima
2016,0,21,26,32,38,34,47,46,39,29,24,-4,-4,Yakima
2017,-4,5,26,26,34,39,48,45,36,23,25,12,-4,Yakima
2018,23,11,21,25,40,35,46,43,36,27,16,20,11,Yakima
2019,18,-8,4,28,28,33,47,47,32,12,5,15,-8,Yakima
2020,4,15,18,19,28,40,45,42,38,15,16,15,4,Yakima
2021,16,9,22,21,33,40,47,43,37,25,22,13,9,Yakima
2022,7,6,14,21,28,40,48,M,38,M,M,M,M,Yakima
