Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1907,M,M,M,M,M,M,M,M,M,M,M,22.58,M,Clallam
1908,21.95,21.05,24.9,9.9,6.08,M,M,M,2.73,12.2,M,M,M,Clallam
1909,M,6.68,M,M,M,M,M,M,M,M,M,13.18,M,Clallam
1910,M,12.04,8.85,6.85,3.05,2.51,0.38,M,3.1,15.49,28.5,M,M,Clallam
1911,M,M,M,M,M,M,M,0.56,5.98,4.57,M,9.19,M,Clallam
1912,M,M,M,M,M,M,M,M,3.12,10.58,M,M,M,Clallam
1913,15.14,6.21,7.17,4.72,5.77,M,3.1,M,7.78,12.78,21.2,8.27,M,Clallam
1914,27.97,6.95,8.72,8.73,2.87,5.12,0.54,0.49,5.63,9.37,21.6,4.33,102.32,Clallam
1915,8.55,9.85,7.95,8.18,7.76,1.92,2.19,0.17,1.75,20.94,11.77,27.88,108.91,Clallam
1916,15.37,14.1,22.61,10.64,5.07,1.95,3.7,0,1.6,8.94,13.38,12.75,110.11,Clallam
1917,12.4,11.76,14.62,12.12,2,3.53,0.83,1.15,3.93,5.79,8.98,31.34,108.45,Clallam
1918,19.74,16.57,27.27,4.28,3.31,2.47,1.13,6.54,0.01,14.9,14.05,24.47,134.74,Clallam
1919,19.33,13.67,17.94,10.57,8.43,3.25,0.58,0.24,3.54,4.16,22.11,M,M,Clallam
1920,M,M,M,5.66,5.6,5.99,0.3,4.28,17.94,14.79,12.54,23.73,M,Clallam
1921,29.7,16.96,6.92,10.31,4.53,8.4,0.38,3.73,11.88,25.87,20.59,M,M,Clallam
1922,9.02,10.38,8.55,8.34,5.49,0.55,0,2.59,8.08,8.69,5.56,14.53,81.78,Clallam
1923,3,9,9.7,4.35,6.75,1.23,2.23,0.82,2.8,5.7,12.6,29.5,87.68,Clallam
1924,18.47,M,4.09,6.44,1.36,2.31,0.96,1.69,7.55,23.78,13.31,18.56,M,Clallam
1925,27.65,M,8.07,6.29,4.54,3.32,2.58,2.52,2.09,4.75,10.9,20.59,M,Clallam
1926,11.57,14.5,5.25,5.15,8.13,0.75,0.48,4.63,2.76,14.13,15.03,17.4,99.78,Clallam
1927,16.7,M,M,M,M,M,M,M,M,17.93,M,M,M,Clallam
1928,M,6.65,M,M,3.66,1.34,1.05,M,M,M,M,M,M,Clallam
1929,M,M,M,M,4.42,6.63,M,M,0.73,M,3.94,M,M,Clallam
1930,M,23.03,6.51,M,5.09,M,0.22,M,M,11.67,M,M,M,Clallam
1931,23.55,10.94,16.21,13.17,2.76,9.52,0.27,0.86,10.47,8.3,M,M,M,Clallam
1932,16.4,M,16.53,13.05,1.95,2.77,8.05,2.11,M,10.51,21.63,20.63,M,Clallam
1933,25.59,15.99,17.61,2.27,8.51,2.67,1.81,0.8,12.33,12.78,8.3,32.28,140.94,Clallam
1934,20.2,8.74,M,M,8.51,1.43,5.78,M,5.11,13.67,M,20.66,M,Clallam
1935,40.89,12.31,17.84,5.12,0.91,4.31,M,1.25,M,6.46,6.87,13.22,M,Clallam
1936,18.2,9.62,12.31,M,6.78,7.16,4.75,3.26,3.1,3.2,2.91,19.49,M,Clallam
1937,4.2,18.1,7.02,17.24,6.94,6.91,0.31,4.43,3.25,14.8,21.21,17.44,M,Clallam
1938,9.42,10.51,15.78,6.59,3.3,0.98,0.84,1.02,4.07,13.59,M,20.34,M,Clallam
1939,19.75,11.38,7.68,5.23,5.65,2.9,M,0.94,3.93,9.76,17.79,28.05,M,Clallam
1940,M,19.93,M,5.73,6.71,0.46,M,1.11,3.31,17.71,9.45,19.14,M,Clallam
1941,15.88,10.28,5.31,M,12.86,M,0.43,3.56,7.98,14.32,M,14.21,M,Clallam
1942,8.51,M,M,M,2.97,7.03,3.76,0.2,M,10.08,M,M,M,Clallam
1943,6.37,7.93,13.15,11.53,M,M,M,3.43,2.68,11.14,5.47,14.24,M,Clallam
1944,19.62,9.04,9.11,8.69,3.3,M,0.33,0.74,M,8.4,20.06,M,M,Clallam
1945,19.37,14.85,M,M,6.13,0.82,M,0.54,7.09,10.24,20.15,15.35,M,Clallam
1946,16.46,14.63,17.63,13.27,0.95,7.53,3.03,1.06,3.44,7.7,14.58,17.06,M,Clallam
1947,19.85,11.88,5.44,9.08,2.62,6.78,5.36,0.61,2.41,20.56,7.16,22.82,M,Clallam
1948,12.72,18.06,10.18,11.29,11.82,1.53,2.53,5.54,9.61,7.69,26.83,19.58,137.38,Clallam
1949,2.31,18.55,9.7,8.11,3.77,2.51,2.87,3.62,M,9.39,22.63,27.55,M,Clallam
1950,12.94,25.85,17.52,14.01,3.96,1.49,2.33,5.19,2.08,19.62,11.81,22.28,139.08,Clallam
1951,21.44,22.64,9.61,2.2,3.09,0.31,0.41,0.43,6.17,13.93,17.5,11.45,109.18,Clallam
1952,18.02,9.14,11.66,5.27,3.34,4.67,0.83,3.06,1.99,3.57,6.53,22.67,90.75,Clallam
1953,41.7,11.61,15.28,5.1,7.82,2.86,2.18,3.63,7.58,12.98,18.82,22.77,152.33,Clallam
1954,23.09,21.58,7.09,9.06,1.92,4.77,2.88,4.69,3.25,10.22,31.06,17.95,137.56,Clallam
1955,9.4,7.93,14.66,13.69,3.55,2.87,4.01,0.58,2.95,13.35,24.3,14.83,112.12,Clallam
1956,18.15,13.49,22.23,1.54,1.4,8.33,1.29,1.18,9.39,18.69,6.22,22.58,124.49,Clallam
1957,9.72,13.77,14.04,5.96,2.44,4.59,5.19,2.99,3.18,7.51,6.33,22.21,97.93,Clallam
1958,M,16.83,5.83,9.43,1.83,1.56,0.01,2.04,M,14.69,16.34,17.82,M,Clallam
