"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1856","5.00","3.07","1.01","4.01","4.08","M","2.89","0.08","2.37","4.81","6.62","15.37","M"
"1857","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1858","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1859","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1860","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1861","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1862","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1863","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1864","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1865","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1866","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1867","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1868","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1869","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1870","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1871","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1872","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1873","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1874","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1875","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1876","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1877","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1878","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1879","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1880","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1881","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1882","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1883","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1884","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1885","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1886","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1887","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1888","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1889","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1890","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1891","M","M","M","M","M","M","M","1.30","M","M","M","M","M"
"1892","M","M","2.49","M","M","M","M","M","M","M","M","M","M"
"1893","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898","M","M","M","M","2.42","2.01","0.85","0.18","2.89","1.84","5.48","4.49","M"
"1899","6.46","4.39","2.46","3.75","4.00","1.20","0.10","3.03","1.83","5.05","9.07","5.86","47.20"
"1900","4.00","3.90","4.55","2.13","4.40","2.66","0.82","0.32","1.96","4.25","4.34","7.10","40.43"
"1901","6.66","6.70","4.71","3.36","2.29","1.89","0.18","0.18","3.07","1.10","6.74","3.68","40.56"
"1902","3.86","9.14","4.76","3.14","2.28","0.75","1.94","0.31","1.92","1.74","10.00","11.13","50.97"
"1903","5.29","1.84","4.07","2.40","1.71","2.06","0.37","0.56","1.58","2.26","9.34","2.77","34.25"
"1904","4.49","9.13","7.69","2.44","1.16","0.39","0.51","0.15","0.21","2.23","7.21","6.82","42.43"
"1905","4.46","1.95","4.05","1.54","3.36","2.40","0.24","0.18","2.53","4.15","2.97","5.47","33.30"
"1906","4.90","5.90","2.47","1.63","2.41","3.34","T","0.05","2.09","3.25","9.42","6.92","42.38"
"1907","6.55","4.67","2.67","2.81","1.56","1.80","0.99","1.38","2.17","0.68","5.77","8.81","39.86"
"1908","4.20","2.80","3.85","3.05","4.31","0.80","0.08","1.68","0.16","4.40","3.26","4.18","32.77"
"1909","9.33","6.26","2.10","0.87","1.91","0.14","2.41","0.07","1.41","2.43","12.79","4.52","44.24"
"1910","6.47","5.74","2.17","3.41","2.11","1.20","0.02","0.29","1.34","3.42","8.78","3.59","38.54"
"1911","7.50","2.90","0.70","1.68","4.08","1.07","0.11","0.76","4.88","1.07","2.28","3.82","30.85"
"1912","7.98","4.20","0.72","1.85","1.55","3.13","0.88","3.57","1.40","2.76","5.35","6.10","39.49"
"1913","5.36","1.06","3.30","2.51","1.79","3.49","0.27","0.29","2.41","3.29","5.91","3.68","33.36"
