Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,M,4.06,3.32,0.36,0.28,M,1.97,4.96,4.45,1.91,M,Columbia
1894,5.49,1.68,5.6,M,M,M,M,T,1.6,M,M,M,M,Columbia
1895,M,M,M,1.12,M,M,M,0.09,1.68,M,2.35,M,M,Columbia
1896,M,M,M,M,M,M,M,M,M,M,4.41,2.57,M,Columbia
1897,M,M,M,1.6,0.48,2.94,M,0.49,1.55,0.07,3.9,2.76,M,Columbia
1898,3.4,1.69,2.02,0.86,1.8,0.98,M,M,1.2,0.98,4.18,0.85,M,Columbia
1899,2.16,5.24,2.14,M,M,0.37,0.01,2.07,1.08,2.37,2.59,3.19,M,Columbia
1900,2.03,M,1.77,1.06,1.41,0.15,0.99,0.7,0.45,2.76,1.5,1.78,M,Columbia
1901,2.79,2.61,1.93,0.87,M,0.35,0.24,0.4,M,M,M,M,M,Columbia
1902,1.41,1.29,M,2.03,2.81,0.07,M,M,M,M,M,M,M,Columbia
1903,M,M,M,0.81,0.81,1.74,M,1.17,M,0.99,M,1.78,M,Columbia
1904,2.32,3.86,M,2.16,M,1.1,2.6,0.07,0.25,0.88,0.88,2.59,M,Columbia
1905,1.1,0.82,2.41,1.34,3.76,4.41,0.07,T,1.68,3.07,2.15,1.5,22.31,Columbia
1906,1.02,1.7,1.7,0.5,4.13,1.09,0.02,0.67,M,M,M,M,M,Columbia
1907,M,M,M,M,1.44,1.73,0.73,1.14,0.86,0.62,2.14,M,M,Columbia
1908,0.82,M,M,0.88,0.92,0.27,0.5,0.29,0.71,3.54,1.9,1.08,M,Columbia
1909,4.1,2.99,1.35,1.52,1.36,0.9,2.05,0.18,0.9,2.62,5.2,1.75,24.92,Columbia
1910,3.04,3.52,3.41,M,M,M,T,0,0.36,1.97,4.15,1.2,M,Columbia
1911,M,M,0.68,0.59,2.53,M,0.05,0.07,1.87,M,1.79,1.23,M,Columbia
1912,3.25,2.51,1.78,2.24,2.33,0.93,0.68,3.04,0.24,2.62,2.31,M,M,Columbia
1913,3.23,1.61,3.8,1.03,1.25,3.99,0.11,0.26,0.93,M,2.13,1.29,M,Columbia
1914,M,M,0.9,1.72,1.37,0.88,0.33,T,1.98,1.51,1.59,1.05,M,Columbia
1915,1.53,1.99,3.01,2.35,3.56,0.36,0.55,0.15,1.31,0.99,5.21,2.76,23.77,Columbia
1916,2.53,2.87,4.79,1.7,2.3,2.87,0.36,0.35,0.22,0.24,3.41,3.04,24.68,Columbia
1917,1.36,1.13,0.47,3.95,2.24,0.84,T,T,1.51,T,1.33,6.25,19.08,Columbia
1918,2.67,2.32,2.31,0.87,0.93,0.62,0.69,0.9,0.64,2.06,1.37,1.08,16.46,Columbia
1919,2.15,3.29,3.12,2.11,0.75,0.22,0.02,0.17,0.75,2.03,4.03,2.28,20.92,Columbia
1920,2.46,0.31,2.75,M,0.78,0.85,0.44,1.67,1.64,1.59,2.57,3.54,M,Columbia
1921,3.07,2.16,3.49,1.6,0.49,0.49,0.59,0.17,1.56,1.03,3.77,2.27,20.69,Columbia
1922,1.52,M,1.9,1.75,0.27,0.44,0.04,2.64,0.24,0.58,1.54,2.69,M,Columbia
1923,M,1.89,0.67,1.16,1.63,2.05,0.19,0.45,0.18,2.43,2.15,2.7,M,Columbia
1924,1.78,2.38,0.91,0.36,0.14,0.9,0.83,0.35,0.68,1.36,M,1.86,M,Columbia
1925,2.21,1.89,1.55,M,M,0.67,M,0.07,0.22,0.42,M,2.74,M,Columbia
1926,2.06,3.56,0.53,0.77,M,1.66,0.1,1.13,1.66,2.67,5.41,2.17,M,Columbia
1927,2.85,M,2.53,M,1.64,1.56,0.01,0.5,4.79,1.44,4.95,1.51,M,Columbia
1928,3.91,0.52,M,2.53,0.15,M,0.62,0.24,0.44,M,1.43,1.36,M,Columbia
1929,3.16,1.22,0.93,M,M,2.01,T,0.09,0.71,0.86,0.34,M,M,Columbia
1930,M,3.45,2.15,0.79,1.88,0.71,0.26,0.11,1.14,0.93,1.84,M,M,Columbia
1931,2.18,1.59,4.56,2.24,0.41,1.05,0.11,0,0.48,1.62,3.27,3.05,20.56,Columbia
1932,1.95,1.89,3.75,1.15,1.71,0.15,0.78,0.03,0.07,1.85,4.71,1.33,19.37,Columbia
1933,3.06,1.95,1.81,0.63,1.5,1.13,0.14,0.29,1.62,3.43,1.73,5.76,23.05,Columbia
1934,2.38,0.45,2.51,1.69,0.67,1.33,0.04,0.22,0.61,2.32,1.93,2.6,16.75,Columbia
1935,1.48,1.07,2.58,2.35,0.12,0.58,0.14,0.66,0.1,1.48,0.69,2.09,13.34,Columbia
1936,4.52,2.18,1.39,0.69,0.98,1.08,0.47,0.08,0.81,T,0.04,1.65,13.89,Columbia
1937,2.41,1.55,2.22,3.64,0.17,2.06,0.52,0.29,0.1,0.79,2.54,3.25,19.54,Columbia
1938,1.38,2.35,2.78,1.08,1.53,1.86,0.21,0.01,0.38,2.49,2.24,0.88,17.19,Columbia
1939,1.46,3.09,2.23,0.56,0.47,0.42,0.27,0.08,0.12,1,0.2,3.19,13.09,Columbia
1940,1.83,4.39,2.52,1.79,0.51,0.32,0.95,T,1.67,2.91,3.71,2.08,22.68,Columbia
1941,1.46,1.44,0.88,1.04,4.06,3.54,2.38,0.32,1.7,1.94,2.83,2.98,24.57,Columbia
1942,1.61,1.33,1.2,1.3,3.64,3.38,0.69,0.14,0.01,0.99,5.01,4.45,23.75,Columbia
1943,1.91,1.29,2.27,1.86,1.56,1.29,0.12,0.25,0.07,3.32,0.74,1.54,16.22,Columbia
1944,0.92,2.53,0.77,2.19,0.72,1.13,T,T,0.91,0.23,1.47,1.2,12.07,Columbia
1945,2.57,2.13,2.99,1.78,1.93,1.33,T,0.26,2.27,0.59,3.37,2.78,22,Columbia
1946,3.58,1.89,3.13,1.32,1.73,1.37,0.1,0.1,1.04,2.47,3.55,2.63,22.91,Columbia
1947,2.13,0.8,1.69,2.12,0.26,2.82,0.42,0.02,2.64,4.41,2.65,2.5,22.46,Columbia
1948,3.32,3.31,1.65,2.26,4.03,0.9,2.16,0.27,0.74,0.87,3.17,4.1,26.78,Columbia
1949,0.95,2.71,1.22,0.4,1.52,0.28,T,0.17,1.2,0.98,2.1,2.07,13.6,Columbia
1950,3.22,2.38,3.42,0.95,0.99,3.35,0.1,0.2,0.27,4.2,3.89,3.16,26.13,Columbia
1951,1.93,2.42,1.85,0.54,0.83,3.09,0.42,0.35,0.31,3.81,1.39,3.8,20.74,Columbia
1952,1.22,1.77,1.21,1.18,1.29,2.38,0.02,0.08,0.48,0.04,0.29,2.35,12.31,Columbia
1953,6.23,2.31,2.18,2.16,1.48,1.35,0,1.14,0.2,1.13,3.04,2.82,24.04,Columbia
1954,4.23,0.95,1.32,1.46,1.5,2.21,0.37,1.72,0.77,1.14,1.72,1.76,19.15,Columbia
1955,1.81,0.58,1.71,2.99,0.8,0.37,1.13,0,1.79,3.92,4.27,3.66,23.03,Columbia
1956,3.64,1.49,1.52,0.26,2.39,1.67,0.27,1.33,0.5,1.83,0.92,2.33,18.15,Columbia
1957,1.65,1.61,2.72,0.94,1.94,1.1,0.1,0.47,0.61,1.9,2.13,2.99,18.16,Columbia
1958,3.04,2.78,1.88,3.99,1.03,1.08,0.09,0.09,0.34,1.35,3.52,5.47,24.66,Columbia
1959,3.62,1.76,1.23,0.91,1.54,1.51,0.02,1.33,1.98,1.69,0.89,1.29,17.77,Columbia
1960,1,1.39,2.46,1.45,1.97,1.27,0.01,1,0.76,1.82,3.31,0.84,17.28,Columbia
1961,1.74,3.95,2.66,1.5,1.44,0.69,T,0.25,0.86,1.45,1.88,1.82,18.24,Columbia
1962,0.73,1.19,3.22,1.23,3.73,0.42,0,0.57,1.74,2.48,2.16,2.77,20.24,Columbia
1963,0.69,1.88,2.21,1.37,0.67,0.38,0.3,0.1,0.86,0.67,2.87,2.47,14.47,Columbia
1964,2.2,0.39,1.14,1.06,0.63,0.97,1.32,0.56,0.53,0.78,2.57,5.78,17.93,Columbia
1965,3.3,0.72,0.35,1.57,0.94,1.58,0.67,1.22,0.3,0.35,1.49,1.11,13.6,Columbia
1966,2.14,0.75,2.03,0.28,0.54,1.18,0.73,0.44,0.29,1.06,3.18,2.44,15.06,Columbia
1967,2.61,0.36,1.69,2.11,1.84,0.89,0,0,0.92,1.8,1.28,1.42,14.92,Columbia
1968,1.17,2.41,1.19,0.91,0.32,0.5,0.36,0.85,2.28,2.35,3.02,3.78,19.14,Columbia
1969,5.46,0.98,1.23,2.85,1.33,0.5,0,0,0.57,1.17,0.51,2.59,17.19,Columbia
1970,5.55,2.19,1.82,1.35,0.5,1.53,0.8,0.14,1.31,2.12,3.12,1.41,21.84,Columbia
1971,2.9,0.97,2.04,1.26,1.99,2.94,0.77,0.19,2.08,1.62,2.64,3.31,22.71,Columbia
1972,M,2.41,3.1,1.44,0.89,0.69,0.31,0.82,1.2,1.1,0.85,3.37,M,Columbia
1973,1.22,1.29,2.12,0.96,1.08,M,0.06,0.14,1.53,1.11,5.83,4.98,M,Columbia
1974,2.35,1.73,2.15,2.21,0.81,1.16,0.66,0,0.07,M,1.93,2.45,M,Columbia
1975,4.81,1.87,1.84,0.9,0.63,1.18,1.27,1.7,0.03,2.71,2.5,2.87,22.31,Columbia
1976,1.78,2.32,2.08,1.78,1.37,1.41,0.49,2.28,0.07,0.38,1.08,0.96,16,Columbia
1977,0.31,0.42,1.61,0.48,1.48,0.49,0.27,2.33,1.35,0.47,1.94,3.82,14.97,Columbia
1978,1.99,1.36,0.77,2.68,1.19,0.6,2.42,1.97,1.25,0.15,1.85,2.88,19.11,Columbia
1979,1,2.37,1.49,1.59,0.76,0.87,0.13,0.92,0.16,2.74,1.91,2.82,16.76,Columbia
1980,5.38,1.41,2.04,0.82,3.05,1.4,0.36,0.74,1.55,1.74,2.41,2.88,23.78,Columbia
1981,0.81,2.48,1.52,2.02,1.95,2.17,0.43,0.08,0.67,2.77,2.41,3.94,21.25,Columbia
1982,2.39,2.62,2.13,3,0.49,1.26,0.97,0.51,1.47,2.6,2.09,2.1,21.63,Columbia
1983,2.34,2.53,3.68,1.09,1.09,1.64,1.07,0.24,1.19,1.67,4.08,2.42,23.04,Columbia
1984,1.18,2.08,3.74,1.24,2.19,2,0,0.52,0.87,1.62,3.96,3.08,22.48,Columbia
1985,0.32,1.72,1.84,0.78,0.86,1.84,0.05,0.63,2.27,1.85,2.54,0.84,15.54,Columbia
1986,3.03,3.89,2.17,0.84,1.21,0.22,0.46,0.19,1.59,0.72,4.18,0.28,18.78,Columbia
1987,2.4,1.56,1.09,1.39,1.93,0.73,1.53,0.38,0.19,0,0.66,2.07,13.93,Columbia
1988,2.82,0.92,2.84,2.57,1.55,1.19,0.37,0,1.06,0.14,3.61,1.28,18.35,Columbia
1989,4.4,1.4,3.72,0.84,1.8,0.38,0.05,1.44,0.32,1.15,1.97,1.47,18.94,Columbia
1990,2.13,1.25,1.49,2.6,2.13,0.73,0.21,0.55,0,3.05,2.48,1.99,18.61,Columbia
1991,1.05,0.97,2.38,1.52,4.28,2.02,0.32,0.75,0.05,1.27,4.76,1.61,20.98,Columbia
1992,1.02,1.32,0.32,2.35,0.31,0.94,0.85,1.86,1.59,0.97,2.65,1.5,15.68,Columbia
