Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1925,M,M,M,M,M,M,0.01,1.19,1.29,0.44,3.89,5.31,M,Cowlitz
1926,3.71,6.78,1.24,1.11,4.53,0.22,0.05,3.05,2.23,4.21,7.15,3.67,37.95,Cowlitz
1927,5.49,6.69,3.31,2.85,2.43,1.58,0.22,1.96,5.03,4.98,8.62,3.1,46.26,Cowlitz
1928,3.74,1.11,8.02,5.01,1,0.8,1.58,0.01,0.37,3.04,3.23,7.3,35.21,Cowlitz
1929,M,1.36,4.95,M,1.24,2.08,0.06,M,M,1,0.65,8.09,M,Cowlitz
1930,3.5,5.91,2.86,3.46,1.89,1.43,0.01,0.11,0.9,2.66,3.32,3.15,29.2,Cowlitz
1931,5.36,3.66,7.63,2.45,1.16,5.21,0.17,0.23,2.84,5.81,6.29,5.59,46.4,Cowlitz
1932,5.5,3.87,8.26,3.52,1.79,0.47,1.77,2.22,0.47,4.74,11.28,8.91,52.8,Cowlitz
1933,8.3,4.04,5.52,1.18,3.88,1.81,0.07,2.25,2.89,4.92,2.61,20.13,57.6,Cowlitz
1934,8.25,1.2,4.69,2.41,2.6,0.39,0.5,0.71,2.48,6.99,11.53,9.38,51.13,Cowlitz
1935,5.31,2.46,6.03,1.27,0.29,2,0.56,0.4,2.83,2.39,2.06,3.92,29.52,Cowlitz
1936,8.88,5.47,4.12,0.79,4.45,5.82,1.52,0.47,2.05,0.59,0.52,8.38,43.06,Cowlitz
1937,2.95,6.42,3.16,6.22,1.15,3.93,0.21,2.39,1.45,2.96,9.4,10.39,50.63,Cowlitz
1938,4.49,3.76,6.35,2.77,1.01,0.13,0.27,0.53,1.91,3.37,6.46,4.24,35.29,Cowlitz
1939,5.2,6.96,2.23,0.59,1.03,2.06,0.99,1.85,0.77,3.58,1.45,7.68,34.39,Cowlitz
1940,1.86,10.27,4.73,3.97,2.27,0.16,1.21,0.53,2.92,3.88,5.48,4.44,41.72,Cowlitz
1941,3.71,2.08,2.01,1.53,4.49,1.58,T,2.54,4.8,3.42,4.6,8.26,39.02,Cowlitz
1942,3.94,2.46,2.27,2.78,3.12,3.58,1.85,0.89,0.13,4.23,9.47,7.05,41.77,Cowlitz
1943,3.57,5.18,5.97,2.83,2.71,1.92,0.91,1.43,0.13,4.4,2.5,4.27,35.82,Cowlitz
1944,3.91,4.13,3.76,2.72,2.15,0.72,0.11,0.32,3.01,1.79,3.47,2.32,28.41,Cowlitz
1945,4.41,5.2,5.69,3.97,3.64,0.11,0.32,0.52,3.42,2.94,9.64,6.46,46.32,Cowlitz
1946,8.26,6.58,4.84,1.7,1.25,3.89,1.42,0.45,1.68,6.65,8.59,10.83,56.14,Cowlitz
1947,6.09,3.07,3.92,3.37,0.2,3.49,2.15,0.42,1.15,8.52,6.07,4.77,43.22,Cowlitz
1948,5.19,8.36,4.58,3.46,5.31,1.2,0.8,3.44,3.95,2.81,9.11,10.95,59.16,Cowlitz
1949,1.55,9.84,3.31,0.62,1.74,0.97,0.33,0.59,1.58,4.24,6.01,8.36,39.14,Cowlitz
1950,8.03,6.88,5.93,3.91,0.92,1.99,1.03,1.46,1.68,6.74,9.4,7.14,M,Cowlitz
1951,9.19,5.22,5.76,0.5,2.26,0.35,0.11,0.5,2.17,7.3,7.18,7.86,48.4,Cowlitz
1952,3.47,3.59,5.15,1.88,1.13,1.54,0.21,0.92,0.72,1.81,1.66,7.65,29.73,Cowlitz
1953,13.11,3.72,4.13,2.98,2.6,3.06,0.15,2.32,1.1,4.5,7.68,10.13,55.48,Cowlitz
1954,11,5.26,2.63,2.53,2.51,3.27,1.05,1.38,1.63,3.19,6.12,5.91,46.48,Cowlitz
1955,3.67,4.78,6.01,5.16,1.45,1.85,2.88,0.02,2.66,9.4,9.74,10.42,58.04,Cowlitz
1956,9.01,3.03,7.14,0.85,1.36,3.33,0.35,3.1,2.05,5.47,1.89,6.85,44.43,Cowlitz
1957,2.42,4.91,6.21,2.26,3.07,2.37,0.51,1.84,0.33,2.82,4.15,10.43,41.32,Cowlitz
1958,6.38,5.28,2.82,5.04,1.27,3.16,0.04,0.33,1.6,3.39,10.79,5.96,46.06,Cowlitz
1959,8.37,3.12,5.24,2.67,3.01,2.71,1.02,0.49,4.63,4.86,7.5,4.21,47.83,Cowlitz
1960,2.69,5.24,4.57,5.59,5.32,1.24,T,2.76,1.29,4.3,10.15,3.55,46.7,Cowlitz
1961,4.36,11.08,6.66,5.72,2.74,1.22,0.9,1.41,1.73,5.17,5.12,8.23,54.34,Cowlitz
1962,2.75,2.67,3.68,5.18,2.42,1.33,0.42,3.56,2.6,4.61,11.34,3.08,43.64,Cowlitz
1963,2.36,6.23,4.51,3.96,1.61,1.82,1.55,3,2.56,4.77,5.66,4.45,42.48,Cowlitz
1964,11.5,2.14,6.1,3.14,1.46,2.06,1.5,1.03,1.49,2.25,7.53,10.48,50.68,Cowlitz
1965,8.89,3.07,0.54,2.38,2.52,0.58,0.48,2.14,0.39,2.64,5.66,6.3,35.59,Cowlitz
1966,7.13,3.28,5.6,1.78,2.12,2.19,1.84,0.44,2.08,3.94,4.83,8.33,43.56,Cowlitz
1967,10.17,2.95,5.06,3.7,1.14,2.11,0.01,0.05,1,7.9,3.12,4.52,41.73,Cowlitz
1968,5.55,6.31,3.42,2.83,4.58,3.29,0.57,4.78,2.35,5.94,6.43,8.85,54.9,Cowlitz
