Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,1,2.6,1.53,3.02,2.45,0.23,0.06,0.4,0.64,0.48,2.53,0.4,15.34,Douglas
1894,M,1.1,1.4,0.51,2.15,0.66,T,0.06,0.04,1.18,1.2,3.05,M,Douglas
1895,2.56,0.5,0.5,M,1.04,M,M,T,1.16,0,0.2,2.75,M,Douglas
1896,2.75,M,0.7,2.61,2.16,0.39,0,M,0.89,0.81,3.1,M,M,Douglas
1897,2.94,2.7,1.6,0.5,1.11,0.58,0.85,0.04,0.44,0.96,2.85,M,M,Douglas
1898,0.1,1.42,0.1,0.06,M,1.5,0.06,0.91,0.83,T,1.55,1,M,Douglas
1899,2.77,1.25,0.05,0.1,0.72,0.65,0.13,1.14,0.35,1.26,2.92,1.36,12.7,Douglas
1900,0.5,0.62,1.54,1.41,0.72,1.08,0,1.15,0.41,2.89,0.8,2.02,13.14,Douglas
1901,2.68,1.52,0.52,0.68,1.46,1.31,0.25,0,1.14,T,2.33,1.13,13.02,Douglas
1902,1.57,4.33,0.08,1.74,1.22,0.13,1.04,0.17,0.05,T,2.28,3.49,16.1,Douglas
1903,2.1,0.27,0.63,0.73,0.28,0.09,0.45,1.04,0.65,0.67,3,M,M,Douglas
1904,1.52,3.15,2.75,1.11,M,0.45,T,0.16,0.19,0.79,M,1.43,M,Douglas
1905,3.29,0.57,1.57,0.17,0.82,3.85,0.19,0.35,0.56,1.69,0.58,1.3,14.94,Douglas
1906,1.25,1.15,0.9,0,1.95,0.66,0.65,0.11,0.24,0.12,2.82,3.1,12.95,Douglas
1907,1.1,1,1.1,0.22,0.9,1.2,0.62,M,1.26,M,0.76,M,M,Douglas
1908,1.15,0.58,0.6,T,0.55,M,3.28,M,M,0.77,0.3,0.63,M,Douglas
1909,M,1.28,M,0.1,0.12,M,M,M,0.5,0.76,2.57,2.15,M,Douglas
1910,1.17,1.25,1.54,M,0.25,T,0.07,0.17,0.58,0.37,M,0.98,M,Douglas
1911,M,M,0.38,0.2,1.84,0.67,0,1.46,1.5,0.37,0.95,2.03,M,Douglas
1912,M,0.37,0.65,1.67,1.49,0.94,0.67,1.08,0.34,1.88,1.2,1.9,M,Douglas
1913,1.95,0.7,M,0.79,1.49,M,M,M,M,M,M,M,M,Douglas
1914,M,M,M,M,M,M,M,M,1,1.92,0.5,0.9,M,Douglas
1915,1.48,2.5,0.68,0.59,1.73,0.72,0.66,0.04,0.03,0.49,2.53,2.65,14.1,Douglas
1916,M,3.33,1.58,0.19,0.79,1.75,1.45,0.37,1.07,0,0.41,0.83,M,Douglas
1917,0.33,1,1.03,2.31,0.74,0.61,T,0.04,0.11,T,1.27,2.59,10.03,Douglas
1918,0.64,0.91,0.31,0,0.55,0.25,1.17,0.88,0.04,1.92,0.74,0.54,7.95,Douglas
1919,2.01,1.95,0.58,0.46,0.8,0.1,0.18,0.82,1.58,0.2,1.39,1.55,11.62,Douglas
1920,0.27,0.15,0,0.47,T,0.42,2.27,0.51,1.04,1.97,1.9,2.08,11.08,Douglas
1921,2.38,0.62,0.78,0.43,0.61,0.38,0,0,0.16,0.63,1.59,1.17,8.75,Douglas
1922,0.39,0.59,1.14,0.94,0.33,0,0,0.55,0.64,1,1.08,2.08,8.74,Douglas
1923,1.41,0.72,0.11,1.11,0.51,0.87,1.15,0.39,0.69,1.35,0.4,1.83,10.54,Douglas
1924,1.32,1.04,0.07,0.07,0.02,0.2,T,0.55,0.93,0.86,2.23,M,M,Douglas
1925,1,0.91,0.48,0.69,0.97,0.72,T,0.02,0.36,0.1,M,0.81,M,Douglas
1926,0.94,1.27,0.17,M,0.06,0.11,0.56,0.59,0.75,0.42,2.41,1.36,M,Douglas
1927,1.54,1.57,0.45,T,M,0.11,M,1.34,M,M,2.26,0.63,M,Douglas
1928,1.4,M,M,M,M,M,0.44,M,M,M,0.76,M,M,Douglas
1929,M,M,0.49,0.2,0.75,0.79,T,M,0.25,0.07,M,1.2,M,Douglas
1930,M,M,0.33,0.17,0.44,M,0.03,0.61,0.46,0.24,0.6,0.48,M,Douglas
1931,2.06,0.4,0.69,0.02,0.14,0.53,T,0,0.2,0.18,0.59,3.92,M,Douglas
1932,1.05,0.13,1.1,0.6,0.71,0.3,0.11,T,0,0.2,1.79,0.9,6.89,Douglas
1933,1.27,0.29,1.56,0.82,1.98,0.55,0.1,0.15,1.09,1.22,0.94,3.78,13.75,Douglas
1934,1.08,0.25,0.35,0.4,0.25,1.02,0.41,0.08,0.82,2.11,2.13,1.23,10.13,Douglas
1935,1.14,0.74,1.09,0.17,0.2,0.42,0.35,0.13,0.07,0.58,0.8,1.35,7.04,Douglas
1936,1.59,0.89,0.41,0.52,0.6,4.9,0.18,0.22,0.5,0.07,0.04,0.97,10.89,Douglas
1937,1.37,1.19,1.84,1.77,0.04,3,0.31,0.33,0.8,0.06,3.61,1.85,16.17,Douglas
1938,0.79,2.94,1.32,0.12,0.02,0.24,0.13,0.04,0.3,0.82,0.74,1.01,8.47,Douglas
1939,0.64,1.43,0.5,0.1,0.96,0.38,0.06,0.02,0.59,0.71,0.25,2.72,8.36,Douglas
1940,1.58,2.95,1.21,1.13,0.57,0.06,0.37,0,1.25,1.58,1.34,2.46,14.5,Douglas
1941,1.66,1.14,0.72,1.77,1.45,1.58,0.08,2.35,1.36,0.26,1.55,2.32,16.24,Douglas
1942,1.73,1.61,0.36,0.5,2.4,0.68,0.2,0.17,0,0.26,3.18,2.37,13.46,Douglas
1943,0.94,0.44,0.76,0.49,1.22,1.48,0.12,0.22,0,1.51,0.55,0.2,7.93,Douglas
1944,0.71,1.93,0.08,1.79,0.36,2.11,T,0.17,0.98,0.06,2.58,0.49,11.26,Douglas
1945,1.27,1.76,0.57,0.4,2.46,1.18,0,0.27,0.45,0.77,2.04,2.49,13.66,Douglas
1946,1.21,1.53,0.69,T,1.1,2.09,0.11,0.26,M,1.19,2.7,0.3,M,Douglas
1947,0.52,0.6,0.6,0.6,0.25,1.66,0.53,0.06,0.88,2.94,0.43,1.01,10.08,Douglas
1948,1.26,1.6,0.7,2.03,4.58,4.87,0.9,1.82,1.7,0.62,1.48,2.7,24.26,Douglas
1949,0.45,1.34,1.33,0.1,0.22,0.18,T,0.04,0.75,0.48,1.7,0.63,7.22,Douglas
1950,2.27,1.21,1.38,0.9,1.06,2.15,T,T,0.04,1.97,1.98,1.81,14.77,Douglas
1951,1.37,1.46,1.43,0.02,1.96,1.47,0.62,1.55,0.17,1.08,1.55,1.57,14.25,Douglas
1952,2.04,1.16,0.03,0.11,0.48,1.78,0.02,T,1.45,T,0.73,1.31,9.11,Douglas
1953,M,M,0.14,0.68,1.88,1.68,T,0.67,T,0.27,1.05,1.26,M,Douglas
1954,1.78,0.35,0.88,0.04,0.6,1.09,0.44,2.12,0.92,0.5,1.21,T,9.93,Douglas
1955,1.3,M,0.7,0.77,0.44,1.52,0.49,0,0.48,0.85,1.4,2.75,M,Douglas
1956,1.82,0.54,0.27,0.49,0.77,1.69,0.21,1.59,0.35,2.27,0.34,0.19,10.53,Douglas
1957,M,1.02,M,0.8,1.9,0.58,0,0.44,0.44,1.79,0.48,0.4,M,Douglas
1958,0.69,1.36,1.47,1.9,0.32,1.16,0.7,0.08,0.02,0.53,3.45,2.39,14.07,Douglas
1959,1.52,1.82,0.8,0.2,0.73,0.44,0,0,2.29,1.36,1.14,0.52,10.82,Douglas
1960,1.46,M,0.36,1.22,1.65,0.08,0.06,0.27,0.11,0.2,0.69,M,M,Douglas
1961,0.23,0.42,0.54,0.51,0.99,0.14,M,0.42,0.03,0.18,1.22,1.43,M,Douglas
1962,0.26,1.45,0.59,0.73,3.19,0.94,T,0.56,0.31,2.35,0.8,0.18,11.36,Douglas
1963,0.3,0.28,M,M,M,0.2,0.56,T,0.18,0.17,1.54,1.93,M,Douglas
1964,1.65,0.15,0.21,0.95,0.31,1.34,0.15,0.43,0.18,0.24,1.59,2.72,9.92,Douglas
1965,1.39,0.25,0.27,0.92,0.3,0.38,0.69,2.05,0.09,0.05,2.38,1.94,10.71,Douglas
1966,1.68,0.08,1.73,0.03,0.11,0.86,1.7,0.01,0.71,0.67,1.91,1.61,11.1,Douglas
1967,1.2,T,0.45,2.12,1.63,1.1,0.03,0,0.04,1.56,0.28,1.53,9.94,Douglas
1968,3.01,1.11,0.17,0.62,0.5,0.18,T,4.02,0.12,1.05,M,3.35,M,Douglas
1969,2.32,M,M,1.19,0.19,0.44,T,0,0.77,0.1,0.13,3.39,M,Douglas
1970,3.59,0.57,M,M,0.05,0.03,0.03,0.17,T,0.57,3.05,3.02,M,Douglas
1971,1.87,0.49,1.5,M,0.07,1.15,0.16,0.06,1.04,0.74,1.54,2.12,M,Douglas
1972,1.26,1.24,1.25,0.77,1.75,1.48,0.15,0.75,0.55,0.13,2.12,2.05,13.5,Douglas
1973,1.01,0.11,0.03,0.02,0.17,0.21,0.1,0.04,1.83,1,4.29,3.21,12.02,Douglas
1974,2.42,1.27,0.87,0.6,0.42,0.31,0.59,0,T,0.19,0.82,1.62,9.11,Douglas
1975,1.79,2.11,1.05,1.21,0.76,0.71,0.65,2.14,0.14,1.81,0.74,1.31,14.42,Douglas
1976,0.81,1.27,0.2,0.53,0.26,0.09,0.15,3.07,0.01,0.03,0.17,0.15,6.74,Douglas
1977,0.1,0.6,0.68,T,0.98,0.5,0.01,1.02,1.04,0.21,1.39,2.71,9.24,Douglas
1978,2.29,1.53,1.17,1.75,0.29,0.08,0.97,0.65,1.1,T,0.92,0.36,11.11,Douglas
1979,0.64,0.98,0.23,M,M,M,M,0.45,0.16,1.3,1.6,2.35,M,Douglas
1980,M,2.28,0.17,0.9,1.57,1.15,0.1,0.1,0.69,0.39,1.42,2.45,M,Douglas
1981,1.76,1.47,0.03,0.1,2.58,0.78,0.71,0.2,0.51,1.36,1.71,2.22,13.43,Douglas
1982,1.09,1.01,1.56,0.12,0.85,1.08,0.63,0.2,0.74,1.1,1.73,2.83,M,Douglas
1983,2.49,2.03,2.76,1.4,0.5,0.68,1.24,3.22,1.04,0.08,5.32,2.16,22.92,Douglas
1984,0.68,0.94,1.76,2.07,1.27,2.98,T,0.05,0.93,0.26,3.2,0.52,14.66,Douglas
1985,0.32,0.67,0.86,0.01,1.02,0.62,0.11,0.02,1.2,0.47,1.11,1.14,7.55,Douglas
1986,3.13,1.79,0.76,0.5,0.06,0.08,0.39,0.33,2.86,0.37,0.66,0.89,11.82,Douglas
1987,1.23,0.95,0.88,0.76,0.48,M,M,0.08,T,0.02,0.55,M,M,Douglas
1988,0.59,T,0.4,0.75,M,1.34,0,0.06,0.09,0.1,1.44,1.07,M,Douglas
1989,0.22,1.67,M,1.13,1.04,0.22,0.22,M,M,1.59,0.97,0.23,M,Douglas
1990,1.89,0.56,0.6,0.41,2.78,1.93,0.28,1.16,M,M,M,M,M,Douglas
1991,M,0.08,1.48,0.42,2.48,1.47,0.39,0.36,0.01,0.66,1.28,0.5,M,Douglas
1992,0.92,1.14,M,1.11,0.06,2.62,1.73,0.13,0.17,0.91,1.29,2.77,M,Douglas
1993,1.17,0.53,0.73,1.39,0.82,1.42,1.34,0.24,0.05,0.07,0.16,2.48,10.4,Douglas
1994,0.69,0.6,0.15,1.43,0.56,0.93,T,0.55,0.06,1.65,1.64,1.71,9.97,Douglas
1995,4.07,0.45,2.1,0.84,0.63,0.56,0.49,0.16,0.71,0.35,1.98,2.77,15.11,Douglas
1996,1.55,1.36,0.78,0.46,0.72,0.62,0.25,0,0.56,0.48,2.05,4.96,M,Douglas
1997,0.95,0.54,1.23,0.35,0.86,1.76,0.82,0.36,0.62,1.93,0.88,0.24,10.54,Douglas
1998,2.26,2.26,1.11,0.48,2.5,M,0.87,0,0,0.1,1.89,1.73,M,Douglas
1999,1.89,1.68,0.72,T,0.86,0.03,0.03,0.72,0,0.4,1.35,0.77,M,Douglas
2000,2.02,0.84,0.77,T,0.22,0.45,0.35,T,0.06,0.33,0.9,1.41,7.35,Douglas
2001,0.41,0.83,0.87,1.34,0.16,1.99,0.97,0.2,0.15,0.16,2.72,M,M,Douglas
2002,0.42,0.84,0.32,0.2,0.42,0.24,0.27,0.89,0.04,0.07,0.8,M,M,Douglas
2003,2.72,0.47,0.24,0.97,0.19,0.35,0,0.03,0.1,0.69,0.27,1.81,7.84,Douglas
2004,2.09,1.38,0.47,0.07,0.99,0.24,0.22,0.72,0.14,0.97,0.76,M,M,Douglas
2005,1.49,0.03,0.83,0.33,3.13,0.83,M,0.21,0.12,1.09,2.86,2.83,M,Douglas
2006,2.64,0.56,M,0.52,1.08,2.12,T,0,0.47,0.51,M,M,M,Douglas
2007,M,1.89,M,0.05,1.34,0.34,0.37,0.08,0,0.95,0.79,2.91,M,Douglas
2008,M,M,0.48,0.18,0.44,0.76,T,0.25,0,0.52,1.11,1.52,M,Douglas
2009,0.64,0.62,0.98,M,0.16,0.5,0.33,T,0.52,1.19,0.66,1.21,M,Douglas
2010,2.28,M,0.53,1.13,2.17,1.61,1.28,0.12,1.06,0.88,1.45,2.5,M,Douglas
2011,0.46,0.28,2.72,0.03,3,0.74,0.29,0.02,0.04,0.95,0.51,0.57,9.61,Douglas
2012,1.63,1.37,2.08,1.19,0.34,1.27,0.43,0.04,0.1,1.32,1.38,2.8,M,Douglas
2013,0.42,0.02,1.02,0.86,1.07,0.79,0.07,1.84,1.72,0.06,0.69,0.13,M,Douglas
2014,0.56,1.48,0.89,M,0.31,1.25,0.21,2.24,0.48,1.68,1.13,1.94,M,Douglas
2015,0.87,0.72,0.96,0.48,1.49,0.88,0,0.12,0.25,1.38,1.71,4.9,13.76,Douglas
2016,3.53,0.57,M,0.63,1.46,0.92,M,0.06,0,3.47,0.34,M,M,Douglas
2017,1.82,2.91,1.96,M,M,0.5,M,0,0.04,1.22,M,1.58,M,Douglas
2018,M,0.27,1.71,1.71,M,M,M,M,M,M,M,M,M,Douglas
2019,M,M,M,0.72,1.26,0.62,2.04,0.14,M,0.62,0.29,M,M,Douglas
2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
