"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1905","M","0.19","M","0.27","M","1.69","T","T","0.27","1.81","0.89","1.13","M"
"1906","0.97","1.24","0.64","0.06","1.27","0.25","0.06","0.32","0.14","0.43","1.48","2.41","9.27"
"1907","1.26","1.36","2.09","0.17","1.09","0.45","0.65","2.89","0.39","0.09","0.89","1.36","12.69"
"1908","0.93","0.69","0.05","0.23","0.42","0.12","0.60","0.15","0.01","1.45","0.79","0.56","6.00"
"1909","1.26","1.07","0.35","0.15","0.53","0.84","0.59","0.00","0.49","0.62","2.15","0.90","8.95"
"1910","0.85","0.80","0.76","0.89","0.37","0.41","0.07","0.43","M","0.48","1.80","0.66","M"
"1911","0.61","0.57","0.64","0.06","1.19","0.72","0.02","0.26","0.92","0.21","0.63","0.85","6.68"
"1912","1.49","1.06","0.66","0.75","2.00","0.22","0.30","1.24","0.08","0.78","1.36","0.79","10.73"
"1913","1.36","0.24","0.10","0.22","0.91","2.04","0.01","0.35","0.33","1.29","M","1.48","M"
"1914","2.06","1.50","0.18","0.66","0.86","0.50","0.27","0.00","0.50","1.20","0.67","0.90","9.30"
"1915","1.03","1.09","0.80","1.65","1.48","0.71","0.35","0.12","0.25","0.48","2.41","1.52","11.89"
"1916","1.00","2.57","1.85","1.24","0.59","1.09","0.35","0.24","0.18","0.05","1.46","1.29","11.91"
"1917","0.62","0.65","0.64","2.22","1.47","0.18","0.03","0.00","0.33","0.00","0.76","1.69","8.59"
"1918","1.12","0.59","0.89","0.06","0.32","0.15","0.65","0.62","0.10","0.59","1.18","0.81","7.08"
"1919","1.49","1.84","1.10","1.07","0.40","0.00","0.00","0.05","0.73","0.41","1.33","1.34","9.76"
"1920","1.18","0.10","0.41","1.70","0.51","0.67","M","0.89","1.06","0.56","1.45","1.52","M"
"1921","1.06","1.43","0.53","0.54","0.23","0.23","0.32","0.10","0.54","0.55","1.76","0.96","8.25"
"1922","0.73","0.52","1.21","0.67","0.06","M","0.00","0.19","0.14","0.58","0.67","M","M"
"1923","1.38","0.31","0.19","0.64","0.85","2.92","0.45","0.47","0.47","1.64","0.78","M","M"
"1924","1.20","1.59","0.11","0.06","0.03","0.40","0.11","0.45","0.35","0.67","1.69","1.82","8.48"
