"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"2000","M","M","M","M","M","M","M","M","M","2.10","2.40","3.50","M"
"2001","2.30","2.10","3.30","5.30","1.60","1.90","0.60","0.30","0.50","3.70","5.70","6.50","33.80"
"2002","5.40","3.30","5.10","2.30","2.70","3.00","0.40","1.00","0.90","0.80","1.60","5.30","31.80"
"2003","6.20","3.80","9.30","2.70","1.60","0.00","0.20","0.80","0.90","2.30","4.80","4.40","37.00"
"2004","4.80","2.60","2.10","2.70","4.80","1.90","1.10","2.10","0.80","1.60","1.70","3.70","29.90"
"2005","2.20","0.40","4.10","2.10","4.40","2.30","0.30","0.10","0.30","2.40","4.30","6.00","28.90"
"2006","9.70","2.10","3.90","2.70","1.90","2.30","0.90","0.40","1.70","0.90","11.40","3.60","41.50"
"2007","2.70","3.20","4.50","1.90","1.30","1.30","0.50","0.60","0.20","2.50","3.30","9.70","31.70"
"2008","6.40","4.30","4.80","2.60","5.50","1.80","0.30","2.20","1.40","1.60","3.20","7.70","41.80"
"2009","6.30","1.70","12.40","4.50","3.00","2.80","1.10","2.50","0.20","4.40","3.30","3.60","45.80"
"2010","3.70","0.90","3.10","4.30","4.20","3.90","0.40","0.50","1.00","2.80","4.10","5.60","34.50"
"2011","3.00","6.70","4.80","5.60","6.70","3.20","0.90","0.10","0.40","3.30","4.50","3.30","42.50"
"2012","6.70","4.70","9.00","3.10","1.70","3.10","1.30","0.00","0.00","6.30","4.30","6.10","46.30"
"2013","3.50","2.10","3.60","3.80","1.70","2.60","0.20","1.50","3.80","0.90","3.60","4.30","31.60"
"2014","5.30","6.20","7.70","3.20","1.10","2.10","1.60","2.10","0.70","1.50","6.90","5.50","43.90"
"2015","2.90","3.50","2.60","1.40","3.30","1.30","1.40","0.30","0.90","1.80","4.10","7.40","30.90"
"2016","4.20","3.70","6.40","1.70","1.80","1.50","2.10","0.40","0.60","6.40","3.20","5.80","37.80"
"2017","2.70","8.30","8.50","3.40","2.80","2.10","0.10","0.20","1.30","4.00","5.20","5.80","44.40"
"2018","4.50","4.80","3.30","4.70","5.70","3.40","0.00","1.20","0.10","1.70","3.80","5.20","38.40"
"2019","2.80","6.00","1.80","5.40","1.60","1.70","1.00","0.70","2.80","4.80","1.70","2.60","32.90"
"2020","7.30","10.70","2.60","1.80","4.60","3.10","0.30","0.20","0.90","3.60","5.50","3.80","44.40"
"2021","4.10","8.20","3.70","1.70","1.40","0.60","0.00","0.50","1.30","2.70","4.30","7.00","35.50"
"2022","4.40","3.50","2.50","4.80","5.60","3.80","0.50","0.10","1.50","M","M","M","M"
