Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1945,M,M,M,2.82,1.48,0.14,T,0.5,2.6,4.44,1.22,M,M,Island
1946,1.58,1.87,1.95,1.5,0.38,4.67,0.55,0.44,0.65,1.52,1.23,3.61,19.95,Island
1947,M,1.02,1.96,1.86,0.98,1.68,0.48,0.46,1.18,2.47,3.83,2.11,M,Island
1948,1.83,3.23,1.34,1.29,3.68,2.21,1.13,1.91,1.53,2.12,1.94,3.31,25.52,Island
1949,M,M,1.52,1.17,0.43,0.66,1.03,1.11,1.09,3.32,3.89,5.14,M,Island
1950,2.65,1.76,2.48,1.33,0.2,0.25,1.24,1.13,0.56,1.38,2.46,2.08,17.52,Island
1951,3.28,1.82,1.98,0.22,1.19,0.35,0.03,0.85,0.98,3.11,2.1,2.67,18.58,Island
1952,1.45,1.04,2.57,1.24,0.56,1.02,0.69,0.19,0.42,1.48,0.58,1.22,12.46,Island
1953,3.31,1.01,1.27,0.99,1.27,1.03,0.29,0.47,0.37,1.71,2.99,2.88,17.59,Island
1954,3.27,2.19,0.62,1.44,1.19,1.9,0.75,2.52,1.7,1.12,3.43,2,22.13,Island
1955,1.53,3.07,1.79,0.99,2.17,2.2,1.74,0.15,0.44,1.73,2.88,2.2,20.89,Island
1956,2.42,2.07,2.2,0.07,0.28,1.95,0.22,1.15,1.47,4.03,1.16,4.57,21.59,Island
1957,2.23,2.06,1.92,0.91,0.2,0.99,0.76,0.39,0.17,0.98,1.55,1.65,13.81,Island
1958,1.49,1.82,0.73,1.32,0.75,1.13,T,0.07,0.82,3,4.06,2.4,17.59,Island
1959,3.29,2.09,1.34,1.35,1.59,0.66,0.13,0.62,2.6,1.73,3.55,3.74,22.69,Island
1960,2.41,0.85,1.61,1.61,1.7,0.4,T,1.69,0.72,1.43,3.71,1.22,17.35,Island
1961,1.28,3.27,2.11,2.57,1.54,0.77,1.05,0.72,0.39,1.68,2.19,1.82,19.39,Island
1962,1.04,1.16,2.08,0.91,0.88,0.6,0.17,2.01,1.34,2.16,3.24,1.72,17.31,Island
1963,0.68,2.13,0.83,2.56,0.77,0.87,0.82,0.54,0.96,2.08,2.38,3.22,17.84,Island
1964,2.65,1.15,1.92,0.91,1.24,1.56,0.85,0.9,2.65,0.56,1.74,3.12,19.25,Island
1965,4.46,2.03,0.3,1.12,1.07,0.31,0.17,1.43,0.79,1.05,1.31,2.32,16.36,Island
1966,2.07,1.08,1.87,1.13,1.54,0.89,2.11,0.65,1.3,1.28,1.78,2.49,18.19,Island
1967,2.64,1.78,1.29,1.69,1.14,1.02,0.19,0.04,0.67,3.55,0.86,4,18.87,Island
1968,1.28,1.3,1.85,0.44,1.36,0.83,0.43,1.5,0.96,1.59,1.98,2.49,16.01,Island
1969,2.55,0.82,0.63,2.02,0.5,0.46,0.37,0.42,2.04,0.89,0.75,2.13,13.58,Island
1970,2.28,0.94,0.42,1.75,1.03,0.5,0.44,0.09,4.22,2.1,1.7,1.78,17.25,Island
