Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,M,2.19,1.84,0.56,2.12,1,2.9,13.44,5.71,M,Kitsap
1900,M,M,10.04,1.87,4.66,4.37,1.63,0.59,1.05,5,4.39,10.14,M,Kitsap
1901,8.36,6.26,2.44,5.38,2.07,1.45,0.28,0.32,2.55,2.74,10.2,3.79,45.84,Kitsap
1902,M,12.86,5.13,2.53,1.46,1.34,1.38,0.37,2.25,3.36,10.45,13.06,M,Kitsap
1903,5.48,3.84,7.97,1.98,1.83,2.36,0.89,0.65,M,3.03,9.98,M,M,Kitsap
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1905,10.33,4.91,6.19,1.54,2.72,1.85,0.53,M,M,M,M,M,M,Kitsap
1906,M,M,M,M,1.78,M,M,M,M,M,M,M,M,Kitsap
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1908,6.34,5.33,3.36,3.13,3.24,0.4,0.18,0.92,0.17,2.73,8.08,5.47,39.35,Kitsap
1909,7.17,8.58,1.94,0.67,2.09,1.24,0.57,0.17,0.69,M,M,4.78,M,Kitsap
1910,8.22,5.62,1.82,2.3,1.03,0.66,T,0.09,1.34,5.96,M,5.15,M,Kitsap
1911,M,2.48,1.06,1.11,2.78,0.54,0.14,0.07,2.08,M,M,3.33,M,Kitsap
1912,6.49,3.74,1.65,1.84,1.64,1.75,1.2,1.66,1.17,3.67,7.76,6.2,38.77,Kitsap
1913,5.22,1.37,1.72,0.89,1.28,2.04,0.81,0.48,2.45,1.53,7.14,2.93,27.86,Kitsap
1914,M,2.15,2.12,2.45,0.58,1,0,0,2.03,4.45,5.92,1.4,M,Kitsap
1915,M,3.84,2.28,3.4,1.43,1.03,1.29,0,M,M,M,M,M,Kitsap
1916,3.94,M,6.34,M,M,1.52,M,0.16,0.3,2.24,5.08,M,M,Kitsap
1917,1.33,1.64,3.36,4.27,0.8,2.5,0.27,0,1.38,0.16,M,11,M,Kitsap
1918,4.09,5.99,4.93,M,1.02,0.15,1.43,0.95,0.2,3.16,6.1,7.53,M,Kitsap
1919,M,M,M,M,M,0.28,0.25,0.01,1.22,1.4,M,5.24,M,Kitsap
1920,4.08,0.27,M,M,M,M,0.92,1.31,M,M,M,M,M,Kitsap
1921,M,M,M,M,M,1.35,0.16,1.26,2,5.65,M,M,M,Kitsap
1922,1.66,2.14,M,1.3,1.02,0.12,0,1.44,1.07,2.47,1.2,8.7,M,Kitsap
1923,9.98,2.79,1.29,1.2,1.28,0.62,0.64,1.95,1.74,2.66,2.49,4.65,31.29,Kitsap
1924,6.06,6.27,0.27,0.87,0.32,0.73,0.39,0.71,3.03,6.64,M,4.52,M,Kitsap
1925,7.68,M,0.82,2.28,1.06,0.34,0.11,1.44,0.47,M,5.97,5.93,M,Kitsap
1926,6.15,4.79,0.6,M,1.6,0.55,0,2.06,1.14,4.84,M,6.15,M,Kitsap
1927,9.11,8.48,M,2,2.71,0.63,0.01,0.8,M,M,M,M,M,Kitsap
1928,M,1.28,M,M,0.66,M,0.16,0,0.78,3.36,M,6.32,M,Kitsap
1929,1.83,0.92,4.66,M,1.84,M,0.74,0.49,M,0.81,M,M,M,Kitsap
1930,3.1,M,M,M,2.6,1.55,T,0.05,1.48,1.43,2.36,M,M,Kitsap
1931,M,5.82,M,2.75,0.49,M,0.05,0.14,M,4.23,M,M,M,Kitsap
1932,M,M,2.99,M,0.47,0.1,M,M,0.06,M,M,M,M,Kitsap
1933,M,M,M,0.74,1.27,1.04,0.5,0.69,3.68,M,2.59,M,M,Kitsap
1934,6.41,M,2.19,1.24,M,0.04,M,0.19,M,3.52,6.96,M,M,Kitsap
1935,9.08,2.72,M,1.14,0.89,1.13,M,M,1.47,M,2.67,M,M,Kitsap
1936,7.61,M,1.55,0.36,2.72,M,M,0.45,1.21,0.48,0.83,M,M,Kitsap
1937,M,M,2.1,5.43,1.56,3.36,0.99,1.02,1.33,M,M,M,M,Kitsap
1938,M,M,M,M,0.36,0.11,0.05,0.23,M,M,2.35,M,M,Kitsap
1939,M,M,M,0.26,M,M,M,0.66,M,M,1.96,M,M,Kitsap
1940,M,M,M,M,0.58,0.67,0.44,0.12,1.13,M,3.1,M,M,Kitsap
1941,M,2.24,1.04,1.37,2.94,M,0.56,M,2.31,1.49,M,7.06,M,Kitsap
1942,2.82,2.72,1.78,1.08,1.7,1.84,0.22,0.1,0.17,1.56,7.98,5.55,27.52,Kitsap
1943,2.2,2.3,3.96,2.92,0.72,1.13,0.22,1.2,0.09,4.99,1.52,1.48,22.73,Kitsap
1944,5.15,2.34,1.86,2.71,0.76,0.83,0.03,0.22,1.11,1.71,6.81,0.44,23.97,Kitsap
1945,3.45,6.21,5.74,1.69,2.42,0.44,0.2,0.43,1.77,1.6,7.97,6.01,37.93,Kitsap
1946,5.53,6.23,2.29,2.76,0.19,2.09,0.51,0.08,0.67,2.72,M,4.15,M,Kitsap
1947,3.6,4.66,2.14,1.66,0.13,2.16,0.41,0.17,1.88,7.96,2.18,5.03,31.98,Kitsap
1948,4.14,5.56,2.76,2.5,4.48,1.17,0.76,0.93,2.65,1.57,7.1,6.16,39.78,Kitsap
1949,1.26,9.16,3.07,1.13,1.56,0.25,0.32,0.11,1.48,2.42,5.53,4.5,30.79,Kitsap
1950,8.66,6.75,6.87,1.72,0.32,0.63,0.37,1.12,0.78,6.58,7.55,8.31,49.66,Kitsap
1951,6.28,4.52,2.86,1.38,1.02,0.11,0.12,0.73,0.85,4.72,7.34,4.61,36.03,Kitsap
1952,6.1,2.59,2.05,1.31,0.76,1.03,0.7,0.87,0.16,0.75,2.08,9.48,27.88,Kitsap
1953,20.08,4.21,5.13,1.48,1.74,1.99,0.64,1.25,3.28,5.82,8.42,6.55,60.59,Kitsap
1954,9.86,11.07,2.63,4.13,1.46,1.53,1.96,1.45,2.26,1.82,10.98,7.12,56.27,Kitsap
1955,3.18,4.81,3.4,3.13,1.42,2.02,2.08,0.1,1.15,7.94,14.51,11.01,54.75,Kitsap
1956,12.18,3.6,9.32,0.36,0.77,3.95,0.19,0.73,2.43,7.18,2.48,7.4,50.59,Kitsap
1957,2.93,8.05,7.24,3.04,1.38,1.84,1.11,1.11,0.71,4.71,3.45,9.11,44.68,Kitsap
