"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","4.70","7.04","5.86","2.88","0.28","1.03","T","1.13","0.97","2.08","M","3.87","M"
"1900","4.75","3.65","2.25","1.00","1.14","0.71","0.04","0.80","1.94","3.09","2.98","4.10","26.45"
"1901","4.78","4.06","1.37","1.33","0.59","0.54","T","0.04","0.69","1.44","5.31","5.27","25.42"
"1902","2.73","4.16","M","2.35","0.78","0.04","0.88","0.09","0.87","0.79","6.06","7.77","M"
"1903","7.36","2.48","1.38","1.10","1.03","1.06","0.32","0.24","2.17","3.11","M","1.42","M"
"1904","3.96","4.80","4.76","1.45","0.29","0.77","0.49","0.36","0.78","1.63","3.62","3.89","26.80"
"1905","M","1.41","1.04","0.39","1.53","3.27","0.08","0.69","0.76","3.09","1.66","3.57","M"
"1906","4.79","1.98","0.96","0.12","2.01","0.99","0.18","0.03","0.70","1.67","7.87","4.94","26.24"
"1907","4.69","3.45","1.14","1.94","0.47","0.90","M","0.13","0.58","0.29","4.71","5.12","M"
"1908","2.05","2.35","4.04","1.48","1.54","0.51","1.18","0.34","0.11","1.55","1.07","2.93","19.15"
"1909","3.25","2.36","1.73","0.25","0.14","0.61","0.32","0.06","2.25","1.27","8.62","2.39","M"
"1910","2.04","2.83","3.84","1.18","0.80","0.69","0.00","0.00","0.74","2.17","5.13","2.54","21.96"
"1911","M","1.19","0.86","0.31","2.83","0.58","0.00","0.73","2.85","0.17","5.56","2.84","M"
"1912","6.33","3.28","1.64","1.54","1.29","1.45","0.42","1.69","0.58","2.66","3.01","4.80","28.69"
"1913","4.42","1.61","1.73","0.75","1.18","0.98","0.11","0.05","1.58","2.74","2.78","1.11","19.04"
"1914","3.20","2.67","1.07","0.87","1.06","1.43","0.28","0.00","1.45","1.69","M","1.33","M"
"1915","1.24","2.12","1.46","1.33","1.68","0.22","1.57","0.00","0.58","2.82","5.93","5.40","24.35"
"1916","2.72","5.09","5.31","0.48","0.84","1.56","1.77","0.42","0.30","0.54","2.09","3.07","24.19"
"1917","2.89","2.28","5.21","2.05","0.67","0.59","0.34","0.00","0.45","0.70","1.44","13.64","30.26"
"1918","4.94","2.79","1.14","0.44","1.62","0.37","0.98","1.23","0.00","3.83","1.77","4.63","23.74"
"1919","M","3.67","3.18","0.58","0.65","0.21","0.15","0.00","0.87","1.88","2.42","2.81","M"
"1920","3.40","0.64","1.49","2.33","0.39","0.36","0.67","0.96","1.72","1.67","M","6.79","M"
"1921","6.35","2.72","3.02","1.46","1.47","0.78","0.57","0.07","1.36","1.51","6.93","3.95","30.19"
"1922","1.70","1.51","1.59","0.66","0.36","0.17","0.00","0.23","0.93","1.76","1.29","8.42","18.62"
"1923","M","1.42","2.83","1.46","1.07","0.72","1.17","0.98","0.79","2.23","2.93","5.89","M"
"1924","4.08","3.04","1.01","0.58","0.20","0.77","0.38","0.23","1.03","1.11","4.45","1.85","18.73"
"1925","M","2.75","1.15","1.01","1.89","0.23","0.00","T","1.80","0.95","1.84","3.77","M"
"1926","1.98","3.22","0.40","0.61","0.63","M","0.00","0.50","1.13","2.92","4.59","3.66","M"
"1927","3.84","3.07","1.42","1.88","1.64","0.52","0.00","0.38","1.24","3.90","7.37","4.12","29.38"
"1928","3.61","M","M","1.74","M","M","0.05","M","M","M","1.30","2.59","M"
"1929","2.47","1.17","1.47","0.92","0.80","0.85","0.00","M","0.26","0.45","0.10","5.18","M"
"1930","M","1.66","0.19","M","M","M","0.00","M","M","M","M","0.41","M"
"1931","2.12","0.95","3.20","0.47","1.27","2.82","0.00","0.00","0.30","1.59","2.64","2.78","18.14"
"1932","4.37","2.59","5.37","0.24","1.10","0.10","0.19","0.27","0.42","1.42","4.45","3.61","24.13"
"1933","4.06","2.67","1.62","0.10","0.45","0.90","T","0.49","1.27","4.57","2.22","14.44","32.79"
"1934","5.32","M","3.00","0.42","0.12","T","T","0.16","0.00","0.63","6.35","2.10","M"
"1935","7.21","0.75","4.07","0.64","1.00","M","M","0.18","0.43","0.26","1.26","2.77","M"
"1936","4.11","3.75","3.80","0.89","1.57","3.12","0.32","T","0.19","0.22","0.20","4.80","22.97"
"1937","1.77","2.04","2.24","2.16","0.46","2.88","0.15","0.42","0.10","2.13","4.53","4.34","23.22"
"1938","2.18","1.64","2.94","0.58","0.65","0.27","0.25","0.26","0.47","1.05","4.35","2.97","17.61"
"1939","2.24","3.60","1.64","0.07","1.12","0.03","0.05","0.26","0.28","1.08","1.84","3.30","15.51"
"1940","1.43","3.74","1.26","1.86","0.92","0.18","0.67","T","1.74","2.18","3.63","2.21","19.82"
"1941","1.83","0.58","1.49","1.98","1.46","0.47","0.95","1.22","M","0.60","3.15","M","M"
"1942","1.29","1.51","0.37","M","M","2.03","0.37","0.00","0.00","M","7.00","5.37","M"
"1943","3.35","3.20","2.60","2.01","M","1.40","0.00","M","0.09","1.42","1.33","M","M"
"1944","1.18","2.76","1.81","0.92","0.91","0.35","0.06","0.00","1.22","0.48","2.81","1.38","M"
"1945","3.92","3.96","1.37","1.83","1.12","0.18","0.00","0.00","1.42","1.17","3.53","3.40","21.90"
"1946","4.23","1.42","2.40","0.55","0.62","M","0.00","0.25","M","M","M","5.12","M"
"1947","4.22","2.08","1.73","0.96","0.06","0.59","0.52","0.32","1.02","4.20","4.32","1.28","21.30"
"1948","2.38","3.17","1.38","1.00","4.44","3.47","1.18","1.51","1.36","1.54","5.06","6.77","33.26"
"1949","0.84","5.55","1.43","0.17","0.27","T","T","0.13","0.83","2.08","5.63","3.72","20.65"
"1950","3.46","2.69","2.72","1.19","0.03","0.61","0.17","0.12","0.39","4.44","4.83","3.27","23.92"
"1951","5.37","3.62","2.90","0.03","2.03","0.22","0.05","0.48","0.69","2.16","2.18","4.07","23.80"
"1952","1.19","1.77","0.58","0.25","0.37","1.47","0.00","0.29","0.05","T","0.53","2.42","8.92"
"1953","8.75","2.04","0.17","1.23","1.02","0.54","T","0.56","0.12","0.41","2.21","6.52","23.57"
"1954","4.73","1.95","0.96","0.40","0.15","0.89","0.41","0.55","0.70","1.25","M","M","M"
"1955","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1956","M","M","M","0.15","0.90","0.69","0.46","0.17","1.81","M","1.85","5.25","M"
"1957","1.09","3.26","3.60","1.51","1.06","1.22","0.05","0.52","0.44","1.97","2.00","6.46","23.18"
"1958","3.60","2.19","2.25","3.36","0.22","1.18","0.01","0.10","1.51","4.20","10.54","5.65","34.81"
"1959","7.51","3.10","4.02","0.72","0.71","0.30","0.18","0.00","M","M","5.28","2.57","M"
"1960","0.75","3.07","2.51","2.11","1.57","0.44","0.08","0.33","0.35","1.59","5.23","1.37","19.40"
"1961","3.07","4.62","2.92","1.96","0.67","0.45","0.60","0.55","1.15","2.01","3.52","4.72","26.24"
"1962","1.45","1.70","1.75","2.80","2.06","0.39","0.40","0.97","0.50","2.01","7.25","2.74","24.02"
"1963","0.72","3.85","2.59","1.63","0.35","0.27","0.62","1.27","0.17","1.08","2.50","2.82","17.87"
"1964","6.41","0.83","1.94","1.03","0.49","1.20","0.15","0.51","1.24","0.86","2.86","6.42","23.94"
"1965","6.23","2.16","0.40","1.75","0.50","0.51","0.70","1.00","0.08","0.27","2.00","1.58","17.18"
"1966","4.00","2.62","1.35","0.14","1.16","0.39","1.35","0.05","0.67","1.80","3.27","2.72","19.52"
"1967","4.38","2.35","1.99","2.51","0.02","0.68","0.00","0.00","0.28","5.04","2.23","4.07","23.55"
