Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1948,M,M,M,M,M,M,0.37,0.22,1.27,0.41,2.71,4.07,M,Klickitat
1949,0.34,2.92,1.17,0.07,0.5,0.15,0.04,T,0.3,0.56,2.4,0.8,9.25,Klickitat
1950,4.74,1.46,1.85,0.2,0.09,0.27,0.02,T,0.42,3.89,2.9,2.82,18.66,Klickitat
1951,3.61,2.26,1.66,0.22,0.72,0.19,0.01,0.28,0.71,2.11,1.76,2.48,16.01,Klickitat
1952,1.82,1.55,0.31,0.05,0.59,1.18,T,T,0.19,0.02,0.39,2.56,8.66,Klickitat
1953,6.43,1.72,0.54,0.61,1.51,0.53,T,0.61,0.01,0.62,2.84,3.06,18.48,Klickitat
1954,5.1,0.66,0.74,0.33,0.56,0.54,0.1,0.06,0.3,0.73,1.26,0.97,11.35,Klickitat
1955,0.46,0.99,0.87,1.07,0.37,0.35,0.19,T,0.85,2.33,3.9,4.41,15.79,Klickitat
1956,5.8,1,0.66,T,0.46,0.45,T,0.47,0.34,0.9,0.19,1.32,11.59,Klickitat
1957,1.32,1.72,3.56,0.52,0.24,0.04,0.02,0.13,0.53,1.62,0.95,3.6,14.25,Klickitat
1958,3.47,3.14,0.74,1.18,0.36,1.23,0,0,0.17,0.18,2.91,1.74,15.12,Klickitat
1959,2.21,1.48,0.97,T,0.33,0.12,0.09,T,1.06,1.15,0.49,0.46,8.36,Klickitat
1960,1.82,1.92,3.07,0.73,1.25,0.04,T,0.23,0.09,0.84,3.31,1.19,14.49,Klickitat
1961,1.74,4.12,1.78,0.69,0.77,0.39,0.16,0.12,0.19,0.91,2.31,2.76,15.94,Klickitat
1962,0.5,2.04,1.37,0.89,0.85,0,0,0.65,0.45,2.56,1.74,1.34,12.39,Klickitat
1963,1.44,1.54,1.14,1.12,0.45,0.03,0.02,0.11,0.53,0.29,2.65,1.85,11.17,Klickitat
1964,3,0.14,0.31,0.14,T,0.67,0.07,0.14,0.02,0.41,3.36,8.96,17.22,Klickitat
1965,2.49,0.23,0.47,0.86,0.17,0.16,0.1,0.38,0.01,0.11,2.2,0.66,7.84,Klickitat
1966,3.6,0.47,0.95,T,0.2,0.12,0.49,T,0.46,0.6,2.59,2.58,12.06,Klickitat
1967,1.69,0.13,0.86,0.8,0.14,0.25,0,0.01,0.1,1.17,0.73,1.41,7.29,Klickitat
1968,1.68,2.97,0.4,0.04,0.57,0.03,0.06,1.43,0.19,1.2,3.16,3.91,15.64,Klickitat
1969,2.82,0.77,0.64,0.29,0.48,0.23,0.01,T,0.25,0.54,0.26,2.98,9.27,Klickitat
1970,7.19,1.04,0.79,0.28,0.04,0.09,T,T,0.03,0.8,2.15,1.77,14.18,Klickitat
1971,2.74,0.65,1.92,0.29,0.84,0.13,0.02,0.09,1.08,0.71,1.99,2.38,12.84,Klickitat
1972,2.99,0.69,2.19,0.16,0.21,0.2,0.05,0.33,0.61,0.14,1,3.89,12.46,Klickitat
1973,1.97,0.48,0.16,0.07,0.44,0.02,T,0.13,0.97,2.17,5.48,5.97,17.86,Klickitat
1974,2.98,1.3,1.64,1.05,0.14,0.11,0.54,0,0,0.43,1.45,2.64,12.28,Klickitat
1975,4.5,2.19,1.62,0.76,0.15,0.49,0.06,0.9,T,1.75,2.02,2.48,16.92,Klickitat
1976,1.89,1.72,0.94,0.42,0.18,0.03,0.16,0.39,0.15,0.34,0.36,0.37,6.95,Klickitat
