"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","2.57","M","M","M","M","M","M","M","3.73","M","M","M","M"
"1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902","2.10","M","5.57","4.40","1.90","2.07","1.80","0.90","2.29","2.69","11.59","11.55","M"
"1903","10.38","1.91","6.98","2.68","2.51","3.30","0.81","0.91","M","3.25","9.52","3.82","M"
"1904","5.84","M","M","M","M","M","M","M","M","M","M","M","M"
"1905","3.30","2.69","5.69","1.45","3.72","2.62","0.59","0.61","3.35","M","3.74","6.98","M"
"1906","6.96","3.89","2.61","0.88","4.38","3.48","0.02","0.02","4.98","5.40","11.17","7.28","51.07"
"1907","6.66","4.45","3.18","3.72","0.80","2.08","0.87","2.16","3.93","0.83","8.04","9.15","45.87"
"1908","5.31","5.59","6.49","4.19","4.05","1.00","0.49","1.53","0.25","3.26","5.53","8.95","46.64"
"1909","10.54","7.71","2.43","1.35","1.63","0.38","2.78","0.20","0.98","3.59","14.86","5.63","52.08"
"1910","8.55","M","5.78","3.32","2.33","2.02","0.00","0.52","1.78","5.35","12.64","6.90","M"
"1911","6.11","3.31","1.97","2.90","4.52","0.87","M","0.37","4.36","1.26","9.17","4.37","M"
"1912","9.85","5.35","2.70","2.57","2.25","3.18","0.58","6.34","1.87","3.24","7.34","8.44","53.71"
"1913","5.40","1.70","2.57","1.94","1.49","3.42","0.69","0.43","2.21","2.67","6.22","3.38","32.12"
"1914","12.71","2.92","2.84","3.02","1.54","1.75","0.10","0.03","4.10","4.78","6.31","1.81","41.91"
"1915","4.89","3.61","2.73","2.41","4.36","0.97","0.96","0.01","0.91","4.18","9.53","11.23","45.79"
"1916","7.08","10.91","12.25","2.64","2.57","2.54","1.86","T","2.04","1.76","5.46","5.24","54.35"
"1917","4.27","2.33","5.60","5.41","1.38","2.91","0.03","0.20","2.62","0.33","3.27","17.36","45.71"
"1918","5.81","7.49","4.90","1.59","2.70","0.29","0.78","1.90","T","6.04","7.15","6.87","45.52"
"1919","M","7.34","M","4.21","3.77","0.91","0.25","0.04","2.94","1.48","2.81","5.44","M"
"1920","5.36","0.42","4.54","3.69","2.24","2.61","0.94","1.55","4.61","8.02","4.43","11.35","49.76"
"1921","9.58","9.21","5.27","2.90","1.97","2.46","0.09","M","3.98","4.23","M","M","M"
"1922","M","2.98","M","M","3.07","T","0.00","1.64","3.20","M","M","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","M","1.13","2.67","6.09","7.47","5.47","M"
"1925","7.45","8.31","2.72","2.65","0.75","1.80","0.01","0.90","0.33","0.62","4.07","6.88","36.49"
"1926","5.49","6.63","0.67","1.55","4.45","0.29","0.00","2.48","1.43","4.67","8.21","4.32","40.19"
"1927","6.84","8.63","3.60","2.34","3.89","1.42","0.38","1.36","3.41","4.31","8.80","3.42","48.40"
"1928","5.72","1.17","9.17","4.71","1.01","0.38","1.00","M","0.55","3.98","M","5.47","M"
"1929","2.90","1.59","5.04","M","1.56","3.32","0.42","0.73","0.34","1.49","0.95","7.85","M"
"1930","3.53","6.28","3.69","2.34","1.64","M","T","M","1.97","3.38","2.77","M","M"
"1931","6.72","3.81","6.41","2.75","1.18","4.18","0.08","0.38","2.60","4.89","5.30","6.58","44.88"
"1932","5.54","7.60","6.20","3.14","1.47","0.37","2.16","1.51","0.34","3.83","14.06","10.31","56.53"
"1933","8.47","4.14","6.11","0.83","3.36","1.14","0.10","1.54","3.43","4.27","3.78","22.12","59.29"
"1934","8.33","2.13","4.11","1.22","1.73","0.29","0.43","0.28","1.68","9.52","12.73","8.72","51.17"
"1935","6.72","3.75","7.14","1.42","0.43","1.13","0.34","0.19","1.66","2.77","4.18","4.32","34.05"
"1936","10.69","8.63","4.37","0.71","4.02","5.06","1.05","0.50","1.30","0.28","0.63","9.78","47.02"
"1937","3.96","6.64","3.42","7.08","0.92","5.53","0.05","1.69","1.52","2.47","11.83","10.45","55.56"
"1938","5.17","3.57","6.51","3.40","1.08","0.06","0.43","0.63","0.80","4.47","5.10","4.53","35.75"
"1939","6.00","7.47","2.34","0.32","1.71","2.03","1.15","0.45","0.96","2.62","2.43","9.53","37.01"
"1940","3.03","11.53","7.02","4.64","2.00","0.22","1.32","0.76","2.55","5.48","4.21","4.09","46.85"
"1941","4.75","1.70","1.54","1.39","4.99","1.02","0.06","2.31","4.70","4.26","5.58","9.37","41.67"
"1942","4.30","3.46","3.12","2.22","2.19","3.37","0.84","0.34","0.04","4.50","10.95","6.82","42.15"
"1943","3.01","4.04","4.82","3.90","1.67","2.37","0.71","1.80","0.20","4.77","1.13","4.23","32.65"
"1944","3.93","3.80","2.99","3.53","1.20","0.76","T","0.08","2.46","2.73","4.67","2.67","28.82"
"1945","5.26","6.19","6.15","3.25","2.61","0.02","0.20","0.57","3.42","2.94","7.97","7.09","45.67"
"1946","7.15","6.93","3.95","1.81","0.39","3.80","1.35","0.10","2.61","5.56","6.91","5.80","46.36"
"1947","5.85","3.58","3.93","2.56","0.19","3.52","2.22","0.25","1.27","7.24","4.85","5.28","40.74"
"1948","5.81","7.04","3.73","4.15","4.40","1.20","1.44","2.91","3.15","3.14","8.39","11.27","56.63"
"1949","1.02","9.21","2.67","1.03","1.91","0.56","0.39","0.48","1.07","3.99","8.21","8.39","38.93"
"1950","8.31","8.09","6.16","2.91","1.00","0.96","1.15","1.38","1.75","8.85","9.30","7.85","57.71"
"1951","9.36","7.81","5.37","0.50","2.34","0.17","0.30","0.56","2.35","6.43","6.30","7.48","48.97"
"1952","4.87","3.70","3.28","2.04","0.77","1.98","0.14","0.69","0.49","1.79","1.82","7.51","29.08"
"1953","13.89","3.58","3.42","2.53","1.97","1.88","0.10","2.26","1.74","4.29","6.76","8.68","51.10"
"1954","11.71","6.05","2.23","2.97","1.51","3.03","1.41","2.02","2.17","2.49","6.64","5.60","47.83"
"1955","3.29","4.48","4.83","4.66","1.25","1.31","2.68","0.02","2.32","8.29","9.85","12.48","55.46"
"1956","10.73","3.58","7.72","0.36","0.82","3.23","0.53","0.93","2.17","5.42","3.13","7.53","46.15"
"1957","2.60","5.14","6.27","3.02","1.37","1.42","0.72","1.71","0.57","4.37","4.08","8.47","39.74"
"1958","6.48","5.78","2.41","3.69","2.27","3.31","0.03","0.57","2.03","4.84","10.74","6.87","49.02"
"1959","9.02","4.50","5.33","2.90","2.02","2.67","0.47","1.07","3.11","3.43","8.15","5.87","48.54"
"1960","4.72","5.63","6.25","5.35","4.40","0.98","0.04","2.48","1.48","5.76","10.94","2.71","50.74"
"1961","7.04","10.61","7.88","4.55","3.05","0.77","0.61","0.80","1.05","4.77","5.10","7.82","54.05"
"1962","M","3.48","4.27","4.25","2.54","1.36","0.42","3.36","2.37","5.76","11.71","4.37","M"
"1963","3.03","5.65","5.26","3.83","1.83","1.60","2.27","3.64","2.44","4.44","8.86","4.40","47.25"
"1964","13.04","1.23","5.54","2.37","1.05","3.10","1.38","1.08","2.15","2.36","8.88","8.62","50.80"
"1965","10.13","3.92","0.33","2.65","1.61","0.40","0.47","1.95","0.58","3.52","6.14","6.30","38.00"
"1966","6.70","3.40","7.20","2.33","1.85","2.20","1.45","0.35","2.25","4.21","5.76","9.79","47.49"
"1967","12.04","3.94","4.56","3.06","0.62","2.48","0.19","T","1.28","9.77","3.03","5.06","46.03"
"1968","7.57","6.59","5.37","3.28","2.55","2.59","0.97","4.15","2.73","5.33","6.71","8.29","56.13"
"1969","8.23","3.28","2.41","3.66","2.27","1.59","0.37","0.18","3.46","2.99","3.06","9.22","40.72"
"1970","10.89","4.72","2.76","4.47","1.75","0.46","0.17","0.32","2.65","2.77","6.32","11.66","48.94"
"1971","10.24","4.04","8.29","2.68","1.11","2.39","0.97","0.77","3.56","3.38","5.78","8.82","52.03"
"1972","9.55","7.42","7.20","4.62","1.08","1.49","1.00","0.71","3.09","0.97","3.45","9.24","49.82"
"1973","3.51","1.51","2.68","2.27","1.82","2.71","0.25","0.29","2.90","4.53","10.99","10.41","43.87"
"1974","9.19","5.30","5.90","4.87","2.92","1.48","2.38","0.11","0.45","2.07","7.15","8.25","50.07"
"1975","9.28","5.55","4.81","1.82","2.03","1.52","0.39","3.08","0.01","6.60","7.50","10.04","52.63"
"1976","7.32","7.39","4.72","1.73","2.90","1.09","1.55","2.16","1.32","2.24","1.24","2.55","36.21"
"1977","1.25","3.25","4.65","0.92","4.70","0.65","0.76","4.15","3.52","3.18","6.66","11.47","45.16"
