Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1893,M,M,1.26,1.95,M,0.31,0.65,T,1.22,1.6,1.3,2.1,M,Lincoln
1894,1.66,0.32,1.21,0.63,1.4,0.91,0.84,0.11,0.16,0.8,M,M,M,Lincoln
1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Lincoln
1909,M,M,M,M,1.57,0.18,1.13,0.02,0.59,1.2,2.54,0.81,M,Lincoln
1910,0.79,0.5,1.24,0.95,0.6,0.73,0.13,T,1.6,1.12,2.4,1.12,11.18,Lincoln
1911,0.55,0.89,0.69,0.1,1.33,0.75,0.22,1.71,1.11,0.06,1.8,1.27,10.48,Lincoln
1912,2.14,1.19,0.31,0.74,2.17,0.56,0.49,M,0.24,1.44,2.42,1.76,M,Lincoln
1913,2.64,0.51,0.41,0.56,0.9,3.91,0.27,0.42,0.54,1.16,2.96,M,M,Lincoln
1914,2.85,1.56,0.48,0.8,1.63,1.18,0.43,0,0.77,1.9,1.38,1.38,14.36,Lincoln
