"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1973","M","M","M","M","M","M","0.32","0.46","4.45","7.20","21.68","23.20","M"
"1974","19.84","13.46","13.70","6.97","4.20","1.91","3.42","0.01","1.07","1.68","14.83","18.43","99.52"
"1975","12.08","10.17","9.52","3.44","2.74","0.54","0.62","5.73","0.01","22.43","18.78","18.58","104.64"
"1976","14.11","14.71","8.95","3.01","3.66","0.49","1.55","3.61","1.19","4.07","2.81","5.72","63.88"
"1977","5.21","7.06","10.61","2.43","3.89","0.86","0.45","4.82","6.19","5.73","17.65","16.70","81.60"
"1978","11.93","8.59","7.27","6.35","6.16","1.58","0.90","2.32","9.95","0.65","8.24","4.83","68.77"
"1979","3.70","18.85","5.84","3.08","2.66","0.46","1.79","1.04","4.24","9.97","5.18","29.13","85.94"
"1980","8.98","18.08","5.88","5.80","1.07","2.14","1.05","0.37","3.06","2.87","20.77","19.36","89.43"
"1981","5.09","15.97","5.90","5.54","1.80","3.28","0.35","0.70","5.34","13.56","12.88","18.04","88.45"
"1982","13.33","17.59","7.34","8.27","0.59","1.46","0.26","0.69","1.92","10.45","10.75","19.89","92.54"
"1983","16.66","18.30","17.54","3.14","1.61","2.55","3.90","3.29","3.05","3.24","30.17","12.14","115.59"
"1984","8.80","10.72","10.36","8.23","8.07","2.87","T","0.09","3.28","7.37","21.53","8.85","90.17"
"1985","1.01","6.91","8.24","3.99","1.62","3.09","0.02","0.87","2.63","14.24","5.37","4.42","52.41"
"1986","22.21","11.61","7.32","3.84","4.11","0.94","0.80","T","2.41","7.56","17.43","12.85","91.08"
"1987","16.66","8.72","14.65","3.71","6.32","0.49","0.77","0.20","0.84","0.66","7.36","18.63","79.01"
"1988","11.13","3.37","10.41","6.64","5.40","1.91","0.92","0.35","4.20","3.91","20.97","9.24","78.45"
"1989","7.75","8.34","13.62","6.22","2.95","1.60","3.51","1.03","0.30","7.30","10.19","9.39","72.20"
"1990","23.46","12.81","6.79","2.74","2.61","4.09","0.27","1.53","0.01","9.26","25.79","12.31","101.67"
"1991","10.59","12.45","7.69","11.10","3.11","1.32","0.83","4.94","T","2.14","16.35","10.85","81.37"
"1992","24.74","10.04","1.64","8.86","0.04","2.08","0.81","0.74","2.83","6.47","10.01","9.22","77.48"
"1993","9.78","0.49","10.43","11.33","5.10","3.61","2.93","0.49","0.00","3.03","5.75","18.98","71.92"
"1994","10.09","12.67","9.16","5.50","3.78","2.36","0.75","0.34","1.91","10.00","17.39","26.80","100.75"
"1995","17.24","12.76","12.60","5.38","1.40","1.37","1.66","3.18","3.46","9.53","22.86","18.04","109.48"
"1996","14.14","15.59","2.38","13.42","4.52","1.20","1.03","1.10","3.10","12.40","12.99","24.18","106.05"
"1997","18.67","6.75","22.59","7.06","5.10","2.73","1.76","2.88","10.61","16.78","10.98","9.66","115.57"
"1998","22.20","14.66","6.91","2.63","1.32","0.63","0.44","0.14","1.42","5.57","31.99","25.22","113.13"
"1999","19.43","30.97","9.99","2.39","2.72","1.67","0.89","0.79","0.06","7.25","22.92","20.43","119.51"
"2000","15.33","6.88","7.20","3.25","5.26","5.18","0.77","0.49","2.04","6.32","7.26","11.32","71.30"
"2001","6.85","4.41","5.49","5.64","3.20","2.34","M","4.73","0.66","7.84","21.28","18.26","M"
"2002","18.33","10.95","7.78","6.69","M","3.54","0.06","0.19","0.81","0.21","11.34","15.72","M"
"2003","21.29","3.39","16.33","6.76","1.18","0.22","0.43","0.12","1.09","25.24","16.52","13.04","105.61"
